#Rank,University,Town
1,University of Delhi,New Delhi
2,Indian Institute of Technology Kanpur,Kanpur
3,Indian Institute of Technology Madras,Chennai
4,Indian Institute of Technology Bombay,Mumbai
5,Lovely Professional University,Phagwara
6,Indian Institute of Technology Kharagpur,Kharagpur
7,Savitribai Phule Pune University,Pune
8,Indian Institute of Technology Delhi,New Delhi
9,Anna University,Chennai
10,Indian Institute of Technology Guwahati,Guwahati
11,VIT University,Vellore ...
12,Indian Institute of Science,Bangalore
13,SRM Institute of Science and Technology,Chennai
14,Dr. A.P.J. Abdul Kalam Technical University,Lucknow
15,Panjab University,Chandigarh
16,Gujarat Technological University,Ahmedabad
17,Chhatrapati Shahu Ji Maharaj University,Kalyanpur
18,Bangalore University,Bangalore
19,University of Rajasthan,Jaipur
20,Guru Gobind Singh Indraprastha University,New Delhi
21,Amity University,Noida ...
22,University of Mumbai,Mumbai
23,Amrita Vishwa Vidyapeetham,Coimbatore ...
24,Manipal Academy of Higher Education,Manipal ...
25,"National Institute of Technology, Rourkela",Rourkela
26,Birla Institute of Technology and Science,Pilani ...
27,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli
28,Jawaharlal Nehru University,New Delhi
29,University of Lucknow,Lucknow
30,Indian Institute of Technology Roorkee,Roorkee
31,CSK Himachal Pradesh Krishi Vishvavidyalaya,Palampur
32,Jamia Millia Islamia,New Delhi
33,Tamil Nadu Agricultural University,Coimbatore ...
34,Chaudhary Charan Singh Haryana Agricultural University,Hisar
35,"International Institute of Information Technology, Hyderabad",Hyderabad
36,University of Kerala,Thiruvananthapuram
37,Visvesvaraya Technological University,Belgaum
38,University of Calicut,Tenhipalam ...
39,University of Hyderabad,Hyderabad
40,Thapar Institute of Engineering and Technology,Patiala
41,Christ University,Bangalore
42,Tata Institute of Fundamental Research,Mumbai
43,Kurukshetra University,Kurukshetra ...
44,Motilal Nehru National Institute of Technology,Allahabad
45,Pondicherry University,Puducherry ...
46,Banaras Hindu University,Varanasi
47,Narendra Dev University of Agriculture and Technology,Faizabad
48,University of Petroleum and Energy Studies,Dehradun
49,Indian Institute of Technology Hyderabad,Eddumailaram
50,Cochin University of Science and Technology,Kochi
51,Osmania University,Hyderabad
52,Annamalai University,Chidambaram
53,Mahatma Gandhi University,Kottayam
54,Aligarh Muslim University,Aligarh ...
55,Tata Institute of Social Sciences,Mumbai
56,Jadavpur University,Kolkata
57,All India Institute of Medical Sciences Delhi,New Delhi
58,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal ...
59,Narsee Monjee Institute of Management and Higher Studies,Mumbai
60,Indian Statistical Institute,Kolkata ...
61,University of Calcutta,Kolkata
62,Gujarat University,Ahmedabad
63,M.J.P. Rohilkhand University,Bareilly
64,Chaudhary Charan Singh University,Meerut
65,Indian Institute of Information Technology Allahabad,Allahabad
66,University of Madras,Chennai
67,Shiv Nadar University,Dadri
68,Devi Ahilya Vishwavidyalaya,Indore
69,SASTRA University,Thanjavur ...
70,K L University,Vaddeswaram
71,Indian Institute of Technology Indore,Indore
72,Gauhati University,Guwahati
73,"National Institute of Technology, Karnataka",Mangalore
74,Maharishi Dayanand University,Rohtak
75,"National Institute of Technology, Calicut",Calicut
76,Shivaji University,Kolhapur
77,Tezpur University,Tezpur
78,Jawaharlal Nehru Technological University,Hyderabad ...
79,University of Allahabad,Allahabad
80,Chandigarh University,Mohali ...
81,Indian Institute of Technology Gandhinagar,Chandkheda
82,Bharathidasan University,Tiruchirappalli
83,Veer Narmad South Gujarat University,Surat
84,Birla Institute of Technology,Ranchi ...
85,KIIT University,Bhubaneswar
86,"Indian Institute of Technology, BHU",Varanasi
87,Gandhi Institute of Technology and Management,Visakhapatnam
88,Indian School of Mines,Dhanbad
89,University of Mysore,Mysore ...
90,"National Institute of Technology, Warangal",Warangal
91,Delhi Technological University,New Delhi
92,Sharda University,Greater Noida
93,Karunya Institute of Technology and Sciences,Coimbatore
94,North Eastern Hill University,Shillong ...
95,University of Burdwan,Bardhaman
96,Visva-Bharati University,Santiniketan ...
97,Saurashtra University,Rajkot
98,Andhra University,Visakhapatnam
99,Chitkara University,Punjab
100,Indian Institute of Technology Mandi,Mandi
101,Nirma University of Science and Technology,Ahmedabad
102,The Maharaja Sayajirao University of Baroda,Vadodara
