Course,URL,University
CAS AA 103: Introduction to African American Literature,https://www.bu.edu/academics/cas/courses/cas-aa-103/,Boston University
CAS AA 207: Sociology of Race and Ethnicity,https://www.bu.edu/academics/cas/courses/cas-aa-207/,Boston University
CAS AA 215: Arts of Africa and Its Diaspora,https://www.bu.edu/academics/cas/courses/cas-aa-215/,Boston University
CAS AA 297: African American Women's History,https://www.bu.edu/academics/cas/courses/cas-aa-297/,Boston University
CAS AA 303: African Americans and the Humanities,https://www.bu.edu/academics/cas/courses/cas-aa-303/,Boston University
CAS AA 304: Introduction to African American Women Writers,https://www.bu.edu/academics/cas/courses/cas-aa-304/,Boston University
CAS AA 305: Toni Morrison's American Times,https://www.bu.edu/academics/cas/courses/cas-aa-305/,Boston University
"CAS AA 306: Experiencing Cuba: History, Culture, and Politics",https://www.bu.edu/academics/cas/courses/cas-aa-306/,Boston University
CAS AA 309: African American History in Global and Comparative Perspective,https://www.bu.edu/academics/cas/courses/cas-aa-309/,Boston University
CAS AA 310: History of the Civil Rights Movement,https://www.bu.edu/academics/cas/courses/cas-aa-310/,Boston University
CAS AA 313: The Politics and Policy of HBO's The Wire,https://www.bu.edu/academics/cas/courses/cas-aa-313/,Boston University
CAS AA 316: African Diaspora Arts in the Americas,https://www.bu.edu/academics/cas/courses/cas-aa-316/,Boston University
"CAS AA 335: Sociology of Race, Class & Gender",https://www.bu.edu/academics/cas/courses/cas-aa-335/,Boston University
CAS AA 371: African American History,https://www.bu.edu/academics/cas/courses/cas-aa-371/,Boston University
CAS AA 380: European Dimensions of the Black Diaspora,https://www.bu.edu/academics/cas/courses/cas-aa-380/,Boston University
CAS AA 382: History of Religion in Pre-Colonial Africa,https://www.bu.edu/academics/cas/courses/cas-aa-382/,Boston University
CAS AA 385: Atlantic History,https://www.bu.edu/academics/cas/courses/cas-aa-385/,Boston University
"CAS AA 395: Power, Leadership, and Governance in Africa and the Caribbean",https://www.bu.edu/academics/cas/courses/cas-aa-395/,Boston University
CAS AA 404: Seminar: The Family,https://www.bu.edu/academics/cas/courses/cas-aa-404/,Boston University
"CAS AA 408: Seminar: Ethnic, Race, and Minority Relations",https://www.bu.edu/academics/cas/courses/cas-aa-408/,Boston University
CAS AA 103: Introduction to African American Literature,https://www.bu.edu/academics/cas/courses/cas-aa-103/,Boston University
CAS AA 207: Sociology of Race and Ethnicity,https://www.bu.edu/academics/cas/courses/cas-aa-207/,Boston University
CAS AA 215: Arts of Africa and Its Diaspora,https://www.bu.edu/academics/cas/courses/cas-aa-215/,Boston University
CAS AA 297: African American Women's History,https://www.bu.edu/academics/cas/courses/cas-aa-297/,Boston University
CAS AA 303: African Americans and the Humanities,https://www.bu.edu/academics/cas/courses/cas-aa-303/,Boston University
CAS AA 304: Introduction to African American Women Writers,https://www.bu.edu/academics/cas/courses/cas-aa-304/,Boston University
CAS AA 305: Toni Morrison's American Times,https://www.bu.edu/academics/cas/courses/cas-aa-305/,Boston University
"CAS AA 306: Experiencing Cuba: History, Culture, and Politics",https://www.bu.edu/academics/cas/courses/cas-aa-306/,Boston University
