Course,URL,University
Asian American Studies Program,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15979,Cornell University
Applied Economics and Management,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15971,Cornell University
Applied and Engineering Physics,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15969,Cornell University
Agricultural Sciences,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15957,Cornell University
American Indian and Indigenous Studies,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15959,Cornell University
Aerospace Studies,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15953,Cornell University
Akkadian,http://courses.cornell.edu/content.php?catoid=33&navoid=8483,Cornell University
Agricultural and Life Sciences,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15957,Cornell University
American Studies,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15961,Cornell University
Animal Science,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15965,Cornell University
Anthropology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15967,Cornell University
Arabic,http://courses.cornell.edu/content.php?catoid=33&navoid=8483,Cornell University
Architecture,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15975,Cornell University
Archaeology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15973,Cornell University
Art,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15977,Cornell University
History of Art,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16095,Cornell University
Asian Studies,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15981,Cornell University
Africana Studies and Research Center,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15955,Cornell University
Astronomy,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15983,Cornell University
"Bosnian, Croatian, Serbian",http://courses.cornell.edu/content.php?catoid=33&navoid=8483,Cornell University
Biological and Environmental Engineering,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15988,Cornell University
Bengali,http://courses.cornell.edu/content.php?catoid=33&navoid=8483,Cornell University
Animal Physiology and Anatomy,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16244,Cornell University
Ecology and Evolutionary Biology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16060,Cornell University
Biology: General Courses,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16001,Cornell University
Molecular and Cell Biology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16252,Cornell University
Microbiology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16155,Cornell University
Biomedical Science,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16005,Cornell University
Neurobiology and Behavior,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16169,Cornell University
Plant Biology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16188,Cornell University
Shoals Marine Laboratory (SML),http://courses.cornell.edu/preview_program.php?catoid=33&poid=16217,Cornell University
Biomedical Engineering,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16002,Cornell University
Baker Program in Real Estate,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16196,Cornell University
Biology & Society,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15998,Cornell University
Biometry and Statistics,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16006,Cornell University
Burmese,http://courses.cornell.edu/content.php?catoid=33&navoid=8483,Cornell University
China and Asia-Pacific Studies,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16016,Cornell University
Civil and Environmental Engineering,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16020,Cornell University
Chemistry and Chemical Biology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16014,Cornell University
Chemical and Biomolecular Engineering,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16011,Cornell University
Chinese,http://courses.cornell.edu/content.php?catoid=33&navoid=8483#core_60998,Cornell University
Chinese Literature,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15982#CHLIT,Cornell University
Classics,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16023,Cornell University
Cognitive Science,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16025,Cornell University
College Scholar Program,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16029,Cornell University
Comparative Literature,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16033,Cornell University
Communication,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16031,Cornell University
City and Regional Planning,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16018,Cornell University
Computer Science,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16035,Cornell University
Czech,http://courses.cornell.edu/content.php?catoid=33&navoid=8483,Cornell University
Design and Environmental Analysis,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16050,Cornell University
Development Sociology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16052,Cornell University
Dutch,http://courses.cornell.edu/content.php?catoid=33&navoid=8483,Cornell University
Earth and Atmospheric Sciences,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16055,Cornell University
Electrical and Computer Engineering,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16066,Cornell University
Economics,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16062,Cornell University
Education,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16064,Cornell University
English Language Support Office,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16126,Cornell University
English,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16074,Cornell University
Engineering Communications,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16069,Cornell University
Engineering Distribution,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16069,Cornell University
Engineering General Interest,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16069,Cornell University
Engineering Introduction,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16069,Cornell University
Engineering Management,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16071,Cornell University
Entomology,http://courses.cornell.edu/preview_program.php?catoid=33&poid=16076,Cornell University
Engineering Physics,http://courses.cornell.edu/preview_program.php?catoid=33&poid=15969,Cornell University
