Course,URL,University
African and African American Studies,https://projects.iq.harvard.edu/student-handbook/book/african-and-african-american-studies,Harvard University
Anthropology,https://projects.iq.harvard.edu/student-handbook/book/anthropology,Harvard University
Applied Mathematics,https://projects.iq.harvard.edu/student-handbook/book/applied-mathematics,Harvard University
Astrophysics,https://projects.iq.harvard.edu/student-handbook/book/astrophysics,Harvard University
Biomedical Engineering,http://handbook.fas.harvard.edu/book/biomedical-engineering,Harvard University
Chemical and Physical Biology,https://projects.iq.harvard.edu/student-handbook/book/chemical-and-physical-biology,Harvard University
Chemistry,https://projects.iq.harvard.edu/student-handbook/book/chemistry,Harvard University
Chemistry and Physics,https://projects.iq.harvard.edu/student-handbook/book/chemistry-and-physics,Harvard University
Classics,https://projects.iq.harvard.edu/student-handbook/book/classics,Harvard University
Comparative Literature,https://projects.iq.harvard.edu/student-handbook/book/comparative-literature,Harvard University
Computer Science,https://projects.iq.harvard.edu/student-handbook/book/computer-science,Harvard University
Earth and Planetary Sciences,https://projects.iq.harvard.edu/student-handbook/book/earth-and-planetary-sciences,Harvard University
East Asian Studies,https://projects.iq.harvard.edu/student-handbook/book/east-asian-studies,Harvard University
Economics,https://projects.iq.harvard.edu/student-handbook/book/economics,Harvard University
Electrical Engineering,https://projects.iq.harvard.edu/student-handbook/book/electrical-engineering,Harvard University
Engineering Sciences,https://projects.iq.harvard.edu/student-handbook/book/engineering-sciences,Harvard University
English,https://projects.iq.harvard.edu/student-handbook/book/english,Harvard University
Environmental Science and Engineering,https://www.seas.harvard.edu/programs/engineering/environmental-science-and-engineering,Harvard University
Environmental Science and Public Policy,https://projects.iq.harvard.edu/student-handbook/book/environmental-science-and-public-policy,Harvard University
Folklore and Mythology,https://projects.iq.harvard.edu/student-handbook/book/folklore-and-mythology,Harvard University
Germanic Languages and Literatures,https://projects.iq.harvard.edu/student-handbook/book/germanic-languages-and-literatures,Harvard University
Government,https://projects.iq.harvard.edu/student-handbook/book/government,Harvard University
History,https://projects.iq.harvard.edu/student-handbook/book/history,Harvard University
History and Literature,https://projects.iq.harvard.edu/student-handbook/book/history-and-literature,Harvard University
History and Science,https://projects.iq.harvard.edu/student-handbook/book/history-and-science,Harvard University
History of Art and Architecture,https://projects.iq.harvard.edu/student-handbook/book/history-art-and-architecture,Harvard University
Human Developmental and Regenerative Biology,https://projects.iq.harvard.edu/student-handbook/book/human-developmental-and-regenerative-biology,Harvard University
Human Evolutionary Biology,https://projects.iq.harvard.edu/student-handbook/book/human-evolutionary-biology,Harvard University
Integrative Biology,https://projects.iq.harvard.edu/student-handbook/book/integrative-biology,Harvard University
Linguistics,https://projects.iq.harvard.edu/student-handbook/book/linguistics,Harvard University
Mathematics,https://projects.iq.harvard.edu/student-handbook/book/mathematics,Harvard University
Mechanical Engineering,https://projects.iq.harvard.edu/student-handbook/book/mechanical-engineering,Harvard University
Molecular and Cellular Biology,https://projects.iq.harvard.edu/student-handbook/book/molecular-and-cellular-biology,Harvard University
Music,https://projects.iq.harvard.edu/student-handbook/book/music,Harvard University
Near Eastern Languages and Civilizations,https://projects.iq.harvard.edu/student-handbook/book/near-eastern-languages-and-civilizations,Harvard University
Neurobiology,https://projects.iq.harvard.edu/student-handbook/book/neurobiology,Harvard University
Philosophy,https://projects.iq.harvard.edu/student-handbook/book/philosophy,Harvard University
Physics,https://projects.iq.harvard.edu/student-handbook/book/physics,Harvard University
Psychology,https://projects.iq.harvard.edu/student-handbook/book/psychology,Harvard University
"Religion, Comparative Study of",https://projects.iq.harvard.edu/student-handbook/book/religion-comparative-study,Harvard University
Romance Languages and Literatures,https://projects.iq.harvard.edu/student-handbook/book/romance-languages-and-literatures,Harvard University
Slavic Languages and Literatures,https://projects.iq.harvard.edu/student-handbook/book/slavic-languages-and-literatures,Harvard University
Social Studies,https://projects.iq.harvard.edu/student-handbook/book/social-studies,Harvard University
Sociology,https://projects.iq.harvard.edu/student-handbook/book/sociology,Harvard University
South Asian Studies,https://projects.iq.harvard.edu/student-handbook/book/south-asian-studies,Harvard University
Special Concentrations,https://projects.iq.harvard.edu/student-handbook/book/special-concentrations,Harvard University
Statistics,https://projects.iq.harvard.edu/student-handbook/book/statistics,Harvard University
"Theater, Dance, and Media",https://projects.iq.harvard.edu/student-handbook/book/theater-dance-and-media,Harvard University
Visual and Environmental Studies,https://projects.iq.harvard.edu/student-handbook/book/visual-and-environmental-studies,Harvard University
"Women, Gender, and Sexuality, Studies of",https://projects.iq.harvard.edu/student-handbook/book/women-gender-and-sexuality-studies,Harvard University
