Course,URL,University
Architecture (Course 4),http://catalog.mit.edu/degree-charts/architecture-course-4/,Massachusetts Institute of Technology
Art and Design (Course 4-B),http://catalog.mit.edu/degree-charts/architecture-course-4-b/,Massachusetts Institute of Technology
Planning (Course 11),http://catalog.mit.edu/degree-charts/planning-course-11/,Massachusetts Institute of Technology
Aerospace Engineering (Course 16),http://catalog.mit.edu/degree-charts/aerospace-engineering-course-16/,Massachusetts Institute of Technology
Archaeology and Materials (Course 3-C),http://catalog.mit.edu/degree-charts/archaeology-materials-course-3-c/,Massachusetts Institute of Technology
Biological Engineering (Course 20),http://catalog.mit.edu/degree-charts/biological-engineering-course-20/,Massachusetts Institute of Technology
Chemical-Biological Engineering (Course 10-B),http://catalog.mit.edu/degree-charts/chemical-biological-engineering-course-10-b/,Massachusetts Institute of Technology
Chemical Engineering (Course 10),http://catalog.mit.edu/degree-charts/chemical-engineering-course-10/,Massachusetts Institute of Technology
Chemical Engineering (Course 10-C),http://catalog.mit.edu/degree-charts/chemical-engineering-course-10-c/,Massachusetts Institute of Technology
Computer Science and Engineering (Course 6-3),http://catalog.mit.edu/degree-charts/computer-science-engineering-course-6-3/,Massachusetts Institute of Technology
Electrical Engineering and Computer Science (Course 6-2),http://catalog.mit.edu/degree-charts/electrical-engineering-computer-science-course-6-2/,Massachusetts Institute of Technology
Electrical Engineering and Computer Science (Course 6-P),http://catalog.mit.edu/degree-charts/master-electrical-engineering-computer-science-course-6-p/,Massachusetts Institute of Technology
Electrical Science and Engineering (Course 6-1),http://catalog.mit.edu/degree-charts/electrical-science-engineering-course-6-1/,Massachusetts Institute of Technology
Engineering as Recommended by the Department of Aeronautics and Astronautics (Course 16-ENG),http://catalog.mit.edu/degree-charts/engineering-aeronautics-astronautics-course-16-eng/,Massachusetts Institute of Technology
Engineering as Recommended by the Department of Chemical Engineering (Course 10-ENG),http://catalog.mit.edu/degree-charts/engineering-chemical-engineering-course-10-eng/,Massachusetts Institute of Technology
Engineering as Recommended by the Department of Mechanical Engineering (Course 2-A),http://catalog.mit.edu/degree-charts/mechanical-engineering-course-2-a/,Massachusetts Institute of Technology
General Engineering (Course 1-ENG),http://catalog.mit.edu/degree-charts/engineering-civil-environmental-engineering-course-1-eng/,Massachusetts Institute of Technology
Materials Science and Engineering (Course 3),http://catalog.mit.edu/degree-charts/materials-science-engineering-course-3/,Massachusetts Institute of Technology
Bachelor of Science as Recommended by the Department of Materials Science and Engineering (Course 3-A),http://catalog.mit.edu/degree-charts/materials-science-engineering-course-3-a/,Massachusetts Institute of Technology
Mechanical and Ocean Engineering (Course 2-OE),http://catalog.mit.edu/degree-charts/mechanical-ocean-engineering-course-2-oe/,Massachusetts Institute of Technology
Mechanical Engineering (Course 2),http://catalog.mit.edu/degree-charts/mechanical-engineering-course-2/,Massachusetts Institute of Technology
Nuclear Science and Engineering (Course 22),http://catalog.mit.edu/degree-charts/nuclear-science-engineering-course-22/,Massachusetts Institute of Technology
Anthropology (Course 21A),http://catalog.mit.edu/degree-charts/anthropology-course-21a/,Massachusetts Institute of Technology
Comparative Media Studies (CMS),http://catalog.mit.edu/degree-charts/comparative-media-studies-cms/,Massachusetts Institute of Technology
Economics (Course 14-1),http://catalog.mit.edu/degree-charts/economics-course-14/,Massachusetts Institute of Technology
Global Studies and Languages (Course 21G),http://catalog.mit.edu/degree-charts/global-studies-languages-course-21g/,Massachusetts Institute of Technology
