Course,University,URL
"AGRIBUSINESS MANAGEMENT, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
"AGRICULTURAL AND EXTENSION EDUCATION, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
"AGRICULTURAL SCIENCE, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-science-bs/
"ANIMAL SCIENCE, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-bs/
"BIORENEWABLE SYSTEMS, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/biorenewable-systems-bs/
"COMMUNITY, ENVIRONMENT, AND DEVELOPMENT, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/community-environment-development-bs/
"ENVIRONMENTAL RESOURCE MANAGEMENT, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-bs/
"FOOD SCIENCE, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/food-science-bs/
"FOREST ECOSYSTEM MANAGEMENT, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystem-management-bs/
"IMMUNOLOGY AND INFECTIOUS DISEASE, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/immunology-infectious-disease-bs/
"LANDSCAPE CONTRACTING, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/landscape-contracting-bs/
"PLANT SCIENCES, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/plant-sciences-bs/
"TOXICOLOGY, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/toxicology-bs/
"TURFGRASS SCIENCE, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-bs/
"VETERINARY AND BIOMEDICAL SCIENCES, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/veterinary-biomedical-sciences-bs/
"WILDLIFE AND FISHERIES SCIENCE, B.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-fisheries-science-bs/
"FOREST TECHNOLOGY, A.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-technology-as/
"TURFGRASS SCIENCE AND MANAGEMENT, A.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/turfgrass-science-management-as/
"WILDLIFE TECHNOLOGY, A.S.",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/wildlife-technology-as/
"AGRIBUSINESS MANAGEMENT, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-minor/
"AGRICULTURAL COMMUNICATIONS, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-communications-minor/
"AGRICULTURAL SYSTEMS MANAGEMENT, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-systems-management-minor/
"AGRONOMY, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agronomy-minor/
"ANIMAL SCIENCE, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/animal-science-minor/
"ARBORICULTURE, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/arboriculture-minor/
"ENTOMOLOGY, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/entomology-minor/
"ENVIRONMENTAL AND RENEWABLE RESOURCE ECONOMICS, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-renewable-resource-economics-minor/
"ENVIRONMENTAL RESOURCE MANAGEMENT, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-resource-management-minor/
"ENVIRONMENTAL SOIL SCIENCE, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/environmental-soil-science-minor/
"EQUINE SCIENCE, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/equine-science-minor/
"FOREST ECOSYSTEMS, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/forest-ecosystems-minor/
"HORTICULTURE, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/horticulture-minor/
"INTERNATIONAL AGRICULTURE, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/international-agriculture-minor/
"LEADERSHIP DEVELOPMENT, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/leadership-development-minor/
"MUSHROOM SCIENCE AND TECHNOLOGY, MINOR",Penn State University,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/mushroom-science-technology-minor/
