Course,URL,University
African American Studies,https://www.princeton.edu/academics/area-of-study/african-american-studies,Princeton University
African Studies,https://www.princeton.edu/academics/area-of-study/african-studies,Princeton University
American Studies,https://www.princeton.edu/academics/area-of-study/american-studies,Princeton University
Anthropology,https://www.princeton.edu/academics/area-of-study/anthropology,Princeton University
Applied and Computational Mathematics,https://www.princeton.edu/academics/area-of-study/applied-and-computational-mathematics,Princeton University
Architecture,https://www.princeton.edu/academics/area-of-study/architecture,Princeton University
Art and Archaeology,https://www.princeton.edu/academics/area-of-study/art-and-archaeology,Princeton University
Asian American Studies,https://www.princeton.edu/academics/area-of-study/asian-american-studies,Princeton University
Astrophysical Sciences,https://www.princeton.edu/academics/area-of-study/astrophysical-sciences,Princeton University
Atmospheric and Oceanic Sciences,https://www.princeton.edu/academics/area-of-study/atmospheric-and-oceanic-sciences,Princeton University
Chemical and Biological Engineering,https://www.princeton.edu/academics/area-of-study/chemical-and-biological-engineering,Princeton University
Chemistry,https://www.princeton.edu/academics/area-of-study/chemistry,Princeton University
Civil and Environmental Engineering,https://www.princeton.edu/academics/area-of-study/civil-and-environmental-engineering,Princeton University
Classics,https://www.princeton.edu/academics/area-of-study/classics,Princeton University
Cognitive Science,https://www.princeton.edu/academics/area-of-study/cognitive-science,Princeton University
Comparative Literature,https://www.princeton.edu/academics/area-of-study/comparative-literature,Princeton University
Computer Science,https://www.princeton.edu/academics/area-of-study/computer-science,Princeton University
Contemporary European Politics and Society,https://www.princeton.edu/academics/area-of-study/contemporary-european-politics-and-society,Princeton University
Creative Writing,https://www.princeton.edu/academics/area-of-study/creative-writing,Princeton University
Dance,https://www.princeton.edu/academics/area-of-study/dance,Princeton University
East Asian Studies,https://www.princeton.edu/academics/area-of-study/east-asian-studies,Princeton University
Ecology and Evolutionary Biology,https://www.princeton.edu/academics/area-of-study/ecology-and-evolutionary-biology,Princeton University
Economics,https://www.princeton.edu/academics/area-of-study/economics,Princeton University
Electrical Engineering,https://www.princeton.edu/academics/area-of-study/electrical-engineering,Princeton University
English,https://www.princeton.edu/academics/area-of-study/english,Princeton University
