Course,URL,University
"Veterinary Nurse Distance Learning, AAS",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=12535&returnto=11239,Purdue_University
"Veterinary Nurse, AAS",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=12533&returnto=11239,Purdue_University
"African American Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10465&returnto=11239,Purdue_University
"American Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10466&returnto=11239,Purdue_University
"Anthropology Honors, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10353&returnto=11239,Purdue_University
"Anthropology, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10351&returnto=11239,Purdue_University
"Art History, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10435&returnto=11239,Purdue_University
"Asian Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10467&returnto=11239,Purdue_University
"Chinese Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10749&returnto=11239,Purdue_University
"Classical Studies-Classical Languages Track, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10416&returnto=11239,Purdue_University
"Classical Studies-Literature & Culture Track, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10773&returnto=11239,Purdue_University
"Classical Studies-Material Culture & History Track, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10772&returnto=11239,Purdue_University
"Comparative Literature, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10468&returnto=11239,Purdue_University
"Corporate Communication, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10358&returnto=11239,Purdue_University
"Creative Writing, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10370&returnto=11239,Purdue_University
"Economics Honors, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10729&returnto=11239,Purdue_University
"Economics, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10339&returnto=11239,Purdue_University
"Elementary Education, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10223&returnto=11239,Purdue_University
"English, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10835&returnto=11239,Purdue_University
"Film Video and Theatre Production, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10469&returnto=11239,Purdue_University
"French, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10415&returnto=11239,Purdue_University
"General Communication, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10360&returnto=11239,Purdue_University
"General Education: Curriculum and Instruction, BA (non-licensure)",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10226&returnto=11239,Purdue_University
"General Education: Educational Studies, BA (non-licensure)",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10227&returnto=11239,Purdue_University
"German, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10414&returnto=11239,Purdue_University
"Global Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10750&returnto=11239,Purdue_University
"History Honors, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10390&returnto=11239,Purdue_University
"History, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10386&returnto=11239,Purdue_University
"Human Relations, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10357&returnto=11239,Purdue_University
"Interdisciplinary Film and Video Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=12543&returnto=11239,Purdue_University
"Italian Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10413&returnto=11239,Purdue_University
"Japanese, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10412&returnto=11239,Purdue_University
"Jewish Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10471&returnto=11239,Purdue_University
"Law and Society Honors, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10405&returnto=11239,Purdue_University
"Law and Society, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10404&returnto=11239,Purdue_University
"Learning Sciences in Educational Studies, BA (non-licensure)",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10228&returnto=11239,Purdue_University
"Linguistics, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10472&returnto=11239,Purdue_University
"Mass Communication, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10362&returnto=11239,Purdue_University
"Philosophy, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10398&returnto=11239,Purdue_University
"Political Science, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10401&returnto=11239,Purdue_University
"Professional Writing, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10374&returnto=11239,Purdue_University
"Public Relations and Strategic Communication, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10363&returnto=11239,Purdue_University
"Religious Studies, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10446&returnto=11239,Purdue_University
"Russian, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10411&returnto=11239,Purdue_University
"Social Studies Education, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10224&returnto=11239,Purdue_University
"Sociology Honors, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10417&returnto=11239,Purdue_University
"Sociology, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10409&returnto=11239,Purdue_University
"Sound for the Performing Arts, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10440&returnto=11239,Purdue_University
"Spanish, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10410&returnto=11239,Purdue_University
"Special Education/Elementary Education, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10229&returnto=11239,Purdue_University
"Special Education/Mild & Intense Intervention P-12, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10748&returnto=11239,Purdue_University
"Special Education/Mild Intervention P-12, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10747&returnto=11239,Purdue_University
"Studio Arts and Technology, BA",http://catalog.purdue.edu/preview_program.php?catoid=9&poid=10442&returnto=11239,Purdue_University
