Course,University,URL
Accounting (ACCT),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/acct/
Aeronautics & Astronautics (AA),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/aa/
African Studies (AFRICAST),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/africast/
Anesthesia (ANES),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/anes/
Anthropology (ANTHRO),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/anthro/
"Athletics, Phys Ed, Recreation (ATHLETIC)",Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/athletic/
Bio Hopkins Marine (BIOHOPK),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/biohopk/
Biology (BIO),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/bio/
Cancer Biology (CBIO),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/cbio/
Chemical Engineering (CHEMENG),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/chemeng/
Chemistry (CHEM),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/chem/
Civil & Environ Engineering (CEE),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/cee/
Classics (CLASSICS),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/classics/
Communication (COMM),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/comm/
Comparative Literature (COMPLIT),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/complit/
Comparative Medicine (COMPMED),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/compmed/
Compar Stud in Race & Ethnic (CSRE),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/csre/
Computer Science (CS),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/cs/
Comput & Math Engr (CME),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/cme/
Dance (DANCE),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/dance/
Developmental Biology (DBIO),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/dbio/
"Earth, Energy & Env Sciences (EEES)",Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/eees/
Earth Systems (EARTHSYS),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/earthsys/
Economics (ECON),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/econ/
Education (EDUC),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/educ/
Electrical Engineering (EE),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/ee/
Energy Resources Engineering (ENERGY),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/energy/
Engineering (ENGR),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/engr/
English (ENGLISH),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/english/
Environment and Resources (ENVRES),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/envres/
Ethics in Society (ETHICSOC),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/ethicsoc/
"Feminist, Gend, & Sex. Studies (FEMGEN)",Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/femgen/
Film Production (FILMPROD),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/filmprod/
Finance (FINANCE),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/finance/
French (FRENCH),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/french/
Genetics (GENE),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/gene/
German Language (GERLANG),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/gerlang/
Health Research & Policy (HRP),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/hrp/
History (HISTORY),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/history/
Human Biology (HUMBIO),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/humbio/
Humanities & Sciences (HUMSCI),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/humsci/
International Relations (INTNLREL),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/intnlrel/
Italian (ITALIAN),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/italian/
Jewish Studies (JEWISHST),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/jewishst/
Law (LAW),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/law/
Master of Liberal Arts (MLA),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/mla/
Materials Science & Engineer (MATSCI),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/matsci/
Mathematics (MATH),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/math/
Mechanical Engineering (ME),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/me/
Mgmt Science & Engineering (MS&E),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/ms_e/
Music (MUSIC),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/music/
Neurobiology (NBIO),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/nbio/
Physics (PHYSICS),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/physics/
Political Science (POLISCI),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/polisci/
Program in Writing & Rhetoric (PWR),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/pwr/
Psychology (PSYCH),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/psych/
Public Policy (PUBLPOL),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/publpol/
Religious Studies (RELIGST),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/religst/
Russian E Euro Eurasia Studies (REES),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/rees/
Sci Comput & Comput'l Math (SCCM),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/sccm/
"Science, Technology, & Society (STS)",Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/sts/
Slavic Languages & Literatures (SLAVIC),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/slavic/
Structured Liberal Education (SLE),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/sle/
Surgery (SURG),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/surg/
Theater and Performance Studies (TAPS),Stanford University,https://exploredegrees.stanford.edu/coursedescriptions/taps/
