Course,URL,University
Aerospace Studies (AEROSPC),http://guide.berkeley.edu/courses/aerospc/,"University of California, Berkeley"
African American Studies (AFRICAM),http://guide.berkeley.edu/courses/africam/,"University of California, Berkeley"
"Agricultural and Resource Economics (A,RESEC)","http://guide.berkeley.edu/courses/a,resec/","University of California, Berkeley"
American Studies (AMERSTD),http://guide.berkeley.edu/courses/amerstd/,"University of California, Berkeley"
Ancient History and Mediterranean Archaeology (AHMA),http://guide.berkeley.edu/courses/ahma/,"University of California, Berkeley"
Anthropology (ANTHRO),http://guide.berkeley.edu/courses/anthro/,"University of California, Berkeley"
Applied Science and Technology (AST),http://guide.berkeley.edu/courses/ast/,"University of California, Berkeley"
Arabic (ARABIC),http://guide.berkeley.edu/courses/arabic/,"University of California, Berkeley"
Architecture (ARCH),http://guide.berkeley.edu/courses/arch/,"University of California, Berkeley"
Armenian (ARMENI),http://guide.berkeley.edu/courses/armeni/,"University of California, Berkeley"
"Art, History of (HISTART)",http://guide.berkeley.edu/courses/histart/,"University of California, Berkeley"
Art Practice (ART),http://guide.berkeley.edu/courses/art/,"University of California, Berkeley"
Arts and Humanities (HUM),http://guide.berkeley.edu/courses/hum/,"University of California, Berkeley"
Asian American Studies (ASAMST),http://guide.berkeley.edu/courses/asamst/,"University of California, Berkeley"
Asian Studies (ASIANST),http://guide.berkeley.edu/courses/asianst/,"University of California, Berkeley"
Astronomy (ASTRON),http://guide.berkeley.edu/courses/astron/,"University of California, Berkeley"
Bengali (BANGLA),http://guide.berkeley.edu/courses/bangla/,"University of California, Berkeley"
Bibliography (BIBLIOG),http://guide.berkeley.edu/courses/bibliog/,"University of California, Berkeley"
Bioengineering (BIO ENG),http://guide.berkeley.edu/courses/bio_eng/,"University of California, Berkeley"
Biology (BIOLOGY),http://guide.berkeley.edu/courses/biology/,"University of California, Berkeley"
Biophysics (BIOPHY),http://guide.berkeley.edu/courses/biophy/,"University of California, Berkeley"
"Bosnian, Croatian, Serbian (BOSCRSR)",http://guide.berkeley.edu/courses/boscrsr/,"University of California, Berkeley"
Buddhist Studies (BUDDSTD),http://guide.berkeley.edu/courses/buddstd/,"University of California, Berkeley"
Bulgarian (BULGARI),http://guide.berkeley.edu/courses/bulgari/,"University of California, Berkeley"
Burmese (BURMESE),http://guide.berkeley.edu/courses/burmese/,"University of California, Berkeley"
"Business Administration, Evening/Weekend Masters (EWMBA)",http://guide.berkeley.edu/courses/ewmba/,"University of California, Berkeley"
"Business Administration, Executive Master (XMBA)",http://guide.berkeley.edu/courses/xmba/,"University of California, Berkeley"
"Business Administration, Master (MBA)",http://guide.berkeley.edu/courses/mba/,"University of California, Berkeley"
"Business Administration, PhD (PHDBA)",http://guide.berkeley.edu/courses/phdba/,"University of California, Berkeley"
"Business Administration, Undergraduate (UGBA)",http://guide.berkeley.edu/courses/ugba/,"University of California, Berkeley"
Catalan (CATALAN),http://guide.berkeley.edu/courses/catalan/,"University of California, Berkeley"
Celtic Studies (CELTIC),http://guide.berkeley.edu/courses/celtic/,"University of California, Berkeley"
Chemical & Biomolecular Engineering (CHM ENG),http://guide.berkeley.edu/courses/chm_eng/,"University of California, Berkeley"
Chemistry (CHEM),http://guide.berkeley.edu/courses/chem/,"University of California, Berkeley"
Chicano Studies (CHICANO),http://guide.berkeley.edu/courses/chicano/,"University of California, Berkeley"
Chinese (CHINESE),http://guide.berkeley.edu/courses/chinese/,"University of California, Berkeley"
City and Regional Planning (CY PLAN),http://guide.berkeley.edu/courses/cy_plan/,"University of California, Berkeley"
Civil and Environmental Engineering (CIV ENG),http://guide.berkeley.edu/courses/civ_eng/,"University of California, Berkeley"
Classics (CLASSIC),http://guide.berkeley.edu/courses/classic/,"University of California, Berkeley"
