Course,URL,University
Accounting Minor; Graduate School of Management,https://ucdavis.pubs.curricunet.com/Catalog/accounting,"University of California, Davis"
Aerospace Science & Engineering; Engineering,https://ucdavis.pubs.curricunet.com/Catalog/eae,"University of California, Davis"
African American & African Studies,https://ucdavis.pubs.curricunet.com/Catalog/aas,"University of California, Davis"
Aging & Adult Development Minor; Human Ecology,https://ucdavis.pubs.curricunet.com/Catalog/aging-adult-development,"University of California, Davis"
Agricultural & Environmental Chemistry (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/agc,"University of California, Davis"
Agricultural & Environmental Education,https://ucdavis.pubs.curricunet.com/Catalog/aed,"University of California, Davis"
Agricultural & Resource Economics,https://ucdavis.pubs.curricunet.com/Catalog/are,"University of California, Davis"
Agricultural Pest Management Minor; Entomology & Nematology,https://ucdavis.pubs.curricunet.com/Catalog/agricultural-pest-management,"University of California, Davis"
Agricultural Systems & Environment Minor; Plant Sciences,https://ucdavis.pubs.curricunet.com/Catalog/agricultural-systems-environment,"University of California, Davis"
American Studies,https://ucdavis.pubs.curricunet.com/Catalog/ams,"University of California, Davis"
Animal Behavior (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/anb,"University of California, Davis"
Animal Biology,https://ucdavis.pubs.curricunet.com/Catalog/abi,"University of California, Davis"
Animal Biology (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/abg,"University of California, Davis"
Animal Genetics,https://ucdavis.pubs.curricunet.com/Catalog/ang,"University of California, Davis"
Animal Science,https://ucdavis.pubs.curricunet.com/Catalog/ans,"University of California, Davis"
Animal Science & Management,https://ucdavis.pubs.curricunet.com/Catalog/animal-science-management,"University of California, Davis"
Anthropology,https://ucdavis.pubs.curricunet.com/Catalog/ant,"University of California, Davis"
Applied Biological Systems Technology,https://ucdavis.pubs.curricunet.com/Catalog/abt,"University of California, Davis"
Applied Computing & Information Systems Minor; Plant Sciences,https://ucdavis.pubs.curricunet.com/Catalog/applied-computing-information-systems,"University of California, Davis"
Applied Mathematics (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/applied-mathematics-graduate-group,"University of California, Davis"
Applied Mathematics; Mathematics,https://ucdavis.pubs.curricunet.com/Catalog/applied-mathematics,"University of California, Davis"
Applied Physics; Physics,https://ucdavis.pubs.curricunet.com/Catalog/applied-physics,"University of California, Davis"
Applied Science Engineering; Engineering,https://ucdavis.pubs.curricunet.com/Catalog/ead,"University of California, Davis"
Arab Studies Minor; Middle East/South Asia Studies,https://ucdavis.pubs.curricunet.com/Catalog/arab-studies-minor,"University of California, Davis"
Arabic Minor; Classics,https://ucdavis.pubs.curricunet.com/Catalog/arabic-minor,"University of California, Davis"
Art History,https://ucdavis.pubs.curricunet.com/Catalog/ahi,"University of California, Davis"
Art Studio,https://ucdavis.pubs.curricunet.com/Catalog/art,"University of California, Davis"
Asian American Studies,https://ucdavis.pubs.curricunet.com/Catalog/asa,"University of California, Davis"
Atmospheric Science,https://ucdavis.pubs.curricunet.com/Catalog/atm,"University of California, Davis"
Atmospheric Science (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/atm-graduate-group,"University of California, Davis"
Avian Sciences,https://ucdavis.pubs.curricunet.com/Catalog/avs,"University of California, Davis"
Avian Sciences (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/avs-graduate-group,"University of California, Davis"
Biochemical Engineering; Engineering,https://ucdavis.pubs.curricunet.com/Catalog/biochemical-engineering,"University of California, Davis"
Biochemistry & Molecular Biology; Molecular & Cellular Biology,https://ucdavis.pubs.curricunet.com/Catalog/biochemistry-molecular-biology,"University of California, Davis"
"Biochemistry, Molecular, Cellular & Developmental Biology (Graduate Group)",https://ucdavis.pubs.curricunet.com/Catalog/bmcdb,"University of California, Davis"
"Biological & Agricultural Engineering; Agricultural & Environmental Sciences, Engineering",https://ucdavis.pubs.curricunet.com/Catalog/biological-agricultural-engineering,"University of California, Davis"
Biological Sciences,https://ucdavis.pubs.curricunet.com/Catalog/bis,"University of California, Davis"
"Biological Systems Engineering; Agricultural & Environmental Sciences, Engineering",https://ucdavis.pubs.curricunet.com/Catalog/ebs,"University of California, Davis"
Biomedical Engineering; Engineering,https://ucdavis.pubs.curricunet.com/Catalog/bim,"University of California, Davis"
Biomedical Engineering (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/biomedical-engineering-graduate-group,"University of California, Davis"
Biophysics (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/bph,"University of California, Davis"
Biostatistics (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/bst,"University of California, Davis"
Biotechnology,https://ucdavis.pubs.curricunet.com/Catalog/bit,"University of California, Davis"
Bodega Marine Laboratory Program,https://ucdavis.pubs.curricunet.com/Catalog/bml,"University of California, Davis"
Business Analytics; Graduate School of Management,https://ucdavis.pubs.curricunet.com/Catalog/business-analytics,"University of California, Davis"
Capital Area North Doctorate in Education Leadership (CANDEL) Education (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/candel,"University of California, Davis"
Cell Biology; Molecular & Cellular Biology,https://ucdavis.pubs.curricunet.com/Catalog/cell-biology,"University of California, Davis"
Chemical Engineering; Engineering,https://ucdavis.pubs.curricunet.com/Catalog/ech,"University of California, Davis"
Chemical Physics; Chemistry,https://ucdavis.pubs.curricunet.com/Catalog/chemical-physics,"University of California, Davis"
Chemistry,https://ucdavis.pubs.curricunet.com/Catalog/che,"University of California, Davis"
Chicana/Chicano Studies,https://ucdavis.pubs.curricunet.com/Catalog/chi,"University of California, Davis"
Child Development (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/child-development,"University of California, Davis"
Chinese; East Asian Languages & Cultures,https://ucdavis.pubs.curricunet.com/Catalog/chn,"University of California, Davis"
Cinema & Digital Media,https://ucdavis.pubs.curricunet.com/Catalog/cinema-digital-media,"University of California, Davis"
Civil & Environmental Engineering; Engineering,https://ucdavis.pubs.curricunet.com/Catalog/eci,"University of California, Davis"
Civil Engineering; Engineering,https://ucdavis.pubs.curricunet.com/Catalog/civil-engineering,"University of California, Davis"
Classical Civilization; Classics,https://ucdavis.pubs.curricunet.com/Catalog/classical-civilization,"University of California, Davis"
Classics,https://ucdavis.pubs.curricunet.com/Catalog/cla,"University of California, Davis"
Climate Science & Policy Minor; Environmental Science & Policy,https://ucdavis.pubs.curricunet.com/Catalog/climate-science-policy,"University of California, Davis"
Clinical Nutrition,https://ucdavis.pubs.curricunet.com/Catalog/clinical-nutrition,"University of California, Davis"
Clinical Research (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/clinical-research-graduate-group,"University of California, Davis"
Coaching Principles & Methods Minor; Physical Education,https://ucdavis.pubs.curricunet.com/Catalog/coaching-principles-methods,"University of California, Davis"
Cognitive Science,https://ucdavis.pubs.curricunet.com/Catalog/cognitive-science,"University of California, Davis"
Communication,https://ucdavis.pubs.curricunet.com/Catalog/cmn,"University of California, Davis"
Community & Regional Development,https://ucdavis.pubs.curricunet.com/Catalog/crd,"University of California, Davis"
Community Development (Graduate Group),https://ucdavis.pubs.curricunet.com/Catalog/community-development-graduate-group,"University of California, Davis"
Community Development Minor; Human Ecology,https://ucdavis.pubs.curricunet.com/Catalog/community-development,"University of California, Davis"
Community Nutrition Minor; Nutrition,https://ucdavis.pubs.curricunet.com/Catalog/community-nutrition,"University of California, Davis"
Comparative Literature,https://ucdavis.pubs.curricunet.com/Catalog/com,"University of California, Davis"
