Course,University,URL
Academic English and ESL (AC ENG),"University of California, Irvine",http://catalogue.uci.edu/allcourses/ac_eng/
African American Studies (AFAM),"University of California, Irvine",http://catalogue.uci.edu/allcourses/afam/
Anatomy and Neurobiology (ANATOMY),"University of California, Irvine",http://catalogue.uci.edu/allcourses/anatomy/
Anthropology (ANTHRO),"University of California, Irvine",http://catalogue.uci.edu/allcourses/anthro/
Arabic (ARABIC),"University of California, Irvine",http://catalogue.uci.edu/allcourses/arabic/
Armenian (ARMN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/armn/
Art (ART),"University of California, Irvine",http://catalogue.uci.edu/allcourses/art/
Art History (ART HIS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/art_his/
Arts (ARTS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/arts/
Asian American Studies (ASIANAM),"University of California, Irvine",http://catalogue.uci.edu/allcourses/asianam/
Biological Chemistry (BIOCHEM),"University of California, Irvine",http://catalogue.uci.edu/allcourses/biochem/
Biological Sciences (BIO SCI),"University of California, Irvine",http://catalogue.uci.edu/allcourses/bio_sci/
Biomedical and Translational Science (BATS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/bats/
Biomedical Engineering (BME),"University of California, Irvine",http://catalogue.uci.edu/allcourses/bme/
Bio Sci & Educational Media Design (BSEMD),"University of California, Irvine",http://catalogue.uci.edu/allcourses/bsemd/
Business Analytics (BANA),"University of California, Irvine",http://catalogue.uci.edu/allcourses/bana/
Chemical Engr and Materials Science (CBEMS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/cbems/
Chemical Engr and Materials Science (grads) (ENGRMSE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/engrmse/
Chemistry (CHEM),"University of California, Irvine",http://catalogue.uci.edu/allcourses/chem/
Chicano/Latino Studies (CHC/LAT),"University of California, Irvine",http://catalogue.uci.edu/allcourses/chc_lat/
Chinese (CHINESE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/chinese/
Civil and Environmental Engineering (ENGRCEE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/engrcee/
Classics (CLASSIC),"University of California, Irvine",http://catalogue.uci.edu/allcourses/classic/
Cognitive Sciences (COGS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/cogs/
Comparative Literature (COM LIT),"University of California, Irvine",http://catalogue.uci.edu/allcourses/com_lit/
Computer Science and Engineering (CSE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/cse/
Computer Science (COMPSCI),"University of California, Irvine",http://catalogue.uci.edu/allcourses/compsci/
"Criminology, Law and Society (CRM/LAW)","University of California, Irvine",http://catalogue.uci.edu/allcourses/crm_law/
Criticism (CRITISM),"University of California, Irvine",http://catalogue.uci.edu/allcourses/critism/
Culture and Theory (CLT&THY),"University of California, Irvine",http://catalogue.uci.edu/allcourses/clt_thy/
Dance (DANCE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/dance/
Developmental and Cell Biology (DEV BIO),"University of California, Irvine",http://catalogue.uci.edu/allcourses/dev_bio/
Drama (DRAMA),"University of California, Irvine",http://catalogue.uci.edu/allcourses/drama/
Earth System Science (EARTHSS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/earthss/
East Asian Languages and Literatures (E ASIAN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/e_asian/
Ecology and Evolutionary Biology (ECO EVO),"University of California, Irvine",http://catalogue.uci.edu/allcourses/eco_evo/
Economics (ECON),"University of California, Irvine",http://catalogue.uci.edu/allcourses/econ/
Education (EDUC),"University of California, Irvine",http://catalogue.uci.edu/allcourses/educ/
Electrical Engineering & Computer Science (EECS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/eecs/
Embedded and Cyber-Physical Systems (ECPS),"University of California, Irvine",http://catalogue.uci.edu/allcourses/ecps/
Engineering (ENGR),"University of California, Irvine",http://catalogue.uci.edu/allcourses/engr/
English (ENGLISH),"University of California, Irvine",http://catalogue.uci.edu/allcourses/english/
Epidemiology (EPIDEM),"University of California, Irvine",http://catalogue.uci.edu/allcourses/epidem/
European Studies (EURO ST),"University of California, Irvine",http://catalogue.uci.edu/allcourses/euro_st/
Executive MBA (MGMT EP),"University of California, Irvine",http://catalogue.uci.edu/allcourses/mgmt_ep/
Film and Media Studies (FLM&MDA),"University of California, Irvine",http://catalogue.uci.edu/allcourses/flm_mda/
Finance (FIN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/fin/
French (FRENCH),"University of California, Irvine",http://catalogue.uci.edu/allcourses/french/
Fully Employed MBA (MGMT FE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/mgmt_fe/
Gender and Sexuality Studies (GEN&SEX),"University of California, Irvine",http://catalogue.uci.edu/allcourses/gen_sex/
German (GERMAN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/german/
Global Cultures (GLBLCLT),"University of California, Irvine",http://catalogue.uci.edu/allcourses/glblclt/
Global Middle East Studies (GLBL ME),"University of California, Irvine",http://catalogue.uci.edu/allcourses/glblme/
Greek (GREEK),"University of California, Irvine",http://catalogue.uci.edu/allcourses/greek/
Health Care MBA (MGMT HC),"University of California, Irvine",http://catalogue.uci.edu/allcourses/mgmt_hc/
Hebrew (HEBREW),"University of California, Irvine",http://catalogue.uci.edu/allcourses/hebrew/
History (HISTORY),"University of California, Irvine",http://catalogue.uci.edu/allcourses/history/
Humanities (HUMAN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/human/
Informatics (IN4MATX),"University of California, Irvine",http://catalogue.uci.edu/allcourses/in4matx/
Information and Computer Science (I&C SCI),"University of California, Irvine",http://catalogue.uci.edu/allcourses/i_c_sci/
International Studies (INTL ST),"University of California, Irvine",http://catalogue.uci.edu/allcourses/intl_st/
Italian (ITALIAN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/italian/
Japanese (JAPANSE),"University of California, Irvine",http://catalogue.uci.edu/allcourses/japanse/
Korean (KOREAN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/korean/
Latin (LATIN),"University of California, Irvine",http://catalogue.uci.edu/allcourses/latin/
