Course,URL,University
Aerospace Studies – Air Force ROTC,https://catalog.registrar.ucla.edu/ucla-catalog18-19-273.html,"University of California, Los Angeles"
African American Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-278.html,"University of California, Los Angeles"
African Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-287.html,"University of California, Los Angeles"
American Indian Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-292.html,"University of California, Los Angeles"
Anesthesiology and Perioperative Medicine,https://catalog.registrar.ucla.edu/ucla-catalog18-19-301.html,"University of California, Los Angeles"
Anthropology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-304.html,"University of California, Los Angeles"
Applied Linguistics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-315.html,"University of California, Los Angeles"
Archaeology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-321.html,"University of California, Los Angeles"
Architecture and Urban Design,https://catalog.registrar.ucla.edu/ucla-catalog18-19-328.html,"University of California, Los Angeles"
Art,https://catalog.registrar.ucla.edu/ucla-catalog18-19-336.html,"University of California, Los Angeles"
Art History,https://catalog.registrar.ucla.edu/ucla-catalog18-19-344.html,"University of California, Los Angeles"
Arts and Architecture,https://catalog.registrar.ucla.edu/ucla-catalog18-19-353.html,"University of California, Los Angeles"
Asian American Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-356.html,"University of California, Los Angeles"
Asian Languages and Cultures,https://catalog.registrar.ucla.edu/ucla-catalog18-19-365.html,"University of California, Los Angeles"
Atmospheric and Oceanic Sciences,https://catalog.registrar.ucla.edu/ucla-catalog18-19-399.html,"University of California, Los Angeles"
Bioengineering,https://catalog.registrar.ucla.edu/ucla-catalog18-19-410.html,"University of California, Los Angeles"
Bioinformatics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-418.html,"University of California, Los Angeles"
Biological Chemistry,https://catalog.registrar.ucla.edu/ucla-catalog18-19-423.html,"University of California, Los Angeles"
Biomathematics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-429.html,"University of California, Los Angeles"
Biomedical Research,https://catalog.registrar.ucla.edu/ucla-catalog18-19-435.html,"University of California, Los Angeles"
Biostatistics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-440.html,"University of California, Los Angeles"
Chemical and Biomolecular Engineering,https://catalog.registrar.ucla.edu/ucla-catalog18-19-446.html,"University of California, Los Angeles"
Chemistry and Biochemistry,https://catalog.registrar.ucla.edu/ucla-catalog18-19-454.html,"University of California, Los Angeles"
César E. Chávez Department of Chicana and Chicano Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-466.html,"University of California, Los Angeles"
Civic Engagement,https://catalog.registrar.ucla.edu/ucla-catalog18-19-475.html,"University of California, Los Angeles"
Civil and Environmental Engineering,https://catalog.registrar.ucla.edu/ucla-catalog18-19-481.html,"University of California, Los Angeles"
Classics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-490.html,"University of California, Los Angeles"
Cluster Program,https://catalog.registrar.ucla.edu/ucla-catalog18-19-511.html,"University of California, Los Angeles"
Communication,https://catalog.registrar.ucla.edu/ucla-catalog18-19-516.html,"University of California, Los Angeles"
Community Health Sciences,https://catalog.registrar.ucla.edu/ucla-catalog18-19-522.html,"University of California, Los Angeles"
Comparative Literature,https://catalog.registrar.ucla.edu/ucla-catalog18-19-529.html,"University of California, Los Angeles"
Computational and Systems Biology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-538.html,"University of California, Los Angeles"
Computer Science,https://catalog.registrar.ucla.edu/ucla-catalog18-19-547.html,"University of California, Los Angeles"
"Conservation of Archaeological and
Ethnographic Materials",https://catalog.registrar.ucla.edu/ucla-catalog18-19-560.html,"University of California, Los Angeles"
Dentistry,https://catalog.registrar.ucla.edu/ucla-catalog18-19-566.html,"University of California, Los Angeles"
Design | Media Arts,https://catalog.registrar.ucla.edu/ucla-catalog18-19-569.html,"University of California, Los Angeles"
Digital Humanities,https://catalog.registrar.ucla.edu/ucla-catalog18-19-577.html,"University of California, Los Angeles"
Disability Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-584.html,"University of California, Los Angeles"
"Earth, Planetary, and Space Sciences",https://catalog.registrar.ucla.edu/ucla-catalog18-19-589.html,"University of California, Los Angeles"
East Asian Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-605.html,"University of California, Los Angeles"
Ecology and Evolutionary Biology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-610.html,"University of California, Los Angeles"
Economics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-623.html,"University of California, Los Angeles"
Education,https://catalog.registrar.ucla.edu/ucla-catalog18-19-633.html,"University of California, Los Angeles"
Electrical and Computer Engineering,https://catalog.registrar.ucla.edu/ucla-catalog18-19-641.html,"University of California, Los Angeles"
Emergency Medicine,https://catalog.registrar.ucla.edu/ucla-catalog18-19-650.html,"University of California, Los Angeles"
Engineering Schoolwide Programs,https://catalog.registrar.ucla.edu/ucla-catalog18-19-652.html,"University of California, Los Angeles"
English,https://catalog.registrar.ucla.edu/ucla-catalog18-19-657.html,"University of California, Los Angeles"
Entrepreneurship,https://catalog.registrar.ucla.edu/ucla-catalog18-19-669.html,"University of California, Los Angeles"
"Environment and Sustainability, Institute of the",https://catalog.registrar.ucla.edu/ucla-catalog18-19-673.html,"University of California, Los Angeles"
Environmental Health Sciences,https://catalog.registrar.ucla.edu/ucla-catalog18-19-682.html,"University of California, Los Angeles"
Epidemiology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-689.html,"University of California, Los Angeles"
Ethnomusicology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-695.html,"University of California, Los Angeles"
Family Medicine,https://catalog.registrar.ucla.edu/ucla-catalog18-19-703.html,"University of California, Los Angeles"
"Film, Television, and Digital Media",https://catalog.registrar.ucla.edu/ucla-catalog18-19-706.html,"University of California, Los Angeles"
Food Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-715.html,"University of California, Los Angeles"
Foreign Literature in Translation,https://catalog.registrar.ucla.edu/ucla-catalog18-19-721.html,"University of California, Los Angeles"
French and Francophone Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-722.html,"University of California, Los Angeles"
Gender Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-733.html,"University of California, Los Angeles"
Geography,https://catalog.registrar.ucla.edu/ucla-catalog18-19-742.html,"University of California, Los Angeles"
Germanic Languages,https://catalog.registrar.ucla.edu/ucla-catalog18-19-755.html,"University of California, Los Angeles"
Gerontology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-768.html,"University of California, Los Angeles"
Global Health,https://catalog.registrar.ucla.edu/ucla-catalog18-19-773.html,"University of California, Los Angeles"
Global Jazz Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-778.html,"University of California, Los Angeles"
Global Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-784.html,"University of California, Los Angeles"
Graduate Student Professional Development,https://catalog.registrar.ucla.edu/ucla-catalog18-19-791.html,"University of California, Los Angeles"
Head and Neck Surgery,https://catalog.registrar.ucla.edu/ucla-catalog18-19-792.html,"University of California, Los Angeles"
Health Policy and Management,https://catalog.registrar.ucla.edu/ucla-catalog18-19-793.html,"University of California, Los Angeles"
History,https://catalog.registrar.ucla.edu/ucla-catalog18-19-799.html,"University of California, Los Angeles"
Honors Collegium,https://catalog.registrar.ucla.edu/ucla-catalog18-19-809.html,"University of California, Los Angeles"
Human Genetics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-815.html,"University of California, Los Angeles"
Individual Fields,https://catalog.registrar.ucla.edu/ucla-catalog18-19-821.html,"University of California, Los Angeles"
Indo-European Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-822.html,"University of California, Los Angeles"
Information Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-829.html,"University of California, Los Angeles"
Integrative Biology and Physiology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-835.html,"University of California, Los Angeles"
International and Area Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-843.html,"University of California, Los Angeles"
International Development Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-860.html,"University of California, Los Angeles"
International Migration Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-865.html,"University of California, Los Angeles"
Italian,https://catalog.registrar.ucla.edu/ucla-catalog18-19-870.html,"University of California, Los Angeles"
Labor and Workplace Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-881.html,"University of California, Los Angeles"
Latin American Studies,https://catalog.registrar.ucla.edu/ucla-catalog18-19-887.html,"University of California, Los Angeles"
Law,https://catalog.registrar.ucla.edu/ucla-catalog18-19-892.html,"University of California, Los Angeles"
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",https://catalog.registrar.ucla.edu/ucla-catalog18-19-897.html,"University of California, Los Angeles"
Life Sciences,https://catalog.registrar.ucla.edu/ucla-catalog18-19-903.html,"University of California, Los Angeles"
Linguistics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-908.html,"University of California, Los Angeles"
Management,https://catalog.registrar.ucla.edu/ucla-catalog18-19-932.html,"University of California, Los Angeles"
Materials Science and Engineering,https://catalog.registrar.ucla.edu/ucla-catalog18-19-945.html,"University of California, Los Angeles"
Mathematics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-953.html,"University of California, Los Angeles"
Mathematics/Economics,https://catalog.registrar.ucla.edu/ucla-catalog18-19-971.html,"University of California, Los Angeles"
Mechanical and Aerospace Engineering,https://catalog.registrar.ucla.edu/ucla-catalog18-19-975.html,"University of California, Los Angeles"
Medicine,https://catalog.registrar.ucla.edu/ucla-catalog18-19-985.html,"University of California, Los Angeles"
"Microbiology, Immunology, and Molecular Genetics",https://catalog.registrar.ucla.edu/ucla-catalog18-19-989.html,"University of California, Los Angeles"
Military Science – Army ROTC,https://catalog.registrar.ucla.edu/ucla-catalog18-19-997.html,"University of California, Los Angeles"
Molecular and Medical Pharmacology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-1003.html,"University of California, Los Angeles"
Molecular Biology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-1009.html,"University of California, Los Angeles"
"Molecular, Cell, and Developmental Biology",https://catalog.registrar.ucla.edu/ucla-catalog18-19-1014.html,"University of California, Los Angeles"
"Molecular, Cellular, and Integrative Physiology",https://catalog.registrar.ucla.edu/ucla-catalog18-19-1022.html,"University of California, Los Angeles"
Molecular Toxicology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-1027.html,"University of California, Los Angeles"
Music,https://catalog.registrar.ucla.edu/ucla-catalog18-19-1032.html,"University of California, Los Angeles"
Music Industry,https://catalog.registrar.ucla.edu/ucla-catalog18-19-1042.html,"University of California, Los Angeles"
Musicology,https://catalog.registrar.ucla.edu/ucla-catalog18-19-1047.html,"University of California, Los Angeles"
Naval Science – Navy ROTC,https://catalog.registrar.ucla.edu/ucla-catalog18-19-1056.html,"University of California, Los Angeles"
Near Eastern Languages and Cultures,https://catalog.registrar.ucla.edu/ucla-catalog18-19-1061.html,"University of California, Los Angeles"
