Course,University,URL
AESE - ArchitectureBsdEntrpSystmsEngr,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=AESE
AIP - Academic Internship Program,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=AIP
ANAR - Anthropological Archaeology,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=ANAR
ANBI - Anthro/Biological Anthropology,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=ANBI
ANES - Anesthesiology,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=ANES
ANSC - Anthropology/Sociocultural,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=ANSC
ANTH - Anthropology,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=ANTH
AUD - Audiology,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=AUD
AWP - Analytical Writing Program,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=AWP
BENG - Bioengineering,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BENG
BGGN - Biology/Grad/General,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BGGN
BGRD - Biology/Grad/Research Discussn,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BGRD
BGSE - Biology/Grad/Seminar,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BGSE
BIBC - Biology/Biochemistry,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BIBC
"BICD - Biol/Genetics,Cellular&Develop","University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BICD
"BIEB - Biol/Ecology, Behavior, & Evol","University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BIEB
BILD - Biology/Lower Division,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BILD
"BIMM - Biology/Molec Biol, Microbiol","University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BIMM
BIOM - Biomedical Sciences,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BIOM
BIPN - Biology/Animal Physiol&Neurosc,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BIPN
BISP - Biology/Special Studies,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BISP
BNFO - Bioinformatics,"University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=BNFO
"CAT - Culture, Art, & Technology","University of California, San Diego",http://courses.ucsd.edu/courseList.aspx?name=CAT
