Course,University,URL
Accounting,University of Florida,https://catalog.ufl.edu/UGRD/courses/accounting/
Advertising,University of Florida,https://catalog.ufl.edu/UGRD/courses/advertising/
"African and Asian | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/african_and_asian/
African Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/african_studies/
African-American Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/african_american_studies/
Agricultural and Biological Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/agricultural_and_biological_engineering/
Agricultural and Life Sciences | General,University of Florida,https://catalog.ufl.edu/UGRD/courses/agricultural_and_life_sciences_general/
Agricultural Education and Communication,University of Florida,https://catalog.ufl.edu/UGRD/courses/agricultural_education_and_communication/
Agricultural Operations Management,University of Florida,https://catalog.ufl.edu/UGRD/courses/agricultural_operations_management/
Agronomy,University of Florida,https://catalog.ufl.edu/UGRD/courses/agronomy/
"Akan | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_akan/
"Amharic | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_amharic/
Animal Sciences,University of Florida,https://catalog.ufl.edu/UGRD/courses/animal_sciences/
Anthropology,University of Florida,https://catalog.ufl.edu/UGRD/courses/anthropology/
Applied Physiology and Kinesiology,University of Florida,https://catalog.ufl.edu/UGRD/courses/applied_physiology_and_kinesiology/
"Arabic | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_arabic/
Architecture,University of Florida,https://catalog.ufl.edu/UGRD/courses/architecture/
Art and Art History,University of Florida,https://catalog.ufl.edu/UGRD/courses/art_and_art_history/
Astronomy and Astrophysics,University of Florida,https://catalog.ufl.edu/UGRD/courses/astronomy_and_astrophysics/
Biochemistry and Molecular Biology,University of Florida,https://catalog.ufl.edu/UGRD/courses/biochemistry-and-molecular-biology/
Biology,University of Florida,https://catalog.ufl.edu/UGRD/courses/biological_sciences/
Biomedical Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/biomedical_engineering/
Botany,University of Florida,https://catalog.ufl.edu/UGRD/courses/botany/
Business,University of Florida,https://catalog.ufl.edu/UGRD/courses/business/
Career Development Program,University of Florida,https://catalog.ufl.edu/UGRD/courses/career_development_program/
Catalan | Spanish and Portuguese Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/catalan/
Chemical Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/chemical_engineering/
Chemistry,University of Florida,https://catalog.ufl.edu/UGRD/courses/chemistry/
"Chinese | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_chinese/
Civil and Coastal Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/civil_and_coastal_engineering/
Classics,University of Florida,https://catalog.ufl.edu/UGRD/courses/classics/
Clinical and Health Psychology,University of Florida,https://catalog.ufl.edu/UGRD/courses/clinical_and_health_psychology/
Computer and Information Science and Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/computer_and_information_science_and_engineering/
Construction Management,University of Florida,https://catalog.ufl.edu/UGRD/courses/construction_management/
Criminology,University of Florida,https://catalog.ufl.edu/UGRD/courses/criminology/
"Czech | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_czech/
Dial Center for Written and Oral Communication,University of Florida,https://catalog.ufl.edu/UGRD/courses/dial_center_for_written_and_oral_communication/
Digital Worlds Institute,University of Florida,https://catalog.ufl.edu/UGRD/courses/digital_worlds_institute/
"Dutch | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_dutch/
Economics,University of Florida,https://catalog.ufl.edu/UGRD/courses/economics/
Education | School of Human Development and Organizational Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/school_of_human_development/
"Education | School of Special Education, School Psychology and Early Childhood Studies",University of Florida,https://catalog.ufl.edu/UGRD/courses/school_of_special_education/
Education | School of Teaching and Learning,University of Florida,https://catalog.ufl.edu/UGRD/courses/school_of_teaching_and_learning/
Electrical and Computer Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/electrical_and_computer_engineering/
Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/engineering_/
English,University of Florida,https://catalog.ufl.edu/UGRD/courses/english/
Entomology and Nematology,University of Florida,https://catalog.ufl.edu/UGRD/courses/entomology_and_nematology/
Environmental Engineering Sciences,University of Florida,https://catalog.ufl.edu/UGRD/courses/environmental_engineering_sciences/
Environmental Horticulture,University of Florida,https://catalog.ufl.edu/UGRD/courses/environmental_horticulture/
Environmental Science,University of Florida,https://catalog.ufl.edu/UGRD/courses/environmental_science/
European Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/european_studies/
"Family, Youth and Community Sciences",University of Florida,https://catalog.ufl.edu/UGRD/courses/family_youth_and_community_sciences/
Film and Media Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/film_and_media_studies/
"Finance, Insurance and Real Estate",University of Florida,https://catalog.ufl.edu/UGRD/courses/finance/
Fine Arts,University of Florida,https://catalog.ufl.edu/UGRD/courses/fine_arts/
Fire and Emergency Services,University of Florida,https://catalog.ufl.edu/UGRD/courses/fire_and_emergency_services/
First Year Florida,University of Florida,https://catalog.ufl.edu/UGRD/courses/first_year_florida/
Fisheries and Aquatic Sciences,University of Florida,https://catalog.ufl.edu/UGRD/courses/fisheries_and_aquatic_sciences/
Food and Resource Economics,University of Florida,https://catalog.ufl.edu/UGRD/courses/food_and_resource_economics/
Food Science and Human Nutrition,University of Florida,https://catalog.ufl.edu/UGRD/courses/food_science_and_human_nutrition/
Forest Resources and Conservation,University of Florida,https://catalog.ufl.edu/UGRD/courses/forest_resources_and_conservation/
"French | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_french/
Geography,University of Florida,https://catalog.ufl.edu/UGRD/courses/geography/
Geological Sciences,University of Florida,https://catalog.ufl.edu/UGRD/courses/geology/
Geomatics,University of Florida,https://catalog.ufl.edu/UGRD/courses/agl_ag_sfrc_geomatics/
"German | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_german/
Greek Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_greek_studies/
"Haitian Creole | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_lang_haitiancreole/
Health Education and Behavior,University of Florida,https://catalog.ufl.edu/UGRD/courses/health_education_and_behavior/
Health Professions,University of Florida,https://catalog.ufl.edu/UGRD/courses/health_professions/
Health Science,University of Florida,https://catalog.ufl.edu/UGRD/courses/health_science/
"Hebrew | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_hebrew/
"Hindi-Urdu | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_hindi/
History,University of Florida,https://catalog.ufl.edu/UGRD/courses/history/
Honors Program,University of Florida,https://catalog.ufl.edu/UGRD/courses/honors_program/
Horticultural Sciences,University of Florida,https://catalog.ufl.edu/UGRD/courses/agl_ag_horticultural_sciences/
Hungarian | European Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/hungarian/
Industrial and Systems Engineering,University of Florida,https://catalog.ufl.edu/UGRD/courses/industrial_and_systems_engineering/
Information Systems and Operations Management,University of Florida,https://catalog.ufl.edu/UGRD/courses/information_systems/
Innovation Academy,University of Florida,https://catalog.ufl.edu/UGRD/courses/innovation_academy/
Interdisciplinary Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/interdisciplinary_studies/
Interior Design,University of Florida,https://catalog.ufl.edu/UGRD/courses/interior_design/
"Italian | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_italian/
"Japanese | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_japanese/
Jewish Studies,University of Florida,https://catalog.ufl.edu/UGRD/courses/jewish_studies/
Journalism,University of Florida,https://catalog.ufl.edu/UGRD/courses/journalism/
"Korean | Languages, Literatures, and Cultures",University of Florida,https://catalog.ufl.edu/UGRD/courses/las_ls_mod_for_lang_korean/
