Course,University,URL
Accountancy (ACCY),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/accy/
Actuarial Science & Risk Management (ASRM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/asrm/
Advertising (ADV),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/adv/
Aerospace Engineering (AE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ae/
African American Studies (AFRO),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/afro/
African Studies (AFST),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/afst/
Agr & Consumer Economics (ACE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ace/
"Agr, Consumer, & Env Sciences (ACES)",University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/aces/
Agricultural and Biological Eng (ABE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/abe/
Agricultural Communications (AGCM),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/agcm/
Agricultural Education (AGED),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/aged/
Air Force Aerospace Studies (AFAS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/afas/
American Indian Studies (AIS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ais/
Animal Sciences (ANSC),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ansc/
Anthropology (ANTH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/anth/
Applied Health Sci Courses (AHS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/ahs/
Arabic (ARAB),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/arab/
Architecture (ARCH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/arch/
Art (ART),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/art/
Art--Design (ARTD),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/artd/
Art--Education (ARTE),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/arte/
Art--Foundation (ARTF),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/artf/
Art--History (ARTH),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/arth/
Art--Studio (ARTS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/arts/
Asian American Studies (AAS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/aas/
Asian Studies (ASST),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/asst/
Astronomy (ASTR),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/astr/
Atmospheric Sciences (ATMS),University of Illinois at Urbana-Champaign,http://catalog.illinois.edu/courses-of-instruction/atms/
