Course,URL,University
"Programs, Information and People",https://www.si.umich.edu/programs/courses/106,University of Michigan
Introduction to Information Studies,https://www.si.umich.edu/programs/courses/110,University of Michigan
Data-Oriented Programming,https://www.si.umich.edu/programs/courses/206,University of Michigan
Opportunity in the Age of Intelligent Machines,https://www.si.umich.edu/programs/courses/260,University of Michigan
Career and Internship Studio: Design Your Success,https://www.si.umich.edu/programs/courses/300,University of Michigan
Models of Social Information Processing,https://www.si.umich.edu/programs/courses/301,University of Michigan
Information Environments and Work,https://www.si.umich.edu/programs/courses/310,University of Michigan
Special Topics in Information,https://www.si.umich.edu/programs/courses/311,University of Michigan
Interpersonal and Psychological Implications of Social Media,https://www.si.umich.edu/programs/courses/315,University of Michigan
Designing and Analyzing Social Media Feeds,https://www.si.umich.edu/programs/courses/316,University of Michigan
Graphic Design,https://www.si.umich.edu/programs/courses/320,University of Michigan
Data Manipulation,https://www.si.umich.edu/programs/courses/330,University of Michigan
Persuasion and Social Influence,https://www.si.umich.edu/programs/courses/334,University of Michigan
Social Media in Organizations,https://www.si.umich.edu/programs/courses/335,University of Michigan
"Web Design, Development, and Accessibility",https://www.si.umich.edu/programs/courses/339,University of Michigan
Experiment Design and Analyses,https://www.si.umich.edu/programs/courses/340,University of Michigan
Succeeding at Failing: The Art of Entrepreneurship in the Information Age,https://www.si.umich.edu/programs/courses/360,University of Michigan
Building Interactive Applications,https://www.si.umich.edu/programs/courses/364,University of Michigan
Cyberscience: Computational Science and the Rise of the Fourth Paradigm,https://www.si.umich.edu/programs/courses/365,University of Michigan
Data Exploration,https://www.si.umich.edu/programs/courses/370,University of Michigan
"Putting the H in HCI: Human Perception, Cognition and Mental Processes",https://www.si.umich.edu/programs/courses/388,University of Michigan
Design and Implementation of Web Surveys,https://www.si.umich.edu/programs/courses/400,University of Michigan
Senior Final Project Preparation Course,https://www.si.umich.edu/programs/courses/405,University of Michigan
Ethics and Information Technology,https://www.si.umich.edu/programs/courses/410,University of Michigan
Needs Assessment and Usability Evaluation,https://www.si.umich.edu/programs/courses/422,University of Michigan
Introduction to User Modeling,https://www.si.umich.edu/programs/courses/425,University of Michigan
Online Communities: Analysis and Design of Online Interaction,https://www.si.umich.edu/programs/courses/429,University of Michigan
Information Technology and Global Society,https://www.si.umich.edu/programs/courses/430,University of Michigan
Self-Organization in Science and Society,https://www.si.umich.edu/programs/courses/432,University of Michigan
Exploring Computational Thinking Through Making,https://www.si.umich.edu/programs/courses/435,University of Michigan
Modeling Success: The Science of Entrepreneurship in the Information Age,https://www.si.umich.edu/programs/courses/460,University of Michigan
Interaction Design Studio,https://www.si.umich.edu/programs/courses/482,University of Michigan
Information Analytics Project,https://www.si.umich.edu/programs/courses/485,University of Michigan
User Experience Final Project,https://www.si.umich.edu/programs/courses/487,University of Michigan
Designing Engagement Through Social Media,https://www.si.umich.edu/programs/courses/489,University of Michigan
