Course,URL,University
Accounting (ACCT),https://catalog.upenn.edu/courses/acct/,University of Pennsylvania
African Studies Program (AFST),https://catalog.upenn.edu/courses/afst/,University of Pennsylvania
Africana Studies (AFRC),https://catalog.upenn.edu/courses/afrc/,University of Pennsylvania
Anatomy (ANAT),https://catalog.upenn.edu/courses/anat/,University of Pennsylvania
Ancient History (ANCH),https://catalog.upenn.edu/courses/anch/,University of Pennsylvania
Ancient Near East Languages (ANEL),https://catalog.upenn.edu/courses/anel/,University of Pennsylvania
Anthropology (ANTH),https://catalog.upenn.edu/courses/anth/,University of Pennsylvania
Applied Math & Computational Science (AMCS),https://catalog.upenn.edu/courses/amcs/,University of Pennsylvania
Arabic (ARAB),https://catalog.upenn.edu/courses/arab/,University of Pennsylvania
Architecture (ARCH),https://catalog.upenn.edu/courses/arch/,University of Pennsylvania
Art & Archaeology of Mediterranean World (AAMW),https://catalog.upenn.edu/courses/aamw/,University of Pennsylvania
Art History (ARTH),https://catalog.upenn.edu/courses/arth/,University of Pennsylvania
Asian American Studies (ASAM),https://catalog.upenn.edu/courses/asam/,University of Pennsylvania
Asian Languages (ALAN),https://catalog.upenn.edu/courses/alan/,University of Pennsylvania
Astronomy (ASTR),https://catalog.upenn.edu/courses/astr/,University of Pennsylvania
Behavioral & Decision Sciences (BDS),https://catalog.upenn.edu/courses/bds/,University of Pennsylvania
Bengali (BENG),https://catalog.upenn.edu/courses/beng/,University of Pennsylvania
Biochemistry & Molecular Biophysics (BMB),https://catalog.upenn.edu/courses/bmb/,University of Pennsylvania
Biochemistry (BCHE),https://catalog.upenn.edu/courses/bche/,University of Pennsylvania
Bioengineering (BE),https://catalog.upenn.edu/courses/be/,University of Pennsylvania
Bioethics (BIOE),https://catalog.upenn.edu/courses/bioe/,University of Pennsylvania
Biological Basis of Behavior (BIBB),https://catalog.upenn.edu/courses/bibb/,University of Pennsylvania
Biology (BIOL),https://catalog.upenn.edu/courses/biol/,University of Pennsylvania
Biomedical Graduate Studies (BIOM),https://catalog.upenn.edu/courses/biom/,University of Pennsylvania
Biomedical Informatics (BMIN),https://catalog.upenn.edu/courses/bmin/,University of Pennsylvania
Biostatistics (BSTA),https://catalog.upenn.edu/courses/bsta/,University of Pennsylvania
Biotechnology (BIOT),https://catalog.upenn.edu/courses/biot/,University of Pennsylvania
Business Economics & Public Policy (BEPP),https://catalog.upenn.edu/courses/bepp/,University of Pennsylvania
Cell and Molecular Biology (CAMB),https://catalog.upenn.edu/courses/camb/,University of Pennsylvania
Chemical & Biomolecular Engineering (CBE),https://catalog.upenn.edu/courses/cbe/,University of Pennsylvania
Chemistry (CHEM),https://catalog.upenn.edu/courses/chem/,University of Pennsylvania
Chinese (CHIN),https://catalog.upenn.edu/courses/chin/,University of Pennsylvania
Cinema and Media Studies (CIMS),https://catalog.upenn.edu/courses/cims/,University of Pennsylvania
City and Regional Planning (CPLN),https://catalog.upenn.edu/courses/cpln/,University of Pennsylvania
Classical Studies (CLST),https://catalog.upenn.edu/courses/clst/,University of Pennsylvania
Cognitive Science (COGS),https://catalog.upenn.edu/courses/cogs/,University of Pennsylvania
College (COLL),https://catalog.upenn.edu/courses/coll/,University of Pennsylvania
Communications (COMM),https://catalog.upenn.edu/courses/comm/,University of Pennsylvania
Comparative Literature (COML),https://catalog.upenn.edu/courses/coml/,University of Pennsylvania
Computer and Information Science (CIS),https://catalog.upenn.edu/courses/cis/,University of Pennsylvania
Computer and Information Technology (CIT),https://catalog.upenn.edu/courses/cit/,University of Pennsylvania
Creative Writing (CRWR),https://catalog.upenn.edu/courses/crwr/,University of Pennsylvania
Criminology (CRIM),https://catalog.upenn.edu/courses/crim/,University of Pennsylvania
Demography (DEMG),https://catalog.upenn.edu/courses/demg/,University of Pennsylvania
Dutch (DTCH),https://catalog.upenn.edu/courses/dtch/,University of Pennsylvania
East Asian Languages & Civilization (EALC),https://catalog.upenn.edu/courses/ealc/,University of Pennsylvania
East European (EEUR),https://catalog.upenn.edu/courses/eeur/,University of Pennsylvania
Economics (ECON),https://catalog.upenn.edu/courses/econ/,University of Pennsylvania
Education (EDUC),https://catalog.upenn.edu/courses/educ/,University of Pennsylvania
Electrical & Systems Engineering (ESE),https://catalog.upenn.edu/courses/ese/,University of Pennsylvania
Energy Management and Policy (ENMG),https://catalog.upenn.edu/courses/enmg/,University of Pennsylvania
Engineering & Applied Science (EAS),https://catalog.upenn.edu/courses/eas/,University of Pennsylvania
Engineering (ENGR),https://catalog.upenn.edu/courses/engr/,University of Pennsylvania
Engineering Mathematics (ENM),https://catalog.upenn.edu/courses/enm/,University of Pennsylvania
English (ENGL),https://catalog.upenn.edu/courses/engl/,University of Pennsylvania
Environmental Studies (ENVS),https://catalog.upenn.edu/courses/envs/,University of Pennsylvania
Epidemiology (EPID),https://catalog.upenn.edu/courses/epid/,University of Pennsylvania
Finance (FNCE),https://catalog.upenn.edu/courses/fnce/,University of Pennsylvania
Fine Arts (FNAR),https://catalog.upenn.edu/courses/fnar/,University of Pennsylvania
Folklore (FOLK),https://catalog.upenn.edu/courses/folk/,University of Pennsylvania
French (FREN),https://catalog.upenn.edu/courses/fren/,University of Pennsylvania
"Gender, Sexuality & Women's Studies (GSWS)",https://catalog.upenn.edu/courses/gsws/,University of Pennsylvania
Genomics & Comp. Biology (GCB),https://catalog.upenn.edu/courses/gcb/,University of Pennsylvania
Geology (GEOL),https://catalog.upenn.edu/courses/geol/,University of Pennsylvania
Germanic Languages (GRMN),https://catalog.upenn.edu/courses/grmn/,University of Pennsylvania
Government Administration (GAFL),https://catalog.upenn.edu/courses/gafl/,University of Pennsylvania
Graduate Arts & Sciences (GAS),https://catalog.upenn.edu/courses/gas/,University of Pennsylvania
Greek (GREK),https://catalog.upenn.edu/courses/grek/,University of Pennsylvania
Gujarati (GUJR),https://catalog.upenn.edu/courses/gujr/,University of Pennsylvania
Health & Societies (HSOC),https://catalog.upenn.edu/courses/hsoc/,University of Pennsylvania
Health Care Innovation (HCIN),https://catalog.upenn.edu/courses/hcin/,University of Pennsylvania
Health Care Management (HCMG),https://catalog.upenn.edu/courses/hcmg/,University of Pennsylvania
Health Policy Research (HPR),https://catalog.upenn.edu/courses/hpr/,University of Pennsylvania
Hebrew (HEBR),https://catalog.upenn.edu/courses/hebr/,University of Pennsylvania
