Course,University,URL
Afro-American Studies (AFRAM),University of Washington,http://www.washington.edu/students/crscat/afamst.html
American Ethnic Studies (AES),University of Washington,http://www.washington.edu/students/crscat/aes.html
Asian-American Studies (AAS),University of Washington,http://www.washington.edu/students/crscat/asamst.html
Chicano Studies (CHSTU),University of Washington,http://www.washington.edu/students/crscat/chist.html
Swahili (SWA),University of Washington,http://www.washington.edu/students/crscat/swa.html
Tagalog (TAGLG),University of Washington,http://www.washington.edu/students/crscat/taglg.html
American Indian Studies (AIS),University of Washington,http://www.washington.edu/students/crscat/ais.html
Anthropology (ANTH),University of Washington,http://www.washington.edu/students/crscat/anthro.html
Archaeology (ARCHY),University of Washington,http://www.washington.edu/students/crscat/archeo.html
Biological Anthropology (BIO A),University of Washington,http://www.washington.edu/students/crscat/bioanth.html
Applied Mathematics (AMATH),University of Washington,http://www.washington.edu/students/crscat/appmath.html
Computational Finance and Risk Management (CFRM),University of Washington,http://www.washington.edu/students/crscat/cfrm.html
Arctic Studies (ARCTIC),University of Washington,http://www.washington.edu/students/crscat/arctic.html
Art (ART),University of Washington,http://www.washington.edu/students/crscat/art.html
Art History (ART H),University of Washington,http://www.washington.edu/students/crscat/arthis.html
Design (DESIGN),University of Washington,http://www.washington.edu/students/crscat/design.html
Asian Languages and Literature (ASIAN),University of Washington,http://www.washington.edu/students/crscat/asianll.html
Bengali (BENG),University of Washington,http://www.washington.edu/students/crscat/beng.html
Chinese (CHIN),University of Washington,http://www.washington.edu/students/crscat/chinese.html
Hindi (HINDI),University of Washington,http://www.washington.edu/students/crscat/hindi.html
Indian (INDN),University of Washington,http://www.washington.edu/students/crscat/indian.html
Indonesian (INDO),University of Washington,http://www.washington.edu/students/crscat/indo.html
Japanese (JAPAN),University of Washington,http://www.washington.edu/students/crscat/japanese.html
Korean (KOREAN),University of Washington,http://www.washington.edu/students/crscat/korean.html
Sanskrit (SNKRT),University of Washington,http://www.washington.edu/students/crscat/sanskrit.html
Thai (THAI),University of Washington,http://www.washington.edu/students/crscat/thai.html
Urdu (URDU),University of Washington,http://www.washington.edu/students/crscat/urdu.html
Vietnamese (VIET),University of Washington,http://www.washington.edu/students/crscat/viet.html
Astrobiology and Early Evolution (ASTBIO),University of Washington,http://www.washington.edu/students/crscat/astbio.html
Astronomy (ASTR),University of Washington,http://www.washington.edu/students/crscat/astro.html
Biology (BIOL),University of Washington,http://www.washington.edu/students/crscat/biology.html
Botany -- See Biology (BIOL),University of Washington,http://www.washington.edu/students/crscat/biology.html
Center for Statistics and Social Sciences (CS SS),University of Washington,http://www.washington.edu/students/crscat/cs%26ss.html
Center for Studies in Demography and Ecology (CSDE),University of Washington,http://www.washington.edu/students/crscat/csde.html
Center for the Humanities (HUM),University of Washington,http://www.washington.edu/students/crscat/centhum.html
Chemistry (CHEM),University of Washington,http://www.washington.edu/students/crscat/chem.html
Classical Archaeology (CL AR),University of Washington,http://www.washington.edu/students/crscat/clarch.html
Classical Linguistics (CL LI),University of Washington,http://www.washington.edu/students/crscat/cling.html
Classics (CLAS),University of Washington,http://www.washington.edu/students/crscat/clas.html
Greek (GREEK),University of Washington,http://www.washington.edu/students/crscat/greek.html
Latin (LATIN),University of Washington,http://www.washington.edu/students/crscat/latin.html
Communication (COM),University of Washington,http://www.washington.edu/students/crscat/com.html
Communication Leadership (COMMLD),University of Washington,http://www.washington.edu/students/crscat/commld.html
Comparative History of Ideas (CHID),University of Washington,http://www.washington.edu/students/crscat/chid.html
Cinema and Media Studies (CMS),University of Washington,http://www.washington.edu/students/crscat/cms.html
Comparative Literature (C LIT),University of Washington,http://www.washington.edu/students/crscat/complit.html
Computer Science (See Computer Science and Engineering),University of Washington,http://www.washington.edu/students/crscat/cse.html
Dance (DANCE),University of Washington,http://www.washington.edu/students/crscat/dance.html
Digital Arts and Experimental Media (DXARTS),University of Washington,http://www.washington.edu/students/crscat/dxarts.html
Disability Studies (DIS ST),University of Washington,http://www.washington.edu/students/crscat/disst.html
Drama (DRAMA),University of Washington,http://www.washington.edu/students/crscat/drama.html
Economics (ECON),University of Washington,http://www.washington.edu/students/crscat/econ.html
