Course,URL,University
Accounting and Information Systems (ACCT I S),http://guide.wisc.edu/courses/acct_i_s/,University of Wisconsin-Madison
Actuarial Science (ACT SCI),http://guide.wisc.edu/courses/act_sci/,University of Wisconsin-Madison
African Cultural Studies (AFRICAN),http://guide.wisc.edu/courses/african/,University of Wisconsin-Madison
Afro-American Studies (AFROAMER),http://guide.wisc.edu/courses/afroamer/,University of Wisconsin-Madison
Agricultural and Applied Economics (A A E),http://guide.wisc.edu/courses/a_a_e/,University of Wisconsin-Madison
Agroecology (AGROECOL),http://guide.wisc.edu/courses/agroecol/,University of Wisconsin-Madison
Agronomy (AGRONOMY),http://guide.wisc.edu/courses/agronomy/,University of Wisconsin-Madison
Air Force Aerospace Studies (A F AERO),http://guide.wisc.edu/courses/a_f_aero/,University of Wisconsin-Madison
American Indian Studies (AMER IND),http://guide.wisc.edu/courses/amer_ind/,University of Wisconsin-Madison
Anatomy (ANATOMY),http://guide.wisc.edu/courses/anatomy/,University of Wisconsin-Madison
Anatomy & Physiology (ANAT&PHY),http://guide.wisc.edu/courses/anat_phy/,University of Wisconsin-Madison
Anesthesiology (ANESTHES),http://guide.wisc.edu/courses/anesthes/,University of Wisconsin-Madison
Animal Sciences (AN SCI),http://guide.wisc.edu/courses/an_sci/,University of Wisconsin-Madison
Anthropology (ANTHRO),http://guide.wisc.edu/courses/anthro/,University of Wisconsin-Madison
Art Department (ART),http://guide.wisc.edu/courses/art/,University of Wisconsin-Madison
Art Education (Department of Art) (ART ED),http://guide.wisc.edu/courses/art_ed/,University of Wisconsin-Madison
Art History (ART HIST),http://guide.wisc.edu/courses/art_hist/,University of Wisconsin-Madison
Asian American Studies (ASIAN AM),http://guide.wisc.edu/courses/asian_am/,University of Wisconsin-Madison
Asian Languages and Cultures (ASIAN),http://guide.wisc.edu/courses/asian/,University of Wisconsin-Madison
Asian Languages and Cultures: Languages (ASIALANG),http://guide.wisc.edu/courses/asialang/,University of Wisconsin-Madison
Astronomy (ASTRON),http://guide.wisc.edu/courses/astron/,University of Wisconsin-Madison
Atmospheric and Oceanic Sciences (ATM OCN),http://guide.wisc.edu/courses/atm_ocn/,University of Wisconsin-Madison
Biochemistry (BIOCHEM),http://guide.wisc.edu/courses/biochem/,University of Wisconsin-Madison
