Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/bachelor_of_arts
Bachelor of Creative Art,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/bachelor_of_creative_arts
Bachelor of Media Productio,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/bachelor_of_media_production
Bachelor of Arts (Honours,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/bachelor_of_arts_honours
Bachelor of Applied Public Health/Bachelor of Global Studie,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/bachelor_of_applied_public_healthbachelor_of_global_studies
Bachelor of Arts/Bachelor of Commerc,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/httpscourses.acu.edu.au1453127
Bachelor of Arts/Bachelor of Global Studie,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/httpscourses.acu.edu.au1453131
Bachelor of Arts/Bachelor of Law,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/httpscourses.acu.edu.au1453135
Bachelor of Business Administration/Bachelor of Global Studie,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/httpscourses.acu.edu.au1453163
Bachelor of Commerce/Bachelor of Global Studie,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/httpscourses.acu.edu.au1453183
Bachelor of Psychological Science/Bachelor of Art,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/httpscourses.acu.edu.au1575909
Bachelor of Teaching/Bachelor of Arts (Humanities,,Arts,,Australian Catholic University,https://www.acu.edu.au/courses/undergraduate/arts_and_humanities/arts/httpscourses.acu.edu.au1453403
