Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Ancient Greek,,Languages,,Australian National University,http://slll.anu.edu.au/students/undergraduate/ancient-greek
Arabic,,Languages,,Australian National University,http://cais.anu.edu.au/programs/arabic_program
Australian Indigenous Languages,,Languages,,Australian National University,http://slll.anu.edu.au/students/undergraduate/australian-indigenous-languages
Burmese,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/course/BURM1002
Cantonese,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/course/CHIN2024
Chinese,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/major/CHIN-MAJ
Classical Chinese,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/minor/CLCH-MIN
French,,Languages,,Australian National University,http://slll.anu.edu.au/students/undergraduate/french-language-and-culture
German,,Languages,,Australian National University,http://slll.anu.edu.au/students/undergraduate/german-language-and-culture
Hindi,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/major/HIND-MAJ
Indonesian,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/major/INDN-MAJ
Italian,,Languages,,Australian National University,http://slll.anu.edu.au/students/undergraduate/italian-language-and-culture
Japanese,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/major/JPNS-MAJ
Korean,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/major/KORE-MAJ
Latin,,Languages,,Australian National University,http://slll.anu.edu.au/students/undergraduate/latin
Mongolian,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/2015/course/MNGL1002
Persian,,Languages,,Australian National University,http://cais.anu.edu.au/panel/persian-program
Portuguese,,Languages,,Australian National University,http://slll.anu.edu.au/students/undergraduate/portuguese
Russian,,Languages,,Australian National University,http://slll.anu.edu.au/students/undergraduate/russian
Sanskrit,,Languages,,Australian National University,http://chl.anu.edu.au/students/language-study/sanskrit-studies
Spanish,,Languages,,Australian National University,http://slll.anu.edu.au/future-students/undergraduate/spanish
Talking the Pacific,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/course/PASI1010
Tetum,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/course/TETM1002
Thai,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/major/THAI-MAJ
Tibetan,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/2015/course/TIBN1002
Turkish,,Languages,,Australian National University,http://cais.anu.edu.au/programs/turkish-program
Vietnamese,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/major/VIET-MAJ
Centre for Arab and Islamic Studies,,Languages,,Australian National University,http://cais.anu.edu.au/
"School of Culture, History and Language",,Languages,,Australian National University,http://chl.anu.edu.au/
"School of Literature, Languages and Linguistics",,Languages,,Australian National University,http://slll.anu.edu.au/
Programs and Courses,,Languages,,Australian National University,http://programsandcourses.anu.edu.au/
ANU Global Programs (Exchange),,Languages,,Australian National University,https://anu-au-sa.terradotta.com/
Support the teaching of languages at ANU,,Languages,,Australian National University,http://www.anu.edu.au/giving
Graduate Certificate of Studies,,Graduate Studies Select,,Australian National University,http://programsandcourses.anu.edu.au/program/CSTUD
Master of Studies,,Graduate Studies Select,,Australian National University,http://programsandcourses.anu.edu.au/program/MSTUD
Master of Studies (Advanced),,Graduate Studies Select,,Australian National University,http://programsandcourses.anu.edu.au/program/VSTUD
Bachelor of Music,,Flexible Vertical Double Degrees,,Australian National University,http://programsandcourses.anu.edu.au/program/BMUSI
Juris Doctor,,Flexible Vertical Double Degrees,,Australian National University,http://programsandcourses.anu.edu.au/program/MJD
Bachelor of Science,,Flexible Vertical Double Degrees,,Australian National University,http://programsandcourses.anu.edu.au/program/BSC
Master of Public Health,,Flexible Vertical Double Degrees,,Australian National University,http://programsandcourses.anu.edu.au/program/MPUBH
Bachelor of Art History & Curatorship,,Flexible Vertical Double Degrees,,Australian National University,http://programsandcourses.anu.edu.au/program/BAHCR
Master of International Relations,,Flexible Vertical Double Degrees,,Australian National University,http://programsandcourses.anu.edu.au/program/MINTR
ANU College of Arts & Social Sciences,,Doctor of Philosophy (PhD),,Australian National University,http://cass.anu.edu.au/study-with-us/higher-degree-research
ANU College of Asia & the Pacific,,Doctor of Philosophy (PhD),,Australian National University,http://asiapacific.anu.edu.au/students/graduate-research
ANU College of Business & Economics,,Doctor of Philosophy (PhD),,Australian National University,http://cbe.anu.edu.au/students/study-with-cbe/graduate-research/
ANU College of Engineering & Computer Science,,Doctor of Philosophy (PhD),,Australian National University,https://cecs.anu.edu.au/study/graduate-research
ANU College of Law,,Doctor of Philosophy (PhD),,Australian National University,https://law.anu.edu.au/study/higher-degree-research
ANU College of Health & Medicine and ANU College of Science,,Doctor of Philosophy (PhD),,Australian National University,http://science.anu.edu.au/study/higher-degree-research
National Centre for Indigenous Studies,,Doctor of Philosophy (PhD),,Australian National University,http://ncis.anu.edu.au/study/
ANU College of Arts & Social Sciences,,Master of Philosophy (MPhil),,Australian National University,http://cass.anu.edu.au/study-with-us/higher-degree-research
ANU College of Asia & the Pacific,,Master of Philosophy (MPhil),,Australian National University,http://asiapacific.anu.edu.au/students/graduate-research
ANU College of Business & Economics,,Master of Philosophy (MPhil),,Australian National University,http://cbe.anu.edu.au/students/study-with-cbe/graduate-research/
ANU College of Engineering & Computer Science,,Master of Philosophy (MPhil),,Australian National University,http://cecs.anu.edu.au/future_students/graduate/research
ANU College of Law,,Master of Philosophy (MPhil),,Australian National University,https://law.anu.edu.au/research
ANU College of Health and Medicine and ANU College of Science,,Master of Philosophy (MPhil),,Australian National University,http://cmbe-cpms.anu.edu.au/study/programs/higher-degrees-research
National Centre for Indigenous Studies,,Master of Philosophy (MPhil),,Australian National University,http://ncis.anu.edu.au/study/
