Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
PDC53935 - Building Networks and Relationships,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/building-networks-and-relationships
PDC57019 - Business Communication Skills,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/business-communication-skills
PDC20072 - Certificate in Cross Sector Partnering,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/certificate-in-cross-sector-partnering
PDC51967 - Coaching and Mentoring for Alumni,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/coaching-and-mentoring-for-alumni
PDC52836 - Conversational Mandarin for Beginners,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/conversational-mandarin-for-beginners
PDC51961 - Coronial System in Queensland - An Introduction,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/coronial-system-in-queensland-an-introduction
PDC50252 - How to Partner,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/how-to-partner
PDC50240 - Introduction to Cross Sector Partnering,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/introduction-to-cross-sector-partnering
PDC50253 - What is Partnering?,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/what-is-partnering
PDC50249 - Why Partner?,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/tafe-training/cpd-courses/why-partner
BSB20115 - Certificate II in Business,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-ii/certificate-ii-in-business"
TLI21815 - Certificate II in Logistics,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/study-areas/transport-and-safety-sciences/certificate-ii/certificate-ii-in-logistics
SIT20116 - Certificate II in Tourism,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-ii/certificate-ii-in-tourism"
FNS30315 - Certificate III in Accounts Administration,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iii/certificate-iii-in-accounts-administration"
BSB30115 - Certificate III in Business,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iii/certificate-iii-in-business"
BSB30415 - Certificate III in Business Administration,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iii/certificate-iii-in-business-administration"
SIT30116 - Certificate III in Tourism,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iii/certificate-iii-in-tourism"
TLI31616 - Certificate III in Warehousing Operations,,"Business, Accounting and Law",,Central Queensland University,https://www.cqu.edu.au/courses/study-areas/transport-and-safety-sciences/certificate-iii/certificate-iii-in-warehousing-operations
FNS40615 - Certificate IV in Accounting,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iv/certificate-iv-in-accounting"
FNS40215 - Certificate IV in Bookkeeping,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iv/certificate-iv-in-bookkeeping"
BSB40215 - Certificate IV in Business,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iv/certificate-iv-in-business"
BSB40515 - Certificate IV in Business Administration,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iv/certificate-iv-in-business-administration"
10283NAT - Certificate IV in Crime and Justice Studies,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iv/certificate-iv-in-crime-and-justice-studies"
BSB41015 - Certificate IV in Human Resources,,"Business, Accounting and Law",,Central Queensland University,"https://www.cqu.edu.au/courses/study-areas/business,-accounting-and-law/certificate-iv/certificate-iv-in-human-resources"
