Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Accounting (WACC01 - 2018),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/bachelor-accounting-wacc01-2018
Bachelor of Accounting Honours (VACCH1 - 2018),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/bachelor-accounting-honours-vacch1-2018
Bachelor of Accounting (WACC01 - 2019),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/bachelor-accounting-wacc01-2019
Master of Professional Accounting (SPACC1 - 2018),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/master-professional-accounting-spacc1-2018
Master of Professional Accounting (Professional Practice) (SPAPP1 - 2018),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/master-professional-accounting-professional-practice-spapp1-2018
Master of Professional Accounting (SPACC1 - 2019),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/master-professional-accounting-spacc1-2019
Master of Professional Accounting (Professional Practice) (SPAPP1 - 2019),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/master-professional-accounting-professional-practice-spapp1-2019
Tertiary Enabling Program (ZTEP01 - 2018),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/tertiary-enabling-program-ztep01-2018
Preparation for Tertiary Success 2 (ZPTS21 - 2018),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/preparation-tertiary-success-2-zpts21-2018
Preparation for Tertiary Success 1 (ZPTS11 - 2018),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/preparation-tertiary-success-1-zpts11-2018
Preparation for Tertiary Success 1 (ZPTS11 - 2019),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/preparation-tertiary-success-1-zpts11-2019
Preparation for Tertiary Success 2 (ZPTS21 - 2019),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/preparation-tertiary-success-2-zpts21-2019
Tertiary Enabling Program (ZTEP01 - 2019),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/tertiary-enabling-program-ztep01-2019
FNS30315 Certificate III in Accounts Administration (FNS30315 - 2018),,Accounting,,Charles Darwin University,https://www.cdu.edu.au/study/fns30315-certificate-iii-accounts-administration-fns30315-2018
