Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Agricultural Business Management,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/business/agribusiness
Bachelor of Agricultural Science,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/bachelor-agricultural-science
Bachelor of Agriculture,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/bachelor-agriculture
Bachelor of General Studies (Science),,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/science/bachelor-science-general-studies
Bachelor of Horticulture,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/bachelor-horticulture
Bachelor of Viticulture,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/bachelor-viticulture
Bachelor of Wine Business,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/bachelor-wine-business
Bachelor of Wine Science,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/bachelor-wine-science
Bachelor of Science (Honours),,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/science/bachelor-science-honours
Graduate Certificate in Agricultural Business Management,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/business/graduate-certificate-agricultural-business-management
Graduate Certificate in Sustainable Agriculture,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/graduate-certificate-sustainable-agriculture
Graduate Diploma of Sustainable Agriculture,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/graduate-diploma-sustainable-agriculture
Graduate Diploma of Viticulture and Oenology,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/graduate-diploma-viticulture-and-oenology
Master of Agricultural Business Management,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/business/master-agricultural-business-management
Master of Sustainable Agriculture,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/master-sustainable-agriculture
Master of Viticulture and Oenology,,Agricultural and Wine Sciences,,Charles Sturt University,https://futurestudents.csu.edu.au/courses/agricultural-wine-sciences/master-viticulture-oenology
