Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
"Bachelor of Science (Psychology), Bachelor of Commerce (Human Resource Management and Industrial Relations)",UNDERGRADUATE,,This double degree is designed to provide a basis in and appreciation of the scientific discipline of psychology as well as the human resource management and industrial relations…,Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-psychology-bachelor-of-commerce-human-resource-management-and-industrial-relations--bb-psyhrmv2/
"Bachelor of Engineering (Civil and Construction Engineering), Bachelor of Science (Mining)",UNDERGRADUATE,,This double degree provides an excellent blend of civil and construction engineering fundamentals combined with the practical skills essential to begin effective professional…,Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-engineering-civil-and-construction-engineering-bachelor-of-science-mining--bb-ccemnv1/
"Bachelor of Science (Applied Geology), Bachelor of Commerce (Finance)",UNDERGRADUATE,,This double degree provides students with an integrated education program in both exploration/applied geology and commerce. It provides dual qualifications in these areas and…,Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-applied-geology-bachelor-of-commerce-finance--bb-glgfinv1/
"Bachelor of Science (Applied Geology), Bachelor of Science (Environmental Biology)",UNDERGRADUATE,,"Geologists provide knowledge of geological and biological principles required for management of both living and non-living resources. You’ll develop introductory geology,…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-applied-geology-bachelor-of-science-environmental-biology--bb-glgbiov2/
Bachelor of Science (Psychology and Human Resource Management),UNDERGRADUATE,,"Use your knowledge in psychology to help resolve issues in the workplace, recruit and engage employees, and improve individual and team performance. This course is designed to…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-psychology-and-human-resource-management--b-psychrmv1/
"Bachelor of Science (Health Promotion), Bachelor of Science (Health and Safety)",UNDERGRADUATE,,"Work to assess, manage and prevent injury and disease within the workplace and in the broader community. This double degree course is designed to develop your expertise in both…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-health-promotion-bachelor-of-science-health-and-safety--bb-hprhsfv2/
"Bachelor of Science (Nutrition), Bachelor of Science (Health Promotion)",UNDERGRADUATE,,This course is designed to equip you with the theoretical and practical skills required for a career in public health nutrition. You will learn how to identify the health and…,Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-nutrition-bachelor-of-science-health-promotion--bb-hprntrv2/
"Bachelor of Engineering (Chemical Engineering), Bachelor of Science (Extractive Metallurgy)",UNDERGRADUATE,,"Chemical engineering uses chemistry, physics and mathematics to convert raw materials or chemicals into more useful or valuable forms. You’ll explore the development, design…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-engineering-chemical-engineering-bachelor-of-science-extractive-metallurgy--bb-cenexmv2/
"Bachelor of Science (Applied Geology), Bachelor of Science (Geophysics)",UNDERGRADUATE,,"Geologists play a central role in the search for and the extraction of minerals, petroleum and groundwater, and environment management. You’ll develop introductory geology,…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-applied-geology-bachelor-of-science-geophysics--bb-glggphv2/
"Bachelor of Science (Psychology), Bachelor of Commerce (Marketing)",UNDERGRADUATE,,"Psychology and marketing work hand-in-hand, as modern day business requires a clear understanding of consumers’ needs and wants. Having a psychology background while working…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-psychology-bachelor-of-commerce-marketing--bb-psymktv1/
"Bachelor of Science (Exercise, Sports and Rehabilitation Science)",UNDERGRADUATE,,"Take a virtual tour of our facilities Work with individuals, teams and other groups to assess physical abilities and design and implement exercise training programs. In this course…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-exercise-sports-and-rehabilitation-science--b-exsprhbv2/
Bachelor of Applied Science (Indigenous Australian Research) (Honours),UNDERGRADUATE,,The honours course at the Centre for Aboriginal Studies (CAS) provides specialised training for graduates in research in Indigenous Australian contexts. Being a research student at…,Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-applied-science-indigenous-australian-research-honours--bh-indausv2/
Bachelor of Science (Nursing) Conversion Program for Registered Nurses,UNDERGRADUATE,,Bachelor Degrees prepare students to develop broad and coherent knowledge and skills in a discipline for professional work and further learning corresponding to AQF level 7…,Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-nursing-conversion-program-for-registered-nurses--b-nursconv2/
"Bachelor of Engineering (Chemical Engineering), Bachelor of Science (Chemistry)",UNDERGRADUATE,,"Chemical engineering uses chemistry, physics and mathematics to convert raw materials or chemicals into more useful or valuable forms. In this double degree, the chemical…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-engineering-chemical-engineering-bachelor-of-science-chemistry--bb-cenchmv2/
Bachelor of Applied Science (Construction Management),UNDERGRADUATE,,"Construction managers work across a broad range of interrelated disciplines on residential, commercial and infrastructure projects. This degree is management-oriented and prepares…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-applied-science-construction-management--b-conmv1/
Bachelor of Science (Health Sciences) (Honours),UNDERGRADUATE,,"This course develops originality and independence of thought and trains students in research. It is a path for students proceeding to a higher degree. Additionally, this course…",Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-health-sciences-honours--bh-hlthscv1/
Bachelor of Science (Biomedical Science) (Honours),UNDERGRADUATE,,This course develops originality and independence of thought and trains students in research. The course aims to broaden your knowledge and expose you to the latest developments in…,Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-biomedical-science-honours--bh-biomedv1/
Bachelor of Education (Early Childhood Education),UNDERGRADUATE,,Curtin’s early childhood education course is an exciting program that provides a well-respected qualification for teaching young children. The course aims to develop…,Curtin University,https://study.curtin.edu.au/offering/course-ug-bachelor-of-education-early-childhood-education--b-edecv1/
Associate Degree in Agribusiness,UNDERGRADUATE,,"Curtin is offering a new Associate Degree in Agribusiness, developed in close consultation with industry, at Muresk Institute from 2019. Agribusiness encompasses the whole food…",Curtin University,https://study.curtin.edu.au/offering/course-ug-associate-degree-in-agribusiness--ad-agribv1/
