Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Advanced Diploma of Dance (Elite Performance),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/advanced-diploma-of-dance-elite-performance
Advanced Diploma of Live Production and Management Services,,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/advanced-diploma-of-live-production-and-management-services
Advanced Diploma of Music Industry,,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/advanced-diploma-of-music-industry
Associate Degree in Criminology and Justice,,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/associate-degree-in-criminology-and-justice
"Associate Degree of Sport, Recreation and Event Management",,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/associate-degree-of-sport-recreation-and-event-management
Bachelor of Arts,,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts
Bachelor of Arts (Acting),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-acting
Bachelor of Arts (Arts Management),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-arts-management
Bachelor of Arts (Arts Management) Honours,,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-arts-management-honours
Bachelor of Arts (Dance),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-dance
Bachelor of Arts (Dance) Honours,,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-dance-honours
Bachelor of Arts (Music Theatre),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-music-theatre
Bachelor of Arts (Psychology and Addiction Studies),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-psychology-and-addiction-studies
Bachelor of Arts (Psychology and Counselling),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-psychology-and-counselling
Bachelor of Arts (Psychology),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-psychology
Bachelor of Arts (Psychology) Honours,,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-psychology-honours
"Bachelor of Arts (Psychology, Criminology and Justice)",,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-psychology-criminology-and-justice
Bachelor of Arts (South West),,,,Edith Cowan University,http://www.ecu.edu.au/degrees/courses/bachelor-of-arts-south-west
