Course_Name,Link
Diploma of Agriculture,https://study.federation.edu.au/#/course/DLLH
Diploma of Conservation and Land Management,https://study.federation.edu.au/#/course/DLLI
Certificate II in Agriculture,https://study.federation.edu.au/#/course/DLLE
Certificate II in Landscaping,https://study.federation.edu.au/#/course/DLKG
Certificate III in Agriculture,https://study.federation.edu.au/#/course/DLLF
Certificate III in Conservation and Land Management,https://study.federation.edu.au/#/course/DLLM
Certificate III in Horticulture,https://study.federation.edu.au/#/course/DLLP
Certificate III in Landscape Construction,https://study.federation.edu.au/#/course/DLLQ
Certificate III in Parks and Gardens,https://study.federation.edu.au/#/course/DLLR
Certificate IV in Horticulture,https://study.federation.edu.au/#/course/DLLS
Certificate IV in Wool Classing,https://study.federation.edu.au/#/course/DLLG
Bachelor of Arts,https://study.federation.edu.au/#/course/DHM5
Bachelor of Arts (Honours),https://study.federation.edu.au/#/course/DHS8
Bachelor of Arts (Humanities) (Honours),https://study.federation.edu.au/#/course/DHS8.HU
Bachelor of Arts (Social Science) (Honours),https://study.federation.edu.au/#/course/DHS8.SS
Bachelor of Community and Human Services,https://study.federation.edu.au/#/course/DHC5
Bachelor of Criminal Justice,https://study.federation.edu.au/#/course/DHJ5
Bachelor of International Studies,https://study.federation.edu.au/#/course/DHF5
Bachelor of Social Science,https://study.federation.edu.au/#/course/DHZ5
Master of Arts,https://study.federation.edu.au/#/course/DHB9
Master of Social Work (Qualifying),https://study.federation.edu.au/#/course/DHW9
Doctor of Philosophy,https://study.federation.edu.au/#/course/DHU0.NSM
Certificate II in Automotive Servicing Technology,https://study.federation.edu.au/#/course/DLLO
Certificate II in Automotive Vocational Preparation,https://study.federation.edu.au/#/course/DLLT
Certificate III in Light Vehicle Mechanical Technology,https://study.federation.edu.au/#/course/DICN
VicRoads Licensed Vehicle Tester,https://study.federation.edu.au/#/course/DIBC
Advanced Diploma of Building Design (Architectural),https://study.federation.edu.au/#/course/DARC68
Advanced Diploma of Building Surveying,https://study.federation.edu.au/#/course/DLMK
Certificate II in Building and Construction Pre-apprenticeship,https://study.federation.edu.au/#/course/DLKF
Certificate II in Construction Pathways,https://study.federation.edu.au/#/course/DHXL
Certificate II in Electrotechnology (Career Start),https://study.federation.edu.au/#/course/DIBD
Certificate II in Furniture Making,https://study.federation.edu.au/#/course/DMSF
Certificate II in Plumbing (Pre-apprenticeship),https://study.federation.edu.au/#/course/DLAK
Certificate III in Bricklaying/Blocklaying,https://study.federation.edu.au/#/course/DHXM
Certificate III in Cabinet Making,https://study.federation.edu.au/#/course/DHZU
Certificate III in Carpentry,https://study.federation.edu.au/#/course/DHXN
Certificate III in Electrotechnology Electrician,https://study.federation.edu.au/#/course/DIBE
Certificate III in Joinery,https://study.federation.edu.au/#/course/DHXP
Certificate III in Painting and Decorating,https://study.federation.edu.au/#/course/DHXO
Certificate III in Plumbing,https://study.federation.edu.au/#/course/DCPC13
Certificate IV in Building and Construction (Building),https://study.federation.edu.au/#/course/DHXR
Bachelor of Applied Management,https://study.federation.edu.au/#/course/DVM5
Bachelor of Business,https://study.federation.edu.au/#/course/DBB5.NSM
Bachelor of Business (Entrepreneurship),https://study.federation.edu.au/#/course/DBB5.ENT
Bachelor of Business (Honours),https://study.federation.edu.au/#/course/DBB8
Bachelor of Business (Human Resource Management),https://study.federation.edu.au/#/course/DBB5.HRM
Bachelor of Business (Management and Human Resource Management),https://study.federation.edu.au/#/course/DBB5.MHR
Bachelor of Business (Management and Marketing),https://study.federation.edu.au/#/course/DBB5.MM
Bachelor of Business (Management),https://study.federation.edu.au/#/course/DBB5.MAN
Bachelor of Business (Marketing and Human Resource Management),https://study.federation.edu.au/#/course/DBB5.MRM
Bachelor of Business (Marketing and Information Technology),https://study.federation.edu.au/#/course/DBB5.MIT
Bachelor of Business (Marketing),https://study.federation.edu.au/#/course/DBB5.MK
Bachelor of Business (Professional Experience),https://study.federation.edu.au/#/course/DBB5.PE
Bachelor of Commerce,https://study.federation.edu.au/#/course/DBC5.NSM
Bachelor of Commerce (Accounting and Information Technology),https://study.federation.edu.au/#/course/DBC5.AIT
Bachelor of Commerce (Accounting),https://study.federation.edu.au/#/course/DBC5.ACC
"Bachelor of Commerce (Accounting , Economics and Finance)",https://study.federation.edu.au/#/course/DBC5.ACE
Bachelor of Commerce (Economics and Finance),https://study.federation.edu.au/#/course/DBC5.ECO
Bachelor of Commerce (Honours),https://study.federation.edu.au/#/course/DBC8
Bachelor of Commerce (Law),https://study.federation.edu.au/#/course/DBC5.LM
Bachelor of Commerce/Bachelor of Business,https://study.federation.edu.au/#/course/DBD5
Bachelor of Hospitality (Management),https://study.federation.edu.au/#/course/DVH5
Graduate Certificate in Management,https://study.federation.edu.au/#/course/DMA4
Graduate Certificate in Professional Accounting,https://study.federation.edu.au/#/course/DBI4
Graduate Diploma of Management,https://study.federation.edu.au/#/course/DMB4
Graduate Diploma of Professional Accounting,https://study.federation.edu.au/#/course/DBO4
Master of Business,https://study.federation.edu.au/#/course/DMU9
Master of Business Administration,https://study.federation.edu.au/#/course/DMM9
Master of Business Administration (Health Services Management),https://study.federation.edu.au/#/course/DMM9.HSM
Master of Business Administration (Health Services Management),https://study.federation.edu.au/#/course/DMM9.HSM
Master of Professional Accounting,https://study.federation.edu.au/#/course/DBX9
Doctor of Philosophy,https://study.federation.edu.au/#/course/DBU0
Diploma of Hospitality Management,https://study.federation.edu.au/#/course/DLAQ
Certificate II in Food Processing,https://study.federation.edu.au/#/course/DLKL
Certificate III in Commercial Cookery,https://study.federation.edu.au/#/course/DLLK
Certificate III in Food Processing,https://study.federation.edu.au/#/course/DLKM
Certificate III in Hospitality (Restaurant Front of House),https://study.federation.edu.au/#/course/DLMA
Certificate III in Meat Processing (Retail Butcher),https://study.federation.edu.au/#/course/DLLC
Certificate III in Patisserie,https://study.federation.edu.au/#/course/DLLL
Certificate IV in Food Science and Technology,https://study.federation.edu.au/#/course/DHYK
Bachelor of Arts/Bachelor of Education,https://study.federation.edu.au/#/course/DTO5
Bachelor of Community and Human Services/Bachelor of Education,https://study.federation.edu.au/#/course/DTR5
Bachelor of Education (Early Childhood and Primary),https://study.federation.edu.au/#/course/DTY5
Bachelor of Education (Primary and Secondary P-10),https://study.federation.edu.au/#/course/DTX5
Bachelor of Education (Primary),https://study.federation.edu.au/#/course/DTZ5
Bachelor of Education Studies,https://study.federation.edu.au/#/course/DTC5
Bachelor of Mathematical Sciences/Bachelor of Education,https://study.federation.edu.au/#/course/DTL5
Bachelor of Science/Bachelor of Education,https://study.federation.edu.au/#/course/DTA5
Associate Degree of Training and Education,https://study.federation.edu.au/#/course/DTE3
Graduate Certificate in Education (Tertiary Education),https://study.federation.edu.au/#/course/DTK4
Graduate Certificate in Education (Tertiary Education),https://study.federation.edu.au/#/course/DTN4
Master of Teaching (Early Childhood),https://study.federation.edu.au/#/course/DTX9
Master of Teaching (Primary),https://study.federation.edu.au/#/course/DTY9
Master of Teaching (Secondary),https://study.federation.edu.au/#/course/DTZ9
Doctor of Philosophy,https://study.federation.edu.au/#/course/DTU0
Bachelor of Engineering (Civil) (Honours),https://study.federation.edu.au/#/course/DEG8.CIV
Bachelor of Engineering (Mechanical) (Honours),https://study.federation.edu.au/#/course/DEG8.MEC
Bachelor of Engineering (Mining) (Honours),https://study.federation.edu.au/#/course/DEG8.MIN
Bachelor of Mechatronic Systems Engineering (Honours),https://study.federation.edu.au/#/course/DGM8
Graduate Certificate in Maintenance Management,https://study.federation.edu.au/#/course/GMM4
Graduate Certificate in Reliability Engineering,https://study.federation.edu.au/#/course/GRE4
Graduate Diploma of Engineering Maintenance Management,https://study.federation.edu.au/#/course/GEM4
Graduate Diploma of Mining,https://study.federation.edu.au/#/course/DEQ4
Master of Engineering Science,https://study.federation.edu.au/#/course/DEI9
Master of Engineering Technology (Civil Engineering),https://study.federation.edu.au/#/course/DEY9.CIV
Master of Engineering Technology (Mechanical Engineering),https://study.federation.edu.au/#/course/DEY9.MEC
Master of Engineering Technology (Mining Engineering),https://study.federation.edu.au/#/course/DEY9.MIN
Master of Maintenance and Reliability Engineering,https://study.federation.edu.au/#/course/GMR9
Master of Mining Engineering,https://study.federation.edu.au/#/course/DEM9
Doctor of Philosophy,https://study.federation.edu.au/#/course/DGU0
Diploma of Beauty Therapy,https://study.federation.edu.au/#/course/DLAJ
Certificate II in Salon Assistant,https://study.federation.edu.au/#/course/DLLY
Certificate III in Beauty Services,https://study.federation.edu.au/#/course/DLLZ
Certificate III in Hairdressing,https://study.federation.edu.au/#/course/DSHB
Certificate IV in Hairdressing,https://study.federation.edu.au/#/course/DLLJ
Bachelor of Information Technology,https://study.federation.edu.au/#/course/DCT5.NSM
Bachelor of Information Technology (Big Data and Analytics),https://study.federation.edu.au/#/course/DCT5.BDA
