Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts,Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts
Bachelor of Arts (Education (Primary R-7) Pathway),Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-education-primary-pathway
Bachelor of Arts (Education (Secondary) Pathway),Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-education-secondary-pathway
Bachelor of Arts (Psychological Science Pathway),Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-psychological-science-pathway
Bachelor of Arts - Enhanced Program for High Achievers,Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-enhanced-program-high-achievers
Bachelor of Arts and Science,Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-science
Bachelor of Arts pathway to Master of Teaching (Primary R-7),Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-master-teaching-primary-pathway
Bachelor of Arts pathway to Master of Teaching (Secondary),Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-master-teaching-secondary-pathway
"Bachelor of Arts, Master of Teaching (Early Childhood)",Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-master-teaching-early-childhood
"Bachelor of Arts, Master of Teaching (Primary R-7)",Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-master-teaching-primary
"Bachelor of Arts, Master of Teaching (Secondary)",Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-arts-master-teaching-secondary
"Bachelor of Education (Early Childhood), Bachelor of Arts",Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-education-early-childhood-bachelor-arts
Bachelor of Education (Primary R-7) / Bachelor of Arts,Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-education-primary-bachelor-arts
Bachelor of Education (Secondary) / Bachelor of Arts,Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-education-secondary-bachelor-arts
Bachelor of General Studies,Undergraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/bachelor-general-studies
Applied linguistics,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-applied-linguistics
Australian studies,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-australian-studies
Creative writing,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-creative-writing
Drama,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-drama
English,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-english
French,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-french
Geography and environmental studies,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-geography-environmental-studies
History,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-history
Indonesian,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-indonesian
International Relations,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-international-relations
Italian,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-italian
Languages,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-languages
Modern Greek,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-modern-greek
Philosophy,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-philosophy
Politics,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-politics
Psychology,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-psychology
Screen and media,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-screen-media
Sociology,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-sociology
Spanish,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-spanish
Visual arts,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-visual-arts
Women's studies,Majors ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/major-womens-studies
"Gender Mainstreaming Policy and Analysis
",Postgraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/postgraduate-gender-mainstreaming-policy-analysis
Gender and Development,Postgraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/postgraduate-gender-development-womens-studies
Research Methods,Postgraduate ,Arts,,Flinders University,https://www.flinders.edu.au/study/courses/postgraduate-research-methods
