Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Architectural Design,,Architecture,,Griffith University,https://degrees.griffith.edu.au/Program/1492
Master of Architecture,,Architecture,,Griffith University,https://degrees.griffith.edu.au/Program/5558
Bachelor of Architectural Design,,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/1492
Bachelor of Construction Management (Honours),,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/1598
Bachelor of Engineering (Honours),,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/1542
Bachelor of Engineering (Honours),,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/1546
Bachelor of Urban and Environmental Planning,,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/1279
Bachelor of Urban and Environmental Planning,,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/1086
Master of Architecture,,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/5558
Master of Engineering Project Management Advanced,,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/5693
Bachelor of Engineering (Honours)/Bachelor of Business,,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/1557
Bachelor of Engineering (Honours)/Bachelor of Business,,Construction management,,Griffith University,https://degrees.griffith.edu.au/Program/1556
Bachelor of Environmental Science,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/1547
Bachelor of Environmental Science,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/1543
Bachelor of Urban and Environmental Planning,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/1279
Bachelor of Urban and Environmental Planning,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/1086
Graduate Certificate in Urban and Environmental Planning,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/3216
Graduate Diploma of Research Studies in Environment,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/4180
Master of Environment,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/5611
Master of Environmental Engineering,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/5593
Master of Urban and Environmental Planning,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/5576
Bachelor of Engineering (Honours)/Bachelor of Environmental Science,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/1555
Bachelor of Engineering (Honours)/Bachelor of Environmental Science,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/1554
Bachelor of Urban and Environmental Planning/Bachelor of Science,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/1516
Bachelor of Urban and Environmental Planning/Bachelor of Science,,Urban and environmental planning,,Griffith University,https://degrees.griffith.edu.au/Program/1512
Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1337
Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1035
Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1286
Bachelor of Commerce (Honours),,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/2089
Graduate Certificate in Research Studies in Business,,Accounting and business law,,Griffith University,https://www.griffith.edu.au/study/degrees/3275
Master of Accounting,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/5584
Master of Business,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/5632
Master of Professional Accounting,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/5683
Bachelor of Business/Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1442
Bachelor of Business/Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1443
Bachelor of Commerce/Bachelor of Asian Studies,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1550
Bachelor of Commerce/Bachelor of International Business,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1480
Bachelor of Commerce/Bachelor of International Business,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1479
Bachelor of Laws (Honours)/Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1505
Bachelor of Laws (Honours)/Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1506
Bachelor of Laws/Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1468
Bachelor of Laws/Bachelor of Commerce,,Accounting and business law,,Griffith University,https://degrees.griffith.edu.au/Program/1469
Bachelor of Asian Studies,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1388
Bachelor of Business,,Asian studies,,Griffith University,https://www.griffith.edu.au/study/degrees/1383
Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1034
Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1288
Bachelor of Business (Honours),,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/2088
Bachelor of Social Science,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1576
Master of International Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/5311
Master of International Relations,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/5631
Bachelor of Arts/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1293
Bachelor of Arts/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1230
Bachelor of Business/Bachelor of Asian Studies,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1551
Bachelor of Business/Bachelor of Commerce,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1442
Bachelor of Business/Bachelor of Commerce,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1443
Bachelor of Business/Bachelor of Government and International Relations,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1446
Bachelor of Business/Bachelor of Government and International Relations,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1447
Bachelor of Business/Bachelor of International Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1445
Bachelor of Business/Bachelor of International Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1444
Bachelor of Commerce/Bachelor of Asian Studies,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1550
Bachelor of Environmental Science/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1582
Bachelor of Government and International Relations/Bachelor of Asian Studies,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1552
Bachelor of International Tourism and Hotel Management/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1482
Bachelor of International Tourism and Hotel Management/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1481
Bachelor of Laws (Honours)/Bachelor of Asian Studies,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1545
Bachelor of Laws (Honours)/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1507
Bachelor of Laws (Honours)/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1508
Bachelor of Laws/Bachelor of Asian Studies,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1544
Bachelor of Laws/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1464
Bachelor of Laws/Bachelor of Business,,Asian studies,,Griffith University,https://degrees.griffith.edu.au/Program/1465
