Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Diploma of Higher Education (Business) ,Undergraduate,,"The course provides students eligible to enrol in the Bachelor of Business the opportunity to undertake a recognised business qualification of one-year full time duration. On successful completion you will graduate with the Diploma of Higher Education in Business, and have the option of entering the second year of the Bachelor of Business.",James Cook University,https://www.jcu.edu.au/courses-and-study/courses/diploma-of-higher-education-in-business
"Diploma of Higher Education, majoring in Business Studies ",Undergraduate,,This course provides students with basic skills and knowledge in a range of business-related fields and offers a pathway to degree level study. On successful completion you can graduate with the diploma and receive advanced standing towards selected JCU degree programs including the Bachelor of Business.,James Cook University,https://www.jcu.edu.au/courses-and-study/courses/diploma-of-higher-education-in-business-studies
"Diploma of Higher Education, majoring in Engineering and Applied Science ",Undergraduate,,The Diploma of Higher Education is a respected qualification in its own right. Our Diploma students enjoy all the benefits and support provided to full degree students.JCU Diplomas are designed to help you develop the necessary skills to be a successful university student. On completion you can graduate with the diploma and may receive advanced standing (credit) towards selected JCU degree programs.,James Cook University,https://www.jcu.edu.au/courses-and-study/courses/diploma-of-higher-education-in-engineering-and-applied-science
"Diploma of Higher Education, majoring in General Studies ",Undergraduate,,This course provides students with basic skills and knowledge in a range of fields and offers a pathway to degree level study. On successful completion you can graduate with the diploma and receive advanced standing towards selected JCU degree programs. The Diploma of Higher Education in General Studies provides you the opportunity to study a range of topics.,James Cook University,https://www.jcu.edu.au/courses-and-study/courses/diploma-of-higher-education-in-general-studies
"Diploma of Higher Education, majoring in Health ",Undergraduate,,"This course provides you with the basic skills and knowledge in a range of health-related fields and offers a pathway to degree level study. JCU Diplomas are designed to help you develop the necessary skills to be a successful university student. On successful completion of the Diploma, you can continue into a Bachelor degree program, and you may receive credit for successfully completed subjects.",James Cook University,https://www.jcu.edu.au/courses-and-study/courses/diploma-of-higher-education-in-health
"Diploma of Higher Education, majoring in Information Technology ",Undergraduate,,This course provides students with basic skills and knowledge in a range of business-related fields and offers a pathway to degree level study. On successful completion you can graduate with the diploma and receive advanced standing towards selected JCU degree programs including the Bachelor of Information Technology.,James Cook University,https://www.jcu.edu.au/courses-and-study/courses/diploma-of-higher-education-in-information-technology
"Diploma of Higher Education, majoring in Science ",Undergraduate,,This course provides you with the basic skills and knowledge in a range of science-related fields and offers a pathway to degree level study. JCU Diplomas are designed to help you develop the necessary skills to be a successful university student. On successful completion you can graduate with the diploma and receive advanced standing towards selected JCU degree programs.,James Cook University,https://www.jcu.edu.au/courses-and-study/courses/diploma-of-higher-education-in-science
"Diploma of Higher Education, majoring in Society and Culture ",Undergraduate,,This course provides students with basic skills and knowledge in a range of business-related fields and offers a pathway to degree level study. On successful completion you can graduate with the diploma and receive advanced standing towards selected JCU degree programs including the Bachelor of Arts.,James Cook University,https://www.jcu.edu.au/courses-and-study/courses/diploma-of-higher-education-in-society-and-culture
Bachelor of Advanced Science ,Undergraduate,,"The Bachelor of Advanced Science is an elite program for high-achieving students passionate about science and not afraid to be challenged.JCU Advanced Science students are educated to be the science and research leaders of the future. High-achieving students choose JCU because of the university's reputation for leadership in finding solutions to the scientific and environmental challenges facing the tropics.You'll learn the advanced conceptual and analytical capacity that will ensure you stand out from the crowd when you graduate, and importantly, you'll meet experts in their fields who will open your eyes to the possibilities that the future holds for you.",James Cook University,https://www.jcu.edu.au/courses-and-study/courses/bachelor-of-advanced-science
Bachelor of Arts ,Undergraduate,,"Learn to think creatively, analyse effectively and use the critical thinking skills necessary to work in today’s modern society. Work nationally or internationally with our arts degree designed to equip you to be a digital disrupter – use analytical and creative thinking to stand out from the crowd.Be taught by world-class lecturers and experience small, friendly classes and personalised support. Practical work placements ensure you are work-ready when you graduate. Depending on your chosen major, you may also have the opportunity to experience an overseas placement.You can choose from an extensive list of majors, including, Anthropology, Archaeology, Criminology, English, History, Human Geography, Human Services, Modern Languages, Multimedia Journalism and Writing, Politics and International Relations, Psychology Studies or Sociology. Combine this course with a Bachelor of Laws, Bachelor of Business, or Bachelor of Science, to broaden your career opportunities.",James Cook University,https://www.jcu.edu.au/courses-and-study/courses/bachelor-of-arts
