Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts ,,Aboriginal studies,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-arts
Bachelor of Arts/Bachelor of Health Sciences,,Aboriginal studies,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-arts-bachelor-of-health-sciences
Bachelor of Arts/Bachelor of Science,,Aboriginal studies,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-arts-bachelor-of-science
Doctor of Philosophy,,Aboriginal studies,,La Trobe University,https://www.latrobe.edu.au/courses/doctor-of-philosophy
Honours in Aboriginal studies,,Aboriginal studies,,La Trobe University,https://www.latrobe.edu.au/courses/honours/aboriginal-studies-honours
Master of Arts,,Aboriginal studies,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-arts
Bachelor of Accounting,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-accounting
Bachelor of Business (Accounting and Finance),,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-accounting-and-finance
Bachelor of Business (Accounting),,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-accounting
Bachelor of Business Information Systems,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-information-systems
Bachelor of Commerce,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-commerce
Bachelor of Commerce/Bachelor of Agricultural Sciences,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-commerce-bachelor-of-agricultural-sciences
Bachelor of Commerce/Bachelor of Computer Science,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-commerce-bachelor-of-computer-science
Bachelor of Commerce/Bachelor of International Relations,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-commerce-bachelor-of-international-relations
Bachelor of Commerce/Bachelor of Science,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-commerce-bachelor-of-science
"Bachelor of Politics, Philosophy and Economics",,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-politics-philosophy-and-economics
Doctor of Philosophy,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/doctor-of-philosophy3
Master of Accounting and Financial Management ,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-accounting-and-financial-management
Master of Arts,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-arts2
Master of Business (Research),,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-business-research
Master of Commerce (Research),,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-commerce-research
Master of Financial Analysis/Master of Professional Accounting,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-financial-analysis-master-of-professional-accounting
Master of Professional Accounting,,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-professional-accounting
Master of Professional Accounting (Business Analytics),,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-professional-accounting-business-analytics
Master of Professional Accounting (CPA Australia Extension),,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-professional-accounting-cpa-australia-extension
Master of Professional Accounting (Information Systems Management),,Accounting,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-professional-accounting-information-systems-management
Bachelor of Agricultural Sciences,,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-agricultural-sciences
Bachelor of Agriculture and Technology,,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-agriculture-and-technology
Bachelor of Business (Agribusiness),,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-agribusiness
Bachelor of Laws/Bachelor of Science,,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-laws-bachelor-of-science
Bachelor of Science,,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-science
Doctor of Philosophy,,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/doctor-of-philosophy2
Honours in agricultural sciences,,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/honours/agricultural-sciences-honours
Master of Agricultural Science ,,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-agricultural-science
Master of Science ,,Agricultural sciences,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-science
Bachelor of Animal and Veterinary Biosciences,,Animal veterinary biosciences,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-animal-and-veterinary-biosciences
Bachelor of Biological Sciences,,Animal veterinary biosciences,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-biological-sciences
Bachelor of Veterinary Nursing,,Animal veterinary biosciences,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-veterinary-nursing
Honours in animal veterinary biosciences,,Animal veterinary biosciences,,La Trobe University,https://www.latrobe.edu.au/courses/honours/animal-veterinary-biosciences-honours
Bachelor of Laws/Bachelor of Arts,,Anthropology,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-laws-bachelor-of-arts
Bachelor of Laws/Bachelor of International Relations ,,Anthropology,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-laws-bachelor-of-international-relations
Honours in anthropology,,Anthropology,,La Trobe University,https://www.latrobe.edu.au/courses/honours/anthropology-honours
Graduate Certificate of Archaeology ,,Archaeology,,La Trobe University,https://www.latrobe.edu.au/courses/graduate-certificate-of-archaeology
Graduate Certificate of Professional Archaeology,,Archaeology,,La Trobe University,https://www.latrobe.edu.au/courses/graduate-certificate-of-professional-archaeology
Graduate Diploma of Professional Archaeology,,Archaeology,,La Trobe University,https://www.latrobe.edu.au/courses/graduate-diploma-of-professional-archaeology
Honours in archaeology,,Archaeology,,La Trobe University,https://www.latrobe.edu.au/courses/honours/archaeology-honours
Master of Professional Archaeology,,Archaeology,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-professional-archaeology
Master of Art Therapy,,Art therapy,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-art-therapy
Bachelor of Creative Arts,,Arts,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-creative-arts
Honours in arts,,Arts,,La Trobe University,https://www.latrobe.edu.au/courses/honours/arts-honours
Diploma in Languages,,Asian studies,,La Trobe University,https://www.latrobe.edu.au/courses/diploma-in-languages
Honours in Asian studies,,Asian studies,,La Trobe University,https://www.latrobe.edu.au/courses/honours/asian-studies-honours
Bachelor of Applied Science and Master of Clinical Audiology,,Audiology,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-applied-science-and-master-of-clinical-audiology
Master of Applied Science ,,Audiology,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-applied-science
Master of Clinical Audiology,,Audiology,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-clinical-audiology
Bachelor of Biomedical Science,,Biochemistry and molecular biology,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-biomedical-science
Graduate Diploma in Biotechnology and Bioinformatics,,Biochemistry and molecular biology,,La Trobe University,https://www.latrobe.edu.au/courses/graduate-diploma-in-biotechnology-and-bioinformatics
Honours in biochemistry and molecular biology,,Biochemistry and molecular biology,,La Trobe University,https://www.latrobe.edu.au/courses/honours/biochemistry-and-molecular-biology-honours
Master of Biotechnology and Bioinformatics,,Biochemistry and molecular biology,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-biotechnology-and-bioinformatics
Bachelor of Biomedical Science (Medical),,Biomedicine,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-biomedical-science-medical
Bachelor of Biomedicine,,Biomedicine,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-biomedicine
Honours in biomedicine,,Biomedicine,,La Trobe University,https://www.latrobe.edu.au/courses/honours/biomedicine-honours
Master of Biotechnology Management,,Biotechnology,,La Trobe University,https://www.latrobe.edu.au/courses/master-of-biotechnology-management
Graduate Diploma in Science,,Botany,,La Trobe University,https://www.latrobe.edu.au/courses/graduate-diploma-in-science
Honours in botany,,Botany,,La Trobe University,https://www.latrobe.edu.au/courses/honours/botany-honours
Bachelor of Business,,Business,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business
Bachelor of Business (Event Management),,Business,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-event-management
Bachelor of Business (Event Management/Marketing),,Business,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-event-management-marketing
Bachelor of Business (Human Resource Management),,Business,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-human-resource-management
Bachelor of Business (Marketing),,Business,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-marketing
Bachelor of Business (Sport Development and Management),,Business,,La Trobe University,https://www.latrobe.edu.au/courses/bachelor-of-business-sport-development-and-management
