Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Architectural Design,Bachelor degree,"Art, design & architecture","Make a positive impact on people and society through a combination of creative vision, technical…",Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Farchitectural-design-f2001%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Farchitectural-design-f2001%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=Vw2aOHAmNUxUAiefrw8Fmw&profile=_default&rank=1&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Art and Design,Diploma,"Art, design & architecture","Put your creative ideas into practice by studying art, design and architecture. If you want to design…",Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fart-and-design-2613%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fart-and-design-2613%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=W35LaniRrR0Xw2yqEYj8zA&profile=_default&rank=2&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Arts and Fine Art,Bachelor degree/Bachelor degree,"Art, design & architecture",This double degree course will immerse you in a range of conceptual and practical approaches to art…,Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Farts-and-fine-art-a2005%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Farts-and-fine-art-a2005%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=5yfh4ccPYdmF1rWXuz3AUg&profile=_default&rank=3&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Design,Bachelor degree,"Art, design & architecture","Design is a constantly evolving discipline and concerns itself with the improvement of humanity,…",Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-f2010%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-f2010%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=UMbGHvTocBnZOMvUpNmXNA&profile=_default&rank=4&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Design,Bachelor degree (honours),"Art, design & architecture","This is a prestigious one-year program in design practice, theory and research for high achieving…",Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-f3703%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-f3703%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=r6VKfPmYbO5Boo8c531%2BTw&profile=_default&rank=5&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Design and Business,Bachelor degree/Bachelor degree,"Art, design & architecture",Everything around you has been designed. Design thinking skills help organisations establish…,Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-and-business-f2011%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-and-business-f2011%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=MpJ40OCL7DvR%2Fk5Oievuvw&profile=_default&rank=6&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Design and Information Technology,Bachelor degree/Bachelor degree,"Art, design & architecture","Design and information technology are strongly complementary fields. Together, they provide a powerful …",Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-and-information-technology-f2012%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-and-information-technology-f2012%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=Y8fcx4c3KiZTq7iO9He6uA&profile=_default&rank=7&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Design and Media Communication,Bachelor degree/Bachelor degree,"Art, design & architecture","The Bachelor of Design and Bachelor of Media Communication is a unique, globally-relevant double…",Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-and-media-communication-f2009%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fdesign-and-media-communication-f2009%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=cbWglpY7BfN8wgJlv14ptw&profile=_default&rank=8&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Education and Fine Art,Bachelor degree (honours)/Bachelor degree,"Art, design & architecture","Do you want to share your artistic passion and creativity with children and young people? If so, this…",Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Feducation-and-fine-art-d3006%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Feducation-and-fine-art-d3006%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=tuECfS%2BOGKxHn2zqLAdQ5A&profile=_default&rank=9&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
Engineering and Architectural Design,Bachelor degree (honours)/Bachelor degree,"Art, design & architecture",The building industry needs engineering professionals with strong architectural knowledge. The…,Monash University,https://mon-search.clients.squiz.net/s/redirect?collection=study-monash-courses-meta&url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fengineering-and-architectural-design-e3009%3Fdomestic%3Dtrue&index_url=https%3A%2F%2Fwww.monash.edu%2Fstudy%2Fcourses%2Ffind-a-course%2F2019%2Fengineering-and-architectural-design-e3009%2F_nocache%3FSQ_DESIGN_NAME%3Dblank%26SQ_PAINT_LAYOUT_NAME%3Drebrand-funnelback-index&auth=OdPV6Q%2FI7HqBaVABIWcekw&profile=_default&rank=10&query=%21padrenull+%7CcourseTab%3A%22%24%2B%2B+Undergraduate+%24%2B%2B%22+%7CcourseStudentType%3A%22%24%2B%2B+domestic+%24%2B%2B%22+%7CcourseInterestAreas%3A%22%24%2B%2B+Art%2C+Design+and+Architecture+%24%2B%2B%22
