Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Commerce (BCom) in Accounting,,Accounting,,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Accounting-(BCom)
Bachelor of Business (BBus) in Accounting,,Accounting,,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Accounting-(BBus)
Bachelor of Business Honours (BBus(Hons)) in Accounting,,Accounting Honours,,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Accounting-Honours-(BBus(Hons))
Bachelor of Science (BSc) in Animal Health,,Animal Health,,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Animal-Health-(BSc)
Bachelor of Science Honours (BSc(Hons)) in Animal Health,,Animal Health Honours,,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Animal-Health-Honours-(BSc(Hons))
Bachelor of Science (BSc) in Animal Science,,Animal Science,,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Animal-Science-(BSc)
Bachelor of Science Honours (BSc(Hons)) in Animal Science,,Animal Science Honours,,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Animal-Science-Honours-(BSc(Hons))
Master of Applied Psychology (MAppPsych) (Clinical Psychology),,Applied Psychology (Clinical Psychology),,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Master-of-Applied-Psychology-(Clinical-Psychology)-(MAppPsych)
Master of Applied Psychology (Professional) (MAppPsych(Professional)),,Applied Psychology (Professional),,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Master-of-Applied-Psychology-(Professional)-(MAppPsych(Professional))
Graduate Diploma in Asian Language (In-Country) (GradDipAsianLangIn-Country),,Asian Language (In-Country),,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Graduate-Diploma-in-Asian-Language-(In-Country)-(GradDipAsianLangIn-Country)
Bachelor of Arts Honours (BA(Hons)) in Asian Studies,,Asian Studies Honours,,Murdoch_University,https://www.murdoch.edu.au/study/courses/course-details/Asian-Studies-Honours-(BA(Hons))
