Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Design (Architecture),,Building and planning,Architecture at QUT is recognised internationally for our focus on innovation and sustainable development. Undertake architectural design projects in studio settings.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-architecture
Bachelor of Design (Honours) (Architectural Studies) - Advanced Standing Entry,,Building and planning,Architecture at QUT is recognised internationally for our focus on innovation and sustainable development. Prior work experience or studies required,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-honours-architectural-studies-advanced-standing-entry
Bachelor of Design (Interior Architecture),,Building and planning,In this internationally recognised course you’ll undertake interior design projects in practical studio settings and learn from award-winning practitioners.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-interior-architecture
Bachelor of Design (Landscape Architecture),,Building and planning,Study with one of Australia’s principal landscape educators. You’ll work on real-world projects in studio settings and gain knowledge of emerging industry trends.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecture
Bachelor of Design - International (Architecture),,Building and planning,Architecture at QUT is recognised internationally for innovation and sustainable development. This course combines your architecture degree with a year of international studies.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-international-architecture
Bachelor of Design - International (Interior Architecture),,Building and planning,Undertake interior design projects in practical studio settings and learn from award-winning practitioners. This course combines your design degree with a year of international studies.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-international-interior-architecture
Bachelor of Design - International (Landscape Architecture),,Building and planning,You’ll work on real-world projects in studio settings and gain knowledge of emerging industry trends. This course combines your design degree with a year of international studies.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-international-landscape-architecture
Bachelor of Engineering (Honours) (Civil),,Building and planning,"Design, construct and maintain infrastructure such as roads or harbours. Be in demand and well paid with a professional civil engineering qualification.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-engineering-honours-civil
Bachelor of Business/Bachelor of Design (Architecture),,Building and planning,"Combine business and architecture to create environments that make a positive impact, or for careers in management, marketing or other business aspects of design organisations.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-architecture
Bachelor of Business/Bachelor of Design (Interior Architecture),,Building and planning,"Combine business and interior architecture to produce interior spaces that enhance quality of life, or for careers in management, marketing or other business aspects of design organisations.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-interior-architecture
Bachelor of Business/Bachelor of Design (Landscape Architecture),,Building and planning,"Combine business and landscape architecture to develop outdoor spaces with positive impact or for careers in management, marketing or other business aspects of design organisations.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-business-bachelor-of-design-landscape-architecture
Bachelor of Design (Architecture)/Bachelor of Engineering (Honours),,Building and planning,"Combine architecture and engineering for careers in a range of fields including architecture, project management, property development, construction or civil engineering.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-architecture-bachelor-of-engineering-honours
Bachelor of Design (Architecture)/Bachelor of Property Economics,,Building and planning,"Combine architecture and property economics for careers researching, developing, valuing and designing property for investment in commercial and government sectors.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-architecture-bachelor-of-property-economics
Bachelor of Design (Architecture)/Bachelor of Urban Development (Honours) (Construction Management),,Building and planning,"Combine architecture with construction to work as a valued architect and project manager in the building industry, using your skills in design, costing and supply management.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-architecturebachelor-of-urban-development-honours-construction-management
Bachelor of Design (Interior Architecture)/Bachelor of Property Economics,,Building and planning,Combine interior architecture with property economics and use your investment and creative skills to optimise returns and manage the performance of properties.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-interior-architecture-bachelor-of-property-economics
Bachelor of Design (Interior Architecture)/Bachelor of Urban Development (Honours) (Construction Management),,Building and planning,"Combine interior architecture with construction to design, plan and manage the construction, renovation or enhancement of internal spaces.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-interior-architecturebachelor-of-urban-development-honours-construction-management
Bachelor of Design (Landscape Architecture)/Bachelor of Engineering (Honours),,Building and planning,"Combine landscape architecture and engineering to work in roles such as structural engineer, geotechnical engineer, landscape architect and environmental engineer.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecturebachelor-of-engineering-honours
Bachelor of Design (Landscape Architecture)/Bachelor of Science,,Building and planning,"Combine landscape architecture with science to enhance your understanding of environmental impacts of mining, tourism and urban development.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecture-bachelor-of-science
Bachelor of Design (Landscape Architecture)/Bachelor of Urban Development (Honours) (Urban and Regional Planning),,Building and planning,"Combine landscape architecture with urban and regional planning to enhance established neighbourhoods, and shape new suburbs, cities and regions.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-design-landscape-architecturebachelor-of-urban-development-honours-urban-and-regional-planning
Master of Architecture,,Building and planning,,Queensland University of Technology,https://www.qut.edu.au/courses/master-of-architecture
Master of Philosophy,,Building and planning,,Queensland University of Technology,https://www.qut.edu.au/courses/master-of-philosophy
Bachelor of Urban Development  (Honours),,Building and planning,This flexible course allows you to pursue your area of interest. You’ll gain real experience and make industry contacts before graduating with an advanced qualification.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-urban-development-honours
Bachelor of Property Economics,,Building and planning,This is one of the few specialised property courses in Australia. The property sector is one of Australia largest industries and second largest employer.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-property-economics
Bachelor of Urban Development (Honours) (Construction Management),,Building and planning,Coordinate and supervise the construction of large building projects. This course is highly ranked in Australia and internationally. Undertake professional practice before you graduate.,Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-urban-development-honours-construction-management
Bachelor of Urban Development (Honours) (Quantity Surveying and Cost Engineering),,Building and planning,"Provide advice on the financial and legal aspects of construction and buildings. Undertake field trips and site visits, and receive professional accreditation to graduate job ready.",Queensland University of Technology,https://www.qut.edu.au/courses/bachelor-of-urban-development-honours-quantity-surveying-and-cost-engineering
