Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Architectural Design,Undergraduate,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/bachelor-degrees/bachelor-of-architectural-design-bp250
Bachelor of Architectural Design,Postgraduate,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-architecture-mc163
Bachelor of Architectural Design,Postgraduate,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-disaster-design-and-development-mc251
Bachelor of Architectural Design,Research,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-architecture--design-dr207
Bachelor of Architectural Design,Research,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-built-environment-dr212
Bachelor of Architectural Design,Vocational,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/vocational-study/advanced-diplomas/advanced-diploma-of-building-design-architectural-c6136
Bachelor of Architectural Design,Vocational,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/vocational-study/certificates/certificate-iv-in-design-c4382
Bachelor of Landscape Architectural Design,Undergraduate,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/bachelor-degrees/bachelor-of-landscape-architectural-design-bp256
Bachelor of Landscape Architectural Design,Postgraduate,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-disaster-design-and-development-mc251
Bachelor of Landscape Architectural Design,Postgraduate,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-landscape-architecture-mc172
Bachelor of Landscape Architectural Design,Research,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-architecture--design-dr207
"Master of Disaster, Design and Development",Postgraduate,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-disaster-design-and-development-mc251
"Master of Disaster, Design and Development",Postgraduate,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-urban-design-mc193
"Master of Disaster, Design and Development",Research,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-architecture--design-dr207
"Master of Disaster, Design and Development",Research,Architecture,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/phd/phd-built-environment-dr212
Bachelor of Arts (Fine Art),Undergraduate,Art,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/bachelor-degrees/bachelor-of-arts-fine-art-bp201
Bachelor of Arts (Fine Art),Undergraduate,Art,,RMIT University,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bachelor-of-arts-fine-art-honours-bh052
