Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts with Honours,,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-arts-with-honours-3507034/2019/
Bachelor of Social Science with Honours,,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-social-science-with-honours-3507033/2019/
Bachelor of Arts/Bachelor of Education (Primary/Early Childhood),,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-arts-bachelor-of-education-primary-early-childhood-3207313/2019/
Bachelor of Arts/Bachelor of Education (Primary/Secondary),,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-arts-bachelor-of-education-primary-secondary-3207312/2019/
Bachelor of Arts/Bachelor of Education (Secondary),,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-arts-bachelor-of-education-secondary-3207311/2019/
Bachelor of Arts/Bachelor of Education (Primary),,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-arts-bachelor-of-education-primary-3207310/2019/
"Bachelor of Social Science, Bachelor of Laws",,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-social-science-bachelor-of-laws-3207006/2019/
"Bachelor of Arts, Bachelor of Laws",,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-arts-bachelor-of-laws-3206101/2019/
"Bachelor of Business, Bachelor of Arts",,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-business-bachelor-of-arts-3202108/2019/
Bachelor of Social Welfare,,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-social-welfare-3007268/2019/
Bachelor of Arts,,"ARTS, HUMANITIES AND SOCIAL SCIENCES",,Southern Cross University,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-arts-3007099/2019/
