Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Advanced Diploma of Accounting,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Accounting-FNS60217/local
Advanced Diploma of Building Design (Architectural),,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Building-Design-(Architectural)-22477VIC/local
Advanced Diploma of Computer Systems Technology,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Computer-Systems-Technology-ICT60515/local
Advanced Diploma of Electronics and Communications Engineering,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Electronics-and-Communications-Engineering-UEE60211/local
Advanced Diploma of Engineering Technology - Civil Engineering Design,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Engineering-Technology---Civil-Engineering-Design-22479VIC/local
Advanced Diploma of Engineering Technology - Electrical,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Engineering-Technology---Electrical-UEE62111/local
Advanced Diploma of Engineering Technology - Mechanical Engineering Design,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Engineering-Technology---Mechanical-Engineering-Design-22479VIC/local
Advanced Diploma of Engineering Technology - Mechatronics Engineering Design,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Engineering-Technology---Mechatronics-Engineering-Design-22479VIC/local
Advanced Diploma of Graphic Design,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Graphic-Design-CUA60315/local
Advanced Diploma of Interior Design,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Interior-Design-MSF60113/local
Advanced Diploma of Justice,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Justice-22321VIC/local
Advanced Diploma of Screen and Media - Animation,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Screen-and-Media---Animation-CUA60615/local
Advanced Diploma of Screen and Media - Film and Television,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Screen-and-Media---Film-and-Television-CUA60615/local
Advanced Diploma of Visual Arts,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Advanced-Diploma-of-Visual-Arts-CUA60715/local
Advanced Diploma of Work Health and Safety,,,,Swinburne University of Technology,https://www.swinburne.edu.au/study/course/advanced-diploma-of-work-health-and-safety/
Agent's Representative Course,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Agent's-Representative-Course-SS-AGENTS/local
Alternative Tertiary Entry Program,,,,Swinburne University of Technology,http://www.swinburne.edu.au/study/course/Alternative-Tertiary-Entry-Program-NN-ATEP/local
Applied Digital Marketing (incorporating Adobe Experience Manager),,,,Swinburne University of Technology,https://www.swinburne.edu.au/study/course/applied-digital-marketing/
