Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Business,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/bachelor-business
Bachelor of Business (Communication and Public Relations),,Business,,Torrens University,https://www.torrens.edu.au/courses/business/bachelor-business-public-relations
Bachelor of Business (Entrepreneurship),,Business,,Torrens University,https://www.torrens.edu.au/courses/business/bachelor-of-business-entrepreneurship
Bachelor of Business (Event Management),,Business,,Torrens University,https://www.torrens.edu.au/courses/business/bachelor-business-event-management
Bachelor of Business (Marketing),,Business,,Torrens University,https://www.torrens.edu.au/courses/business/bachelor-business-marketing
Diploma of Business,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/diploma-business-higher-education
Diploma of Event Management,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/diploma-business-event-management
Diploma of Marketing,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/diploma-marketing
Bachelor of Commerce,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/bachelor-of-commerce
Graduate Certificate of Business Administration,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/grad-certificate-of-business-administration
Graduate Diploma of Business Administration,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/grad-diploma-of-business-administration
Master of Business Administration (MBA),,Business,,Torrens University,https://www.torrens.edu.au/courses/business/master-of-business-administration-2
Master of Business Administration (MBA) Advanced,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/master-of-business-administration
Master of Business Administration and Master of Global Project Management,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/master-of-business-administration-and-master-of-global-project-management
Master of Business Administration and Master of Public Health,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/master-of-business-administration-and-master-of-public-health
Master of Business Information Systems,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/master-of-business-information-systems
Master of Professional Accounting,,Business,,Torrens University,https://www.torrens.edu.au/courses/business/master-of-professional-accounting
Bachelor of Branded Fashion Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-branded-fashion-design-2
Bachelor of Business and Bachelor of Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-business-bachelor-design
Bachelor of Communication Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-communication-design
Bachelor of Digital Media (3D Design & Animation),,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-digital-media-3d-design-animation
Bachelor of Digital Media (Film & Video Design),,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-digital-media-film-video
Bachelor of Digital Media (Interaction Design),,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-digital-media-interaction-design
Bachelor of Interior Design (Commercial),,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-interior-design-commercial
Bachelor of Interior Design (Residential),,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-interior-design-residential
Diploma of Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/diploma-design
Diploma of Digital Media Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/diploma-digital-media-design
Diploma of Graphic Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/diploma-graphic-design
Diploma of Interior Design and Decoration,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/diploma-interior-design-decoration
Diploma of Photo Imaging,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/diploma-of-photo-imaging
Bachelor of Creative Technologies (Game Art),,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-creative-technologies-game-art
Bachelor of Media Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-media-design
Bachelor of Software Engineering (Game Programming),,Design,,Torrens University,https://www.torrens.edu.au/courses/design/bachelor-software-engineering-game-programming
Graduate Certificate in UX and Web Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/grad-certificate-ux-web-design
Graduate Certificate of Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/grad-certificate-design
Graduate Diploma of Design,,Design,,Torrens University,https://www.torrens.edu.au/courses/design/grad-diploma-design
Master of Design/ Master of Design (Advanced),,Design,,Torrens University,https://www.torrens.edu.au/courses/design/master-design
Design Thinking for Education,,Education,,Torrens University,https://www.torrens.edu.au/courses/education/design-thinking-education
Dyslexia,,Education,,Torrens University,https://www.torrens.edu.au/courses/education/dyslexia
Introduction to Mental Health Conditions,,Education,,Torrens University,https://www.torrens.edu.au/courses/education/introduction-to-mental-health-conditions
Learning Differences,,Education,,Torrens University,https://www.torrens.edu.au/courses/education/learning-differences-short-course
Person First in Autism,,Education,,Torrens University,https://www.torrens.edu.au/courses/education/person-first-in-autism
Doctor of Philosophy Education,,Education,,Torrens University,https://www.torrens.edu.au/courses/education/doctor-of-philosophy-education
Graduate Certificate in Learning and Teaching,,Education,,Torrens University,https://www.torrens.edu.au/courses/education/graduate-certificate-learning-teaching
Graduate Certificate of Education (Autism),,Education,,Torrens University,https://www.torrens.edu.au/courses/education/graduate-certificate-in-autism
Graduate Certificate of Education (Innovation and Change),,Education,,Torrens University,https://www.torrens.edu.au/courses/education/graduate-certificate-in-educational-innovation
Graduate Certificate of Education (Learning Differences),,Education,,Torrens University,https://www.torrens.edu.au/courses/education/graduate-certificate-of-education-learning-differences
Graduate Certificate of Education (Mental Health),,Education,,Torrens University,https://www.torrens.edu.au/courses/education/graduate-certificate-of-education-mental-health
