Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/barts_bart.html
Bachelor of Arts (Advanced),Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/barta_bartadv.html
Bachelor of Creative Arts,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bca_bcrarts.html
Bachelor of Criminology,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bcrim_bcrim.html
Bachelor of Environmental Policy and Management,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/benvs_benvs.html
Bachelor of International Development,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bdvst_bdevstud.html
Bachelor of International Relations,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bintr_bintlrel.html
Bachelor of Languages,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/blang_blang.html
Bachelor of Liberal Arts and Sciences,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/blas_blibartssc.html
Bachelor of Media,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bmedi_bmedia.html
Bachelor of Peace and Conflict Studies,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bpcs_bpcstud.html
"Bachelor of Philosophy, Politics and Economics",Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bppe_bphilpolec.html
Bachelor of Social Sciences,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bsocs_bsocialsc.html
Bachelor of Sociology,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bsoc_bsociol.html
Bachelor of Arts with Bachelor of Economics,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/babec_bartbec.html
Bachelor of Arts with Bachelor of Music,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/babmu_bartbmusd1.html
Bachelor of Arts with Bachelor of Science,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/babsc_bartbscd1.html
Bachelor of Criminology with Bachelor of Laws,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bcbl_bcrimblaw.html
Bachelor of Criminology with Bachelor of Laws (Honours),Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/hcrla_hbcrimblaw.html
Bachelor of International Relations with Bachelor of Arts,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/birba_bintrebart.html
Bachelor of International Relations with Bachelor of Economics,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/birbe_bintrebec.html
Bachelor of International Relations with Bachelor of Media,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/birbm_bintrebmed.html
Bachelor of Media with Bachelor of Arts,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bmeba_bmediabart.html
Bachelor of Media with Bachelor of Computer Sciences,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bmbcs_bmediabcsc.html
Bachelor of Media with Bachelor of Criminology,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bmbc_bmediabcri.html
Bachelor of Media with Bachelor of Sociology,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/bmbs_bmediabsoc.html
Honours Degree of Bachelor of Arts,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/harts_hbart.html
Honours Degree of Bachelor of Environmental Policy and Management,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/henst_hbenvst.html
Honours Degree of Bachelor of International Development,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/hdvst_hbdevstud.html
Honours Degree of Bachelor of International Relations,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/hbinr_hbintlrel.html
Honours Degree of Bachelor of Languages,Undergraduate,Arts,,University of Adelaide,https://www.adelaide.edu.au/degree-finder/2019/hlang_hblang.html
