Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Accounting (MGB001.1),,,,University of Canberra,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=SVKM&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2019"
Bachelor of Accounting (MGB001.1),,,,University of Canberra,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=BRUCE&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2019"
Bachelor of Acting and Performance (304JA.1),,,,University of Canberra,https://www.canberra.edu.au/coursesandunits/course?course_cd=304JA&version_number=1&title=Bachelor-of-Acting-and-Performance&location=TQB-SB&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2019
Bachelor of Applied Business (Management) (Online) (332JA.1),,,,University of Canberra,"https://www.canberra.edu.au/coursesandunits/course?course_cd=332JA&version_number=1&title=Bachelor-of-Applied-Business-(Management)-(Online)&location=DUCERE-ONL&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2019"
Bachelor of Applied Business (Marketing) (Online) (333JA.1),,,,University of Canberra,"https://www.canberra.edu.au/coursesandunits/course?course_cd=333JA&version_number=1&title=Bachelor-of-Applied-Business-(Marketing)-(Online)&location=DUCERE-ONL&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2019"
Bachelor of Applied Entrepreneurship (Online) (334JA.1),,,,University of Canberra,"https://www.canberra.edu.au/coursesandunits/course?course_cd=334JA&version_number=1&title=Bachelor-of-Applied-Entrepreneurship-(Online)&location=DUCERE-ONL&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2019"
Bachelor of Applied Fashion (305JA.1),,,,University of Canberra,https://www.canberra.edu.au/coursesandunits/course?course_cd=305JA&version_number=1&title=Bachelor-of-Applied-Fashion&location=TQB-SB&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2019
Bachelor of Applied Science in Forensic Studies (142JA.3),,,,University of Canberra,https://www.canberra.edu.au/coursesandunits/course?course_cd=142JA&version_number=3&title=Bachelor-of-Applied-Science-in-Forensic-Studies&location=BRUCE&rank=AAA&faculty=Faculty-of-Science-and-Technology&year=2019
Bachelor of Arts (Creative Writing) (ARB001.1),,,,University of Canberra,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB001&version_number=1&title=Bachelor-of-Arts-(Creative-Writing)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2019
Bachelor of Arts (Culture and Heritage) (ARB002.1),,,,University of Canberra,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB002&version_number=1&title=Bachelor-of-Arts-(Culture-and-Heritage)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2019
