Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Diploma in Theology,,,,University of Divinity,https://divinity.edu.au/study/our-courses/diploma-in-theology
Advanced Diploma in Philosophy,,,,University of Divinity,https://divinity.edu.au/study/our-courses/advanced-diploma-philosophy
Advanced Diploma in Theology and Ministry,,,,University of Divinity,https://divinity.edu.au/study/our-courses/advanced-diploma-theology
Bachelor of Ministry,,,,University of Divinity,https://divinity.edu.au/study/our-courses/bachelor-of-ministry
Bachelor of Theology,,,,University of Divinity,https://divinity.edu.au/study/our-courses/bachelor-of-theology
Bachelor of Theology and Bachelor of Ministry,,,,University of Divinity,https://divinity.edu.au/study/our-courses/bachelor-of-theology-and-bachelor-of-ministry
Graduate Certificate in Ageing,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-ageing
Graduate Certificate in Biblical Languages,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-biblical-languages
Graduate Certificate in Children and Families Ministry,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-in-children-and-families-ministry
Graduate Certificate in Divinity,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-in-divinity
Graduate Certificate in Guiding Meditation,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-guiding-meditation
Graduate Certificate in Ignatian Spirituality,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-ignatian-spirituality
Graduate Certificate in Leadership,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-leadership
Graduate Certificate in Liturgy,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-liturgy
Graduate Certificate in Research Methodology,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-research-methodology
Graduate Certificate in Spirituality,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-spirituality
Graduate Certificate in Supervision,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-supervision
Graduate Certificate in Teaching Religious Education,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-in-teaching-religious-education
Graduate Certificate in Theological Education,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-theological-education
Graduate Certificate in Theology,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-certificate-in-theology
Graduate Diploma in Biblical Languages,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-biblical-languages
Graduate Diploma in Biblical Studies,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-biblical-studies
Graduate Diploma in Church History,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-church-history
Graduate Diploma in Divinity,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-divinity
Graduate Diploma in Liturgy,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-liturgy
Graduate Diploma in Ministry Studies,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-ministry-studies
Graduate Diploma in Missiology,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-missiology
Graduate Diploma in Pastoral Care,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-pastoral-care
Graduate Diploma in Philosophy,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-philosophy
Graduate Diploma in Spiritual Direction,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-spiritual-direction
Graduate Diploma in Spirituality,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-spirituality
Graduate Diploma in Supervision,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-supervision
Graduate Diploma in Theology,,,,University of Divinity,https://divinity.edu.au/study/our-courses/graduate-diploma-in-theology
Master of Biblical Studies,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-biblical-studies
Master of Church History,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-church-history
Master of Counselling,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-of-counselling
Master of Divinity,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-of-divinity
Master of Education and Theology,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-education-theology
Master of Pastoral Care,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-pastoral-care
Master of Philosophical Studies,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-philosophical-studies
Master of Spiritual Direction,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-spiritual-direction
Master of Spirituality,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-spirituality
Master of Theological Studies,,,,University of Divinity,https://divinity.edu.au/study/our-courses/mts
Master of Theology (Coursework),,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-of-theology-coursework
Master of Philosophy,,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-of-philosophy
Master of Theology (Research),,,,University of Divinity,https://divinity.edu.au/study/our-courses/master-of-theology-research
Doctor of Philosophy,,,,University of Divinity,https://divinity.edu.au/study/our-courses/doctor-of-philosophyDoctor of Philosophy
Doctor of Theology,,,,University of Divinity,https://divinity.edu.au/study/our-courses/doctor-of-theology
