Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Master of Architectural Engineering ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-architectural-engineering
Bachelor of Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design
Master of Engineering (Civil),,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-engineering-civil
"Master of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-philosophy-architecture-building-and-planning
Bachelor of Science,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-science
Bachelor of Science (Extended),,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-science-extended
Master of Architectural Engineering ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-architectural-engineering
Master of Architecture ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-architecture
Bachelor of Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design
"Doctor of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-architecture-building-and-planning
"Master of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-philosophy-architecture-building-and-planning
Master of Urban and Cultural Heritage,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-and-cultural-heritage
Graduate Diploma in Built Environments,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-built-environments
Graduate Diploma in Built Environments (Advanced),,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-built-environments-advanced
Graduate Diploma in Construction Law ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-construction-law
Master of Construction Law ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-construction-law
Master of Construction Management,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-construction-management
Bachelor of Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design
Master of Engineering (Civil with Business),,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-engineering-civil-with-business
Master of Engineering (Civil),,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-engineering-civil
Master of Engineering (Structural) ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-engineering-structural
Master of Engineering Management,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-engineering-management
Master of Engineering Structures,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-engineering-structures
Master of Landscape Architecture ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-landscape-architecture
"Doctor of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-architecture-building-and-planning
"Master of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-philosophy-architecture-building-and-planning
Bachelor of Science,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-science
Bachelor of Science (Extended),,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-science-extended
Master of Urban Planning,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-planning
Bachelor of Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design
Master of Design for Performance,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-design-for-performance
Bachelor of Fine Arts (Design and Production),,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-fine-arts-design-and-production
"Doctor of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-architecture-building-and-planning
"Master of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-philosophy-architecture-building-and-planning
Master of Production Design for Screen,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-production-design-for-screen
Graduate Certificate in Arboriculture,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-certificate-in-arboriculture
Bachelor of Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design
Graduate Certificate in Garden Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-certificate-in-garden-design
Graduate Certificate in Green Infrastructure,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-certificate-in-green-infrastructure
Master of Landscape Architecture ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-landscape-architecture
"Doctor of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-architecture-building-and-planning
"Master of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-philosophy-architecture-building-and-planning
Master of Urban and Cultural Heritage,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-and-cultural-heritage
Graduate Diploma in Urban Horticulture,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-urban-horticulture
Master of Urban Horticulture,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-horticulture
Bachelor of Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design
"Doctor of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-architecture-building-and-planning
"Master of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-philosophy-architecture-building-and-planning
Master of Property,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-property
Graduate Diploma in Property Valuation ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-property-valuation
Master of Urban and Cultural Heritage,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-and-cultural-heritage
Master of Urban Design ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-design
Master of Urban Planning,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-planning
Bachelor of Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design
"Doctor of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-architecture-building-and-planning
"Master of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-philosophy-architecture-building-and-planning
Bachelor of Science,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-science
Bachelor of Science (Extended),,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-science-extended
Master of Urban and Cultural Heritage,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-and-cultural-heritage
Master of Urban Design ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-design
Master of Urban Planning,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-planning
Bachelor of Design,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design
"Doctor of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-architecture-building-and-planning
"Master of Philosophy (Architecture, Building and Planning)",,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-philosophy-architecture-building-and-planning
Master of Urban and Cultural Heritage,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-and-cultural-heritage
Master of Urban Design ,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-design
Master of Urban Planning,,"Architecture, building, planning and design",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-urban-planning
Bachelor of Arts,,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-arts
Graduate Certificate in Arts,,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-certificate-in-arts
Graduate Diploma in Arts ,,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-arts
Master of Arts (Advanced Seminar and Shorter Thesis),,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-arts-advanced-seminar-shorter-thesis
Graduate Certificate in Arts (Advanced),,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-certificate-in-arts-advanced
Graduate Diploma in Arts (Advanced),,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-arts-advanced
Bachelor of Arts (Extended),,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-arts-extended
Master of Arts (Thesis only),,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/master-of-arts-thesis-only
Doctor of Philosophy (Arts),,"Arts, humanities and social sciences",,University of Melbourne,https://study.unimelb.edu.au/find/courses/graduate/doctor-of-philosophy-arts
