Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Advanced Diploma in Arts,,,,University of New England,https://my.une.edu.au/courses/2019/courses/ADDA
"Advanced Diploma in Local, Family and Applied History",,,,University of New England,https://my.une.edu.au/courses/2019/courses/ADLFAH
Advanced Diploma in Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/ADSC
Associate Degree in Teaching (Pacific Focus),,,,University of New England,https://my.une.edu.au/courses/2019/courses/ADTPF
Bachelor of Agribusiness,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BAGB
Bachelor of Agricultural Production and Management,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BAGPM
Bachelor of Agriculture/Bachelor of Business,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BAGBUS
Bachelor of Animal Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BANSC
Bachelor of Arts/Bachelor of Business,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BABUS
Bachelor of Arts/Bachelor of Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BASC
Bachelor of Biomedical Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BBIOSC
Bachelor of Business/Bachelor of Economics,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BBUSEC
Bachelor of Clinical Exercise Physiology,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BCEP
Bachelor of Community Services,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BCS
Bachelor of Computer Science/Bachelor of Laws,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BCSLAW
Bachelor of Criminology/ Bachelor of Laws,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BCRLAW
Bachelor of Economics/Bachelor of Laws,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BECLAW
Bachelor of Education (Early Childhood Teaching),,,,University of New England,https://my.une.edu.au/courses/2019/courses/BEDEC1
Bachelor of Education (K-12 Teaching),,,,University of New England,https://my.une.edu.au/courses/2019/courses/BEDK12
Bachelor of Education (Pacific Focus),,,,University of New England,https://my.une.edu.au/courses/2019/courses/BEDPF
Bachelor of Education (Secondary Mathematics),,,,University of New England,https://my.une.edu.au/courses/2019/courses/BEDSMT
Bachelor of Education (Secondary Science),,,,University of New England,https://my.une.edu.au/courses/2019/courses/BEDSSC
Bachelor of Environmental Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BENSC
Bachelor of Exercise and Sports Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BEXSS
Bachelor of Historical Inquiry and Practice,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BHIP
Bachelor of International Studies,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BIS
Bachelor of Languages and International Business,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BLIB
Bachelor of Laws (4 Years),,,,University of New England,https://my.une.edu.au/courses/2019/courses/BLAW01
Bachelor of Media and Communications,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BMC
Bachelor of Music,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BMUS
Bachelor of Organisational Leadership,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BORGL
Bachelor of Psychological Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BPSYSC
Bachelor of Rural Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BRURSC
Bachelor of Science/Bachelor of Laws,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BSCLAW
Bachelor of Social Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BSOCSC
Bachelor of Special and Inclusive Education (Primary),,,,University of New England,https://my.une.edu.au/courses/2019/courses/BSIEP
Bachelor of Theatre and Performance,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BTHP
Bachelor of Urban and Regional Planning,,,,University of New England,https://my.une.edu.au/courses/2019/courses/BURP
Diploma in Agriculture,,,,University of New England,https://my.une.edu.au/courses/2019/courses/DAGR
Diploma in Business,,,,University of New England,https://my.une.edu.au/courses/2019/courses/DBUS
Diploma in Educational Studies,,,,University of New England,https://my.une.edu.au/courses/2019/courses/DEDS
Diploma in Modern Languages,,,,University of New England,https://my.une.edu.au/courses/2019/courses/DMLANG
Diploma in Music Technology,,,,University of New England,https://my.une.edu.au/courses/2019/courses/DMUTEC
Diploma in Professional Communication,,,,University of New England,https://my.une.edu.au/courses/2019/courses/DPCOM
Diploma in Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/DSCNCE
Bachelor of Agribusiness with Honours,,,,University of New England,https://my.une.edu.au/courses/2019/courses/HBAGB
Bachelor of Clinical Exercise Physiology with Honours,,,,University of New England,https://my.une.edu.au/courses/2019/courses/HBCEP
Bachelor of Criminology with Honours,,,,University of New England,https://my.une.edu.au/courses/2019/courses/HBCRIM
Bachelor of Exercise and Sports Science with Honours,,,,University of New England,https://my.une.edu.au/courses/2019/courses/HBEXSS
Bachelor of Media and Communications with Honours,,,,University of New England,https://my.une.edu.au/courses/2019/courses/HBMC
Bachelor of Music with Honours,,,,University of New England,https://my.une.edu.au/courses/2019/courses/HBMUS
Bachelor of Science with Honours,,,,University of New England,https://my.une.edu.au/courses/2019/courses/HBSC
Graduate Certificate in Accounting,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCACC
Graduate Certificate in Agriculture,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCAGR
Graduate Certificate in Applied Leadership in Positive Education,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCALPE
Graduate Certificate in Arts,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCA
Graduate Certificate in Data Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCDSC
Graduate Certificate in Education Studies,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCES
Graduate Certificate in Environmental Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCENSC
Graduate Certificate in Health Management,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCHM
Graduate Certificate in Human Resource Management,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCHRM
Graduate Certificate in Management,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCMGT
Graduate Certificate in NDIS Business Development,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCNDIS
Graduate Certificate in Professional Practice,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCPRP
Graduate Certificate in Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GCSC
Graduate Diploma in Applied Linguistics,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GDAPL
Graduate Diploma in Data Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GDDSC
Graduate Diploma in Economics,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GDEC
Graduate Diploma in Financial Planning,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GDFP
Graduate Diploma in Information Technology,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GDIT
Graduate Diploma in Management,,,,University of New England,https://my.une.edu.au/courses/2019/courses/GDMGT
Advanced Diploma in Arts,,,,University of New England,https://my.une.edu.au/courses/2019/courses/ADDA
"Advanced Diploma in Local, Family and Applied History",,,,University of New England,https://my.une.edu.au/courses/2019/courses/ADLFAH
Advanced Diploma in Science,,,,University of New England,https://my.une.edu.au/courses/2019/courses/ADSC
