Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Accounting and Financial Management 1A,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT1501/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Accounting and Financial Management 1B,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT1511/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Industry Placement 1,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT2101/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Introduction to Accounting Research,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT2507/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Management Accounting 1,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT2522/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Corporate Financial Reporting and Analysis,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT2542/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Industry Placement 2,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT3202/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Industry Placement 3,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT3303/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Issues in Financial Reporting and Analysis,Undergraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACCT3563/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Financial Literacy for Business Decisions,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5906/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
International Financial Statement Analysis,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5907/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Auditing and Assurance Services,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5908/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Current Developments in Auditing Research,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5909/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Business Analysis and Valuation,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5910/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Enterprise Strategy for Management Accountants,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5914/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Business Risk Management,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5919/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Managing Intangible Resources,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5920/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
E-Business: Strategy and Processes,Postgraduate,Accounting,,University of New South Wales,"https://www.handbook.unsw.edu.au/postgraduate/courses/2019/ACCT5922/
?browseBySubjectArea=b4cecfec4fcb5b00eeb3eb4f0310c7eb&"
Introduction to Actuarial Studies,Undergraduate,Actuarial Studies,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACTL1101/
?browseBySubjectArea=7cce03204f0f5b00eeb3eb4f0310c709&"
Industrial Training 1 (Co-op),Undergraduate,Actuarial Studies,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACTL2100/
?browseBySubjectArea=7cce03204f0f5b00eeb3eb4f0310c709&"
Industry Placement 1,Undergraduate,Actuarial Studies,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACTL2101/
?browseBySubjectArea=7cce03204f0f5b00eeb3eb4f0310c709&"
Foundations of Actuarial Models,Undergraduate,Actuarial Studies,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACTL2102/
?browseBySubjectArea=7cce03204f0f5b00eeb3eb4f0310c709&"
Financial Mathematics for Actuaries,Undergraduate,Actuarial Studies,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACTL2111/
?browseBySubjectArea=7cce03204f0f5b00eeb3eb4f0310c709&"
Probability and Mathematical Statistics,Undergraduate,Actuarial Studies,,University of New South Wales,"https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ACTL2131/
?browseBySubjectArea=7cce03204f0f5b00eeb3eb4f0310c709&"
