Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Aboriginal Studies (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-aboriginal-studies-honours
Bachelor of Arts,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-arts
Bachelor of Arts (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-arts-honours
Bachelor of Arts / Bachelor of Innovation and Entrepreneurship,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-arts-innovation-and-entrepreneurship
Bachelor of Arts / Bachelor of Laws (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-arts-laws-honours
Bachelor of Arts / Bachelor of Science,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-arts-science
Graduate Certificate in Applied Finance,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/graduate-certificate-applied-finance
Graduate Certificate in Applied Linguistics,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/graduate-certificate-applied-linguistics
Master of Applied Finance,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-applied-finance
Master of Applied Linguistics,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-applied-linguistics
Master of Applied Management (Nursing),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-applied-management-nursing
Master of Architecture,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-architecture
Master of Philosophy (Aboriginal Health Studies),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-aboriginal-health-studies
Master of Philosophy (Aboriginal Studies),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-aboriginal-studies
Master of Philosophy (Accounting and Finance),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-accounting-and-finance
Master of Philosophy (Anatomical Pathology),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-anatomical-pathology
Master of Philosophy (Anatomy),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-anatomy
Master of Philosophy (Architecture),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-architecture
PhD (Aboriginal Health Studies),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-aboriginal-health-studies
PhD (Aboriginal Studies),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-aboriginal-studies
PhD (Accounting and Finance),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-accounting-and-finance
PhD (Anatomical Pathology),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-anatomical-pathology
PhD (Anatomy),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-anatomy
PhD (Architecture),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-architecture
Bachelor of Aboriginal Professional Practice (pre 2019),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-aboriginal-professional-practice-pre-2019
Bachelor of Aboriginal Professional Practice / Bachelor of Laws (Honours) (pre 2019),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-aboriginal-professional-practice-laws-honours-pre-2019
Bachelor of Arts (pre 2018),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-arts-pre-2018
Bachelor of Arts / Bachelor of Laws (Honours) (pre 2018),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-arts-laws-honours-pre-2018
Bachelor of Arts / Bachelor of Laws (pre 2014),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-arts-laws-pre-2014
Bachelor of Arts / Bachelor of Science (pre 2019),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-arts-science-pre-2019
Graduate Certificate in Aviation Management,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/graduate-certificate-in-aviation-management
Master of Applied Finance (pre 2015),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-applied-finance-pre-2015
Master of Applied Linguistics (Semester 1 2015),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-applied-linguistics-semester-1-2015
Master of Aviation Management,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-aviation-management
Master of Aviation Management (pre 2015),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-aviation-management-pre-2015
Bachelor of Biomedical Science,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-biomedical-science
Bachelor of Biomedical Science (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-biomedical-science-honours
Bachelor of Biotechnology,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-biotechnology
Bachelor of Biotechnology (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-biotechnology-honours
Bachelor of Business,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-business
Bachelor of Business (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-business-honours
Bachelor of Business / Bachelor of Commerce,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-business-commerce
Bachelor of Business / Bachelor of Innovation and Entrepreneurship,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-business-innovation-and-entrepreneurship
Bachelor of Business / Bachelor of Laws (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-business-laws-honours
Graduate Certificate in Business Administration,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/graduate-certificate-business-administration
Master of Bio-Innovation and Design,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-bio-innovation-design
Master of Business Administration (MBA),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-business-administration-mba
Master of Business Administration (MBA) (Global),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-business-administration-mba-global
Master of Business Administration / Master of Applied Finance,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-business-administration-applied-finance
Master of Business Administration / Master of Human Resource Management,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-business-administration-human-resource-management
Master of Business Administration / Master of International Business,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-business-administration-international-business
Master of Business Administration / Master of Marketing,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-business-administration-marketing
Master of Business Psychology,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-business-psychology
Master of Business Research,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/master-business-research
Master of Philosophy (Behavioural Science in Relation to Medicine),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-behavioural-science-in-relation-to-medicine
Master of Philosophy (Biological Sciences),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-biological-sciences
Master of Philosophy (Building),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/master-of-philosophy-building
PhD (Behavioural Science in Relation to Medicine),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-behavioural-science-in-relation-to-medicine
PhD (Biological Sciences),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-biological-sciences
PhD (Building),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/research/phd-building
Graduate Certificate in Business Psychology (Exit Award),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/exit-award/graduate-certificate-in-business-psychology-exit-award
Bachelor of Biomedical Science (pre 2017),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-biomedical-science-pre-2017
Bachelor of Business (pre 2016),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-business-pre-2016
Bachelor of Business / Bachelor of Commerce (pre 2016),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-business-commerce-pre-2016
Bachelor of Business / Bachelor of Laws (Honours) (pre 2016),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/bachelor-of-business-laws-honours-pre-2016
Doctor of Business Administration (pre 2014),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/doctor-of-business-administration-pre-2014
Graduate Certificate in Business Administration (pre 2018),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/graduate-certificate-in-business-administration-pre-2018
Graduate Certificate in Business Research,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/graduate-certificate-in-business-research
Master of Business Administration (pre 2015),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-business-administration-pre-2015
Master of Business Administration (pre 2018),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-business-administration-pre-2018
Master of Business Administration / Master of Applied Finance (pre 2015),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-business-administration-applied-finance-pre-2015
Master of Business Administration / Master of Applied Finance (pre 2018),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-business-administration-master-of-applied-finance-pre-2018
Master of Business Administration / Master of Human Resource Management (pre 2018),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-business-administration-master-of-human-resource-management-pre-2018
Master of Business Administration / Master of International Business (pre 2018),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-business-administration-master-of-international-business-pre-2018
Master of Business Administration / Master of Marketing (pre 2015),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-business-administration-marketing-pre-2015
Master of Business Administration / Master of Marketing (pre 2018),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/teach-out/master-of-business-administration-master-of-marketing-pre-2018
Bachelor of  Commerce (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-commerce-honours
Bachelor of Commerce,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-commerce
Bachelor of Commerce / Bachelor of Innovation and Entrepreneurship,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-commerce-innovation-and-entrepreneurship
Bachelor of Commerce / Bachelor of Laws (Honours),,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-commerce-laws-honours
Bachelor of Communication,,,,University of Newcastle,https://www.newcastle.edu.au/degrees/bachelor-of-communication
