Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts,Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts
Bachelor of Arts (Major: Archaeology),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-archaeology
Bachelor of Arts (Major: Behavioural Science),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-behavioural-science
Bachelor of Behavioural Science,Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-behavioural-science
Bachelor of Arts (Second Major: Business Studies),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-business-studies
Bachelor of Arts (Major: English Literature),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-english-literature
Bachelor of Arts (Major: Film &amp; Screen Production),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-film-and-screen-production
Bachelor of Arts (Major: History),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-history
Bachelor of Arts (Major: Journalism),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-journalism
Bachelor of Arts (Second Major: Marketing &amp; Public Relations),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-marketing-and-public-relations
Bachelor of Arts (Major: Philosophy),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-philosophy
Bachelor of Arts (Major: Politics &amp; International Relations),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-politics-and-international-relations
Bachelor of Arts (Politics &amp; Journalism),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-politics-and-journalism
Bachelor of Arts (Major: Social Justice),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-social-justice
Bachelor of Arts (Major: Theatre Studies),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-theatre-studies
Bachelor of Arts (Major: Theology),Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-theology
Bachelor of Counselling,Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-counselling
Bachelor of Communications &amp; Media,Undergraduate,,,University of Notre Dame,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-communications-and-media
