Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Advanced Business (Honours),undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Advanced-Business-Honours-2424
Advanced Finance and Economics (Honours),undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Advanced-Finance-and-Economics-Honours-2402
Advanced Humanities (Honours),undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Advanced-Humanities-Honours-2414
Advanced Science (Honours),undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Advanced-Science-Honours-2341
Agribusiness,undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Agribusiness-2007
Agribusiness/Equine Science,undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelors-of-Agribusiness-Equine-Science-2389
Agribusiness/Sustainable Agriculture,undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelors-of-Agribusiness-Sustainable-Agriculture-2390
Agribusiness/Veterinary Technology,undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelors-of-Agribusiness-Veterinary-Technology-2391
Agribusiness/Wildlife Science,undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelors-of-Agribusiness-Wildlife-Science-2392
Agricultural Science (Honours),undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Agricultural-Science-Honours-2352
Architectural Design,undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Architectural-Design-2293
Arts,undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Diploma-in-Arts-2320
Arts,undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Arts-2000
Arts (Honours),undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelor-of-Arts-Honours-2052
Arts/Education (Secondary),undergraduate,,,University of Queensland,https://future-students.uq.edu.au/study/program/Bachelors-of-Arts-Education-Secondary-2066
