Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
"Bachelor of Business and Commerce
Major Accounting",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/accounting
"Bachelor of Business and Commerce
Major Accounting (Extended)",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/accounting-extended
"Bachelor of Business and Commerce
Major Business Administration",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/business-administration
"Bachelor of Engineering (Honours)
Bachelor of Business and Commerce",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-engineering-honours-bachelor-of-business-and-commerce
Certificate of University Studies,,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/certificate-of-university-studies
"Bachelor of Business and Commerce
Major Information Technology Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/information-technology-management
"Bachelor of Information Technology 
Major Information Technology Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-information-technology/information-technology-management
"Bachelor of Business and Commerce
Major Marketing",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/marketing
"Bachelor of Business and Commerce
Major Marketing & Hospitality Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/marketing-hospitality-management
"Bachelor of Communication and Media
Major Advertising",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-communication-and-media/advertising
"Bachelor of Communication and Media
Major Marketing",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-communication-and-media/marketing
Bachelor of Aviation,,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-aviation
"Bachelor of Aviation
Major Aviation Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-aviation/aviation-management
"Bachelor of Aviation
Major Flight Operations",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-aviation/flight-operations
"Bachelor of Business and Commerce
Major Aviation Management & Safety",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/aviation-management-safety
"Bachelor of Business and Commerce
Major Business Economics",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/business-economics
Bachelor of Arts and Bachelor of Business and Commerce,,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-arts-and-bachelor-of-business-and-commerce
"Bachelor of Business and Commerce and 
Bachelor of Information Technology",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce-and-bachelor-of-information-technology
"Bachelor of Business and Commerce
and Bachelor of Laws",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce-and-bachelor-of-laws
"Bachelor of Business and Commerce
and Bachelor of Science",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce-and-bachelor-of-science
"Bachelor of Business and Commerce
Major Human Resource Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/human-resource-management
"Bachelor of Human Services 
Major Human Resource Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-human-services/human-resource-management
"Bachelor of Human Services (Honours)
Major Human Resource Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-human-services-honours/human-resource-management
"Bachelor of Business and Commerce
Major International Business",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/international-business
"Bachelor of Business and Commerce
Major Sustainable Business",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/sustainable-business
Associate Degree of Business and Commerce,,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/associate-degree-of-business-and-commerce
Bachelor of Business and Commerce,,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce
"Bachelor of Business and Commerce
Major General Commerce",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/general-commerce
"Diploma of University Studies
Major Business & Commerce",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/diploma-of-university-studies/business-commerce
"Bachelor of Business and Commerce
Major Business Law",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/business-law
"Bachelor of Business and Commerce
Major Finance",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/finance
"Bachelor of Information Technology 
Major Information Systems Development",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-information-technology/information-systems-development
"Bachelor of Business and Commerce
Major Management & Leadership",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/management-leadership
"Bachelor of Business and Commerce
Major Tourism & Events Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/tourism-events-management
"Bachelor of Business and Commerce
Major Tourism Management",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/bachelor-of-business-and-commerce/tourism-management
"Master of Business Administration and 
Master of Professional Accounting",,Business & Commerce,,University of Southern Queensland,https://www.usq.edu.au/study/degrees/master-of-business-administration-and-master-of-professional-accounting
