Faculty,Area of Study,Area of Study Code,Level,Offered,Unit Code,Unit Name,More Info,Notes
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 2,ARCH9028,Conservation Methods and Practices,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9028.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 2,ARCH9063,Urban Morphology,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9063.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 1,ARCH9074,Principles of Heritage Conservation,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9074.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 1,ARCH9075,New Design in Old Settings,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9075.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 2,ARCH9080,"Urban Ecology, Design and Planning",https://sydney.edu.au/courses/units-of-study/2019/arch/arch9080.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 2,ARCH9081,Heritage Law and Policy,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9081.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Both semesters,ARCH9100,Introduction to Urban Design,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9100.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 1,ARCH9104,Architecture and Diagrams,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9104.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Both semesters,ARCH9106,Architectural Investigations: Models,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9106.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 1,ARCH9109,Advanced Fabrication,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9109.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Architectural and Design Science (PG),ARCH,PG,Semester 2,ARCH9113,Advanced Topics in Australian Architecture,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9113.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (UG),DESA,PG,Both semesters,DESA9008,Object Design (Material and Light),https://sydney.edu.au/courses/units-of-study/2019/desa/desa9008.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (PG),DESA,PG,Both semesters,DESA9012,2D Print Processes in Design,https://sydney.edu.au/courses/units-of-study/2019/desa/desa9012.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (PG),DESA,PG,Both semesters,DESA9013,Arch + Design Material Processes (Casting),https://sydney.edu.au/courses/units-of-study/2019/desa/desa9013.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (PG),DESA,PG,Both semesters,DESA9014,Arch + Design Material Processes (Ceramics),https://sydney.edu.au/courses/units-of-study/2019/desa/desa9014.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (PG),DESC,PG,Semester 1,DESC9011,Audio Production,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9011.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (PG),DESC,PG,Semester 1,DESC9014,Building Construction Technology,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9014.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (PG),DESC,PG,Semester 1,DESC9015,Building Energy Analysis,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9015.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (Postgraduate),DESC,PG,Semester 1,DESC9048,Operational Facility Management,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9048.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (Postgraduate),DESC,PG,Semester 2,DESC9074,Project Management,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9074.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
Architecture and Design,Design Science (PG),DESC,PG,Semester 2,DESC9090,Audio Systems and Measurement,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9090.html,Must be Architecture major; portfolio may be required for consideration; Postgraduate students only; Enrolment quota (limited places available)
