Faculty,Area of Study,Area of Study Code,Level,Offered,Unit Code,Unit Name,More Info,Notes
Architecture and Design,Design and Planning,BADP,UG,Semester 2,BADP1001,Empirical Thinking,https://sydney.edu.au/courses/units-of-study/2019/badp/badp1001.html,Enrolment quota (limited places available)
Architecture and Design,Design and Planning,BADP,UG,Semester 2,BADP2001,Algorithmic Architecture,https://sydney.edu.au/courses/units-of-study/2019/badp/badp2001.html,Enrolment quota (limited places available)
Architecture and Design,Design and Planning,BADP,UG,Semester 1,BADP2002,City Form and Development,https://sydney.edu.au/courses/units-of-study/2019/badp/badp2002.html,Enrolment quota (limited places available)
Architecture and Design,Design and Planning,BADP,UG,Semester 1,BADP2003,Light and Sound,https://sydney.edu.au/courses/units-of-study/2019/badp/badp2003.html,Enrolment quota (limited places available)
Architecture and Design,Design and Planning,BADP,UG,Semester 2,BADP2004,Building Technologies,https://sydney.edu.au/courses/units-of-study/2019/badp/badp2004.html,Enrolment quota (limited places available)
Architecture and Design,Design and Planning,BADP,UG,Semester 1,BADP3001,Designing for Environmental Quality,https://sydney.edu.au/courses/units-of-study/2019/badp/badp3001.html,Enrolment quota (limited places available)
Architecture and Design,Design and Planning,BADP,UG,Semester 2,BADP3002,Property and the Built Environment,https://sydney.edu.au/courses/units-of-study/2019/badp/badp3002.html,Enrolment quota (limited places available)
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 2,BAEN1001,Design in Architecture,https://sydney.edu.au/courses/units-of-study/2019/baen/baen1001.html,Enrolment quota (limited places available)
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 1,BAEN2001,Design Integration Lab: Materials,https://sydney.edu.au/courses/units-of-study/2019/baen/baen2001.html,Must be Architecture major; portfolio required for consideration; Enrolment quota (limited places available)
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 2,BAEN2002,Design Integration Lab: Energy,https://sydney.edu.au/courses/units-of-study/2019/baen/baen2002.html,Must be Architecture major; portfolio required for consideration; Enrolment quota (limited places available)
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 1,BAEN3001,Design Integration Lab: Urban,https://sydney.edu.au/courses/units-of-study/2019/baen/baen3001.html,Must be Architecture major; portfolio required for consideration; Enrolment quota (limited places available)
Architecture and Design,Architecture and Environment,BAEN,UG,Semester 2,BAEN3002,Design Integration Lab: Capstone,https://sydney.edu.au/courses/units-of-study/2019/baen/baen3002.html,Must be Architecture major; portfolio required for consideration; Enrolment quota (limited places available)
Architecture and Design,Architecture Studio,BDES,UG,Semester 1,BDES1011,Architectural History/Theory 1,https://sydney.edu.au/courses/units-of-study/2019/bdes/bdes1011.html,Must be Architecture major; portfolio required for consideration; Enrolment quota (limited places available)
Architecture and Design,Architecture Studio,BDES,UG,Semester 2,BDES1012,Architectural Communications 1,https://sydney.edu.au/courses/units-of-study/2019/bdes/bdes1012.html,Must be Architecture major; portfolio required for consideration; Enrolment quota (limited places available)
