Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Conservation Methods and Practices,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9028.html
Urban Morphology,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9063.html
Principles of Heritage Conservation,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9074.html
New Design in Old Settings,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9075.html
"Urban Ecology, Design and Planning",Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9080.html
Heritage Law and Policy,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9081.html
Introduction to Urban Design,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9100.html
Architecture and Diagrams,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9104.html
Architectural Investigations: Models,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9106.html
Advanced Fabrication,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9109.html
Advanced Topics in Australian Architecture,Postgraduate,Architectural and Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/arch/arch9113.html
Object Design (Material and Light),Postgraduate,Design Science (UG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desa/desa9008.html
2D Print Processes in Design,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desa/desa9012.html
Arch + Design Material Processes (Casting),Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desa/desa9013.html
Arch + Design Material Processes (Ceramics),Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desa/desa9014.html
Audio Production,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9011.html
Building Construction Technology,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9014.html
Building Energy Analysis,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9015.html
Operational Facility Management,Postgraduate,Design Science (Postgraduate),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9048.html
Project Management,Postgraduate,Design Science (Postgraduate),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9074.html
Audio Systems and Measurement,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9090.html
Digital Audio Systems,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9115.html
Sound Design for New Media,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9117.html
Architectural Acoustics Practice,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9133.html
Audio and Acoustics Seminar,Postgraduate,Design Science (Postgraduate),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9134.html
Spatial Audio,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9137.html
Architectural and Audio Acoustics,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9138.html
Sustainable Building Design Principles,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9147.html
Sustainable Building Design Practice,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9148.html
Practice of Lighting Design,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9152.html
Lighting Design Software,Postgraduate,Design Science (PG),,University of Sydney,https://sydney.edu.au/courses/units-of-study/2019/desc/desc9154.html
