Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Advanced Diploma of Applied Science (Marine Electrical Engineering),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/22T
Advanced Diploma of Applied Science (Marine Engineering),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/22R
Advanced Diploma of Applied Science (Nautical Science),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/22Q
Associate Degree (Education Support),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/42A
Associate Degree in Agribusiness,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/Z2A
Associate Degree in Applied Business,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/Z2C
Associate Degree in Applied Business (Specialisation),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/Z2D
Associate Degree in Applied Design,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/Z2E
Associate Degree in Applied Science,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/Z2J
Associate Degree in Applied Technologies,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/Z2F
Associate Degree in Arts,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/R2B
Bachelor of Adult and Applied Learning,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/A3E
Bachelor of Adult and Applied Learning with Honours,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/A4E
Bachelor of Advanced Paramedicine (Professional Honours) (Specialisation),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/M4T
Bachelor of Agricultural Science,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/73M
Bachelor of Agricultural Science with Honours,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/S4A
Bachelor of Agriculture with Honours,Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/S4X
Bachelor of Applied Science (Agriculture and Business),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/P3K
Bachelor of Applied Science (Environmental Science),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/73U
Bachelor of Applied Science (Marine Electrical Engineering),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/23T
Bachelor of Applied Science (Marine Engineering),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/23R
Bachelor of Applied Science (Maritime Technology Management),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/J3P
Bachelor of Applied Science (Maritime Technology Management) (Honours),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/24R
Bachelor of Applied Science (Nautical Science),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/23Q
Bachelor of Applied Science (Professional Honours in Environmental Management),Undergraduate,,,University of Tasmania,http://utas.edu.au/courses/K4E
