Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Master of Data Science and Innovation,,Analytics and Data Science,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/master-data-science-and-innovation
Doctor of Philosophy,,Analytics and Data Science,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/doctor-philosophy-18
Bachelor of Accounting,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-accounting
Bachelor of Business,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-business-0
Bachelor of Business,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-business
Bachelor of Business Administration (Indigenous),,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-business-administration-indigenous
Bachelor of Economics,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-economics
Bachelor of Management,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-management
Bachelor of Biotechnology Bachelor of Business,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-biotechnology-bachelor-business
Bachelor of Business Bachelor of Arts in International Studies,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-business-bachelor-arts-international-studies
Bachelor of Business Bachelor of Creative Intelligence and Innovation,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-business-bachelor-creative-intelligence-and-innovation
Bachelor of Business Bachelor of Laws,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-business-bachelor-laws
Bachelor of Business Bachelor of Science in Information Technology,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-business-bachelor-science-information-technology
Bachelor of Economics Bachelor of Laws,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-economics-bachelor-laws
Bachelor of Management Bachelor of Arts in International Studies,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-management-bachelor-arts-international-studies
Bachelor of Management Bachelor of Creative Intelligence and Innovation,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-management-bachelor-creative-intelligence-and-innovation
Bachelor of Medical Science Bachelor of Business,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-medical-science-bachelor-business
Bachelor of Science Bachelor of Business,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-science-bachelor-business
Bachelor of Accounting (Honours),,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-accounting-honours
Bachelor of Business (Honours),,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-business-honours
Bachelor of Management (Honours),,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-management-honours
Bachelor of Engineering (Honours) Bachelor of Business,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-business
Bachelor of Engineering (Honours) Bachelor of Business Diploma in Professional Engineering Practice,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/bachelor-engineering-honours-bachelor-business-diploma-professional
Master of Business Administration in Entrepreneurship,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/master-business-administration-entrepreneurship
Graduate Certificate in Commercialisation,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/graduate-certificate-commercialisation
Graduate Certificate in Entrepreneurship,,Business,,University of Technology Sydney,https://www.uts.edu.au/future-students/find-a-course/graduate-certificate-entrepreneurship
