Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Diploma in Arts (DU001),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=h65468
Diploma in Modern Languages (10300),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=h17074
Diploma in Design (DU003),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=h65469
Diploma in Science (DU004),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=h65470
Doctor of Podiatric Medicine (90870),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c1
Master of Urban Design (coursework and dissertation) (25530),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c2
Graduate Diploma in Urban Design (25310),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c3
Graduate Certificate in Urban Design (25210),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c4
Master of Landscape Architecture (coursework or coursework and dissertation) (25550),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c5
Master of Architecture (25520),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c6
Master of Professional Engineering Preliminary (coursework) (60450),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c11
Juris Doctor (20820),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c12
Master of Physics (coursework and dissertation) (53560),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c14
Master of Teaching (coursework) (31520),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c17
Graduate Certificate in Emergency Medicine Research (90240),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c18
Doctor of Dental Medicine (90860),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c19
Graduate Certificate in Fieldwork Practice (12270),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c1435
Graduate Certificate in Heritage Studies (12230),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c412
Graduate Certificate in Business Information and Logistics Management (41270),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c444
Master of Biotechnology (coursework or coursework and dissertation) (71580),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c389
Master of Geographic Information Science (coursework or coursework and dissertation) (71570),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c390
Master of Biological Arts (coursework and dissertation) (71530),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c393
Master of Information Technology (coursework) (62510),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c403
"Graduate Diploma in Law, Policy and Government (21340)",,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c407
Graduate Diploma in Educational Studies (non-articulated) (30330),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c271
Doctor of Philosophy and Master of Clinical Psychology (01870/54570),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c233
Graduate Diploma in International Relations (11380),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c251
Master of International Commercial Law (coursework) and Master of Commerce (coursework) (43550),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=cp4
Graduate Certificate in International Relations (12280),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c245
Doctor of Philosophy and Master of Clinical Audiology (00840),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c235
Doctor of Philosophy and Master of Infectious Diseases (01810/52520),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c239
Master of Engineering in Oil and Gas (coursework) (62520),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c414
Graduate Diploma in Heritage Studies (12330),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=c413
Doctor of Commerce (40910),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=cf599
Doctor of Engineering (60910),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=cf602
Doctor of Science in Agriculture (70910),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=cf608
Doctor of Letters (10910),,,,University of Western Australia,http://handbooks.uwa.edu.au/coursedetails?id=cf604
