Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts,,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-of-arts
Bachelor of Arts (Archaeology & Ancient History),,Arts & Humanities,,University of Wollongong,https://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-archaeology-ancient-history
Bachelor of Arts | Bachelor of Communication & Media,,Arts & Humanities,,University of Wollongong,https://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-bachelor-communication-media
Bachelor of Arts | Bachelor of Communication (Dean's Scholar) ,,Arts & Humanities,,University of Wollongong,https://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-bachelor-communication-media-deans-scholar
"Bachelor of Arts (Community, Culture & Environment)",,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-community-culture-environment
Bachelor of Arts (Creative Writing),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-creative-writing
Bachelor of Arts (Dean's Scholar),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-deans-scholar
Bachelor of Arts (English Literatures),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-english-literatures
Bachelor of Arts (Environmental Humanities),,Arts & Humanities,,University of Wollongong,https://coursefinder.uow.edu.au/information/index.html?course=bachelor-of-arts-environmental-humanities
Bachelor of Arts (French),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-french
Bachelor of Arts (History),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-history
Bachelor of Arts (Honours),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-honours
Bachelor of Arts (Indigenous Studies),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-indigenous-studies
Bachelor of Arts (International Relations),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-international-relations
Bachelor of Arts (Italian),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-italian
Bachelor of Arts (Japanese),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-japanese
Bachelor of Arts (Legal Studies),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-legal-studies
Bachelor of Arts (Mandarin for Character Background Students),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-chinese-character-background
Bachelor of Arts (Mandarin for Non-Chinese Background Students),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-mandarin-non-chinese-background
Bachelor of Arts (Philosophy),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-philosophy
Bachelor of Arts (Photography),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-photography
Bachelor of Arts (Politics),,Arts & Humanities,,University of Wollongong,http://coursefinder.uow.edu.au/information/index.html?course=bachelor-arts-politics
