Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts,Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts
Bachelor of International Studies,Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-international-studies
Bachelor of Social Science,Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-social-science
Bachelor of Arts (Honours),Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts-honours
Bachelor of Social Science (Honours),Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-social-science-honours
Bachelor of Arts / Bachelor of Business,Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts-bachelor-of-business
Bachelor of Arts / Bachelor of Science,Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts-bachelor-of-science
Bachelor of Education (Secondary) / Bachelor of Arts,Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-education-secondary-bachelor-of-arts
Bachelor of Laws / Bachelor of Arts,Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-laws-bachelor-of-arts
Bachelor of Laws / Bachelor of Social Science,Undergraduate,"Arts, languages and international studies",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-laws-bachelor-of-social-science
Bachelor of Business,Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-business
Bachelor of Business (Human Resource Management),Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-business-human-resource-management
Bachelor of Business (International Business),Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-business-international-business
Bachelor of Business (Management),Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-business-marketing
Bachelor of Business (Marketing),Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-business-marketing
"Bachelor of Business (Tourism, Leisure and Event Management)",Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-business-tourism-leisure-and-event-management
Bachelor of Commerce (Accounting),Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-commerce-accounting
Bachelor of Information and Communications Technology,Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-information-and-communications-technology
Bachelor of Arts / Bachelor of Business,Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts-bachelor-of-business
Bachelor of Business / Bachelor of Commerce (Accounting),Undergraduate,"Business, IT, tourism and events",,University of the Sunshine Coast,https://www.usc.edu.au/learn/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-business-bachelor-of-commerce-accounting
