Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Certificate IV in Accounting and Bookkeeping,,,,Victoria University,https://www.vu.edu.au/courses/FNS40217
Diploma of Accounting,,,,Victoria University,https://www.vu.edu.au/courses/FNS50215
Certificate IV in Ageing Support,,,,Victoria University,https://www.vu.edu.au/courses/CHC43015
Certificate IV in Alcohol and Other Drugs,,,,Victoria University,https://www.vu.edu.au/courses/CHC43215
Alcohol and Other Drugs Co-existing Needs Skill Set,,,,Victoria University,https://www.vu.edu.au/courses/CHCSS00092
Alcohol and Other Drugs Skill Set,,,,Victoria University,https://www.vu.edu.au/courses/CHCSS00093
Certificate III in Allied Health Assistance,,,,Victoria University,https://www.vu.edu.au/courses/HLT33015
Master of Applied Information Technology,,,,Victoria University,https://www.vu.edu.au/courses/NMIT
Victorian Certificate of Applied Learning (Intermediate),,,,Victoria University,https://www.vu.edu.au/courses/VCALINT001
Victorian Certificate of Applied Learning (Senior),,,,Victoria University,https://www.vu.edu.au/courses/VCALSEN001
Master of Applied Psychology (Clinical Psychology),,,,Victoria University,https://www.vu.edu.au/courses/AMAL
Master of Applied Psychology (Community Psychology),,,,Victoria University,https://www.vu.edu.au/courses/AMAC
Master of Applied Science,,,,Victoria University,https://www.vu.edu.au/courses/HREH
Bachelor of Arts,,,,Victoria University,https://www.vu.edu.au/courses/ABAB
Master of Arts,,,,Victoria University,https://www.vu.edu.au/courses/HRAT
Master of Arts (Research),,,,Victoria University,https://www.vu.edu.au/courses/ARXF
Master of Arts (Research),,,,Victoria University,https://www.vu.edu.au/courses/ARXH
Master of Arts (Research),,,,Victoria University,https://www.vu.edu.au/courses/ARXL
Certificate III in Barbering,,,,Victoria University,https://www.vu.edu.au/courses/SHB30516
BAS Agent Registration Skill Set,,,,Victoria University,https://www.vu.edu.au/courses/FNSSS00004
Basic Hairstyling Techniques for Make-Up Artists,,,,Victoria University,https://www.vu.edu.au/courses/TNBHA
Basic Scaffolding,,,,Victoria University,https://www.vu.edu.au/courses/TNSCF
Certificate III in Beauty Services,,,,Victoria University,https://www.vu.edu.au/courses/SHB30115
Certificate IV in Beauty Therapy,,,,Victoria University,https://www.vu.edu.au/courses/SHB40115
Diploma of Beauty Therapy,,,,Victoria University,https://www.vu.edu.au/courses/SHB50115
Bachelor of Biomedical and Exercise Science,,,,Victoria University,https://www.vu.edu.au/courses/HBES
Bachelor of Biomedical Science,,,,Victoria University,https://www.vu.edu.au/courses/HBBS
Bachelor of Biomedicine,,,,Victoria University,https://www.vu.edu.au/courses/HBBM
Certificate III in Bricklaying/Blocklaying,,,,Victoria University,https://www.vu.edu.au/courses/CPC30111
Certificate IV in Building and Construction (Building),,,,Victoria University,https://www.vu.edu.au/courses/CPC40110
