Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Arts (Dean's Scholars),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-arts-deans-scholars.html
Bachelor of Business (Advanced Business Leadership),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-business-advanced-business-leadership.html
Bachelor of Communication (Dean's Scholars),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-communication-deans-scholars.html
Bachelor of Computer Science (Advanced),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-computer-science-advanced.html
Bachelor of Design - Visual Communication (Dean's Scholars),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-design-visual-communication-deans-scholars.html
Bachelor of Engineering (Advanced) Honours,Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-engineering-advanced-honours.html
Bachelor of International Studies (Dean's Scholars),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-international-studies-deans-scholars.html
Bachelor of Music (Dean's Scholars),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-music-deans-scholars.html
Bachelor of Medical Science (Advanced),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-medical-science-advanced.html
Bachelor of Nursing (Advanced),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-nursing-advanced.html
Bachelor of Natural Science (Advanced),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-natural-science-advanced.html
Bachelor of Science (Advanced Science),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-science-advanced-science.html
Bachelor of Psychology (Honours),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-psychology-honours.html
Bachelor of Engineering Advanced (Honours),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-engineering-advanced-honours.html
Bachelor of Engineering (Honours),Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-engineering-honours.html
Bachelor of Engineering (Honours) - Civil,Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-engineering-honours-civil.html
Bachelor of Engineering (Honours) - Construction,Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-engineering-honours-construction.html
Bachelor of Engineering (Honours) - Electrical,Undergraduate,,,Western Sydney University,http://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-engineering-honours-electrical.html
