Course_Name,Link
Bachelor of Arts - Chinese Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140000&institutionid=142314&course=Bachelor-of-Arts---Chinese-Studies
Bachelor of Arts - Conflict Resolution,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140104&institutionid=142314&course=Bachelor-of-Arts---Conflict-Resolution
Bachelor of Arts - Creative Writing,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140025&institutionid=142314&course=Bachelor-of-Arts---Creative-Writing
Bachelor of Arts - Criminology,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140044&institutionid=142314&course=Bachelor-of-Arts---Criminology
Bachelor of Arts - Culinary Arts,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=54545064&institutionid=142314&course=Bachelor-of-Arts---Culinary-Arts
Bachelor of Arts - Economics,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57250738&institutionid=142314&course=Bachelor-of-Arts---Economics
Bachelor of Arts - English and New Media Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=53029198&institutionid=142314&course=Bachelor-of-Arts---English-and-New-Media-Studies
Bachelor of Arts - Event Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153341&institutionid=142314&course=Bachelor-of-Arts---Event-Management
Bachelor of Arts - International Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2139930&institutionid=142314&course=Bachelor-of-Arts---International-Studies
Bachelor of Arts - Interpreting,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140029&institutionid=142314&course=Bachelor-of-Arts---Interpreting
Bachelor of Arts - Japanese Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=53029260&institutionid=142314&course=Bachelor-of-Arts---Japanese-Studies
Bachelor of Arts - Psychology,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140064&institutionid=142314&course=Bachelor-of-Arts---Psychology
Bachelor of Arts - Social Sciences,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140100&institutionid=142314&course=Bachelor-of-Arts---Social-Sciences
Bachelor of Arts - Translation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57085380&institutionid=142314&course=Bachelor-of-Arts---Translation
Bachelor of Arts in Education,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56145314&institutionid=142314&course=Bachelor-of-Arts-in-Education
Bachelor of Business - Accounting Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2138721&institutionid=142314&course=Bachelor-of-Business---Accounting-Major
Bachelor of Business - Economics Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2139055&institutionid=142314&course=Bachelor-of-Business---Economics-Major
Bachelor of Business - Finance Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2139149&institutionid=142314&course=Bachelor-of-Business---Finance-Major
Bachelor of Business - Human Resource Management and Employment Relations Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2139160&institutionid=142314&course=Bachelor-of-Business---Human-Resource-Management-and-Employment-Relations-Major
Bachelor of Business - International Business and Strategy Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2139165&institutionid=142314&course=Bachelor-of-Business---International-Business-and-Strategy-Major
Bachelor of Business - Management Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2139169&institutionid=142314&course=Bachelor-of-Business---Management-Major
"Bachelor of Business - Marketing, Advertising, Retailing, Sales Major","https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56598634&institutionid=142314&course=Bachelor-of-Business---Marketing,-Advertising,-Retailing,-Sales-Major"
Bachelor of Communication Studies - Advertising Creativity Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140476&institutionid=142314&course=Bachelor-of-Communication-Studies---Advertising-Creativity-Major
Bachelor of Communication Studies - Creative Industries Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140528&institutionid=142314&course=Bachelor-of-Communication-Studies---Creative-Industries-Major
Bachelor of Communication Studies - Digital Media Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140535&institutionid=142314&course=Bachelor-of-Communication-Studies---Digital-Media-Major
Bachelor of Communication Studies - Journalism Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140536&institutionid=142314&course=Bachelor-of-Communication-Studies---Journalism-Major
Bachelor of Communication Studies - Public Relations Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140541&institutionid=142314&course=Bachelor-of-Communication-Studies---Public-Relations-Major
Bachelor of Communication Studies - Radio Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140554&institutionid=142314&course=Bachelor-of-Communication-Studies---Radio-Major
Bachelor of Communication Studies - Television and Screen Production Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140557&institutionid=142314&course=Bachelor-of-Communication-Studies---Television-and-Screen-Production-Major
Bachelor of Computer and Information Sciences - Analytics Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=55403892&institutionid=142314&course=Bachelor-of-Computer-and-Information-Sciences---Analytics-Major
Bachelor of Computer and Information Sciences - Computational Intelligence Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2144726&institutionid=142314&course=Bachelor-of-Computer-and-Information-Sciences---Computational-Intelligence-Major
Bachelor of Computer and Information Sciences - Computer Science Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=53025654&institutionid=142314&course=Bachelor-of-Computer-and-Information-Sciences---Computer-Science-Major
Bachelor of Computer and Information Sciences - IT Service Science Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2144723&institutionid=142314&course=Bachelor-of-Computer-and-Information-Sciences---IT-Service-Science-Major
Bachelor of Computer and Information Sciences - Networks and Security Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2144746&institutionid=142314&course=Bachelor-of-Computer-and-Information-Sciences---Networks-and-Security-Major
Bachelor of Computer and Information Sciences - Software Development Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2144749&institutionid=142314&course=Bachelor-of-Computer-and-Information-Sciences---Software-Development-Major
Bachelor of Creative Technologies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2146483&institutionid=142314&course=Bachelor-of-Creative-Technologies
Bachelor of Design - Communication Design Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=55340680&institutionid=142314&course=Bachelor-of-Design---Communication-Design-Major
Bachelor of Design - Digital Design Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57060292&institutionid=142314&course=Bachelor-of-Design---Digital-Design-Major
Bachelor of Design - Fashion Design Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57060294&institutionid=142314&course=Bachelor-of-Design---Fashion-Design-Major
Bachelor of Design - Industrial Design Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57060298&institutionid=142314&course=Bachelor-of-Design---Industrial-Design-Major
Bachelor of Design - Spatial Design Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57060302&institutionid=142314&course=Bachelor-of-Design---Spatial-Design-Major
Bachelor of Design - Textile Design Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57060304&institutionid=142314&course=Bachelor-of-Design---Textile-Design-Major
Bachelor of Education in Mainstream Early Childhood Teaching,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2146624&institutionid=142314&course=Bachelor-of-Education-in-Mainstream-Early-Childhood-Teaching
Bachelor of Education in Mainstream Primary Teaching,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57085540&institutionid=142314&course=Bachelor-of-Education-in-Mainstream-Primary-Teaching
Bachelor of Engineering (Honours) in Architectural Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=55696096&institutionid=142314&course=Bachelor-of-Engineering-(Honours)-in-Architectural-Engineering-Major
Bachelor of Engineering (Honours) in Construction Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=55696098&institutionid=142314&course=Bachelor-of-Engineering-(Honours)-in-Construction-Engineering-Major
Bachelor of Engineering (Honours) in Electrical and Electronic Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815644&institutionid=142314&course=Bachelor-of-Engineering-(Honours)-in-Electrical-and-Electronic-Engineering-Major
Bachelor of Engineering (Honours) in Mechanical Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815648&institutionid=142314&course=Bachelor-of-Engineering-(Honours)-in-Mechanical-Engineering-Major
Bachelor of Engineering (Honours) in Mechatronics Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815652&institutionid=142314&course=Bachelor-of-Engineering-(Honours)-in-Mechatronics-Engineering-Major
Bachelor of Engineering (Honours) in Software Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815656&institutionid=142314&course=Bachelor-of-Engineering-(Honours)-in-Software-Engineering-Major
Bachelor of Engineering Technology - Building Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56814846&institutionid=142314&course=Bachelor-of-Engineering-Technology---Building-Engineering-Major
Bachelor of Engineering Technology - Building Services Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56814856&institutionid=142314&course=Bachelor-of-Engineering-Technology---Building-Services-Engineering-Major
Bachelor of Engineering Technology - Computer and Mobile Systems Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150421&institutionid=142314&course=Bachelor-of-Engineering-Technology---Computer-and-Mobile-Systems-Engineering-Major
Bachelor of Engineering Technology - Electrical Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56814860&institutionid=142314&course=Bachelor-of-Engineering-Technology---Electrical-Engineering-Major
Bachelor of Engineering Technology - Electronic Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56814862&institutionid=142314&course=Bachelor-of-Engineering-Technology---Electronic-Engineering-Major
Bachelor of Engineering Technology - Mechanical Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56814864&institutionid=142314&course=Bachelor-of-Engineering-Technology---Mechanical-Engineering-Major
Bachelor of Engineering Technology - Network and Communication Engineering Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56814868&institutionid=142314&course=Bachelor-of-Engineering-Technology---Network-and-Communication-Engineering-Major
Bachelor of Health Science - Case Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56176486&institutionid=142314&course=Bachelor-of-Health-Science---Case-Management
Bachelor of Health Science - Counselling Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150608&institutionid=142314&course=Bachelor-of-Health-Science---Counselling-Major
Bachelor of Health Science - Health Administration Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56176488&institutionid=142314&course=Bachelor-of-Health-Science---Health-Administration-Major
Bachelor of Health Science - Health Promotion Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150691&institutionid=142314&course=Bachelor-of-Health-Science---Health-Promotion-Major
Bachelor of Health Science - Midwifery,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150803&institutionid=142314&course=Bachelor-of-Health-Science---Midwifery
Bachelor of Health Science - Nursing,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2151043&institutionid=142314&course=Bachelor-of-Health-Science---Nursing
Bachelor of Health Science - Occupational Therapy,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150839&institutionid=142314&course=Bachelor-of-Health-Science---Occupational-Therapy
Bachelor of Health Science - Oral Health,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=55696124&institutionid=142314&course=Bachelor-of-Health-Science---Oral-Health
Bachelor of Health Science - Paramedicine Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150713&institutionid=142314&course=Bachelor-of-Health-Science---Paramedicine-Major
Bachelor of Health Science - Physiotherapy,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150857&institutionid=142314&course=Bachelor-of-Health-Science---Physiotherapy
Bachelor of Health Science - Podiatry,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150714&institutionid=142314&course=Bachelor-of-Health-Science---Podiatry
Bachelor of Health Science - Psychology Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150801&institutionid=142314&course=Bachelor-of-Health-Science---Psychology-Major
Bachelor of Health Science - Standard Pathway,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56176482&institutionid=142314&course=Bachelor-of-Health-Science---Standard-Pathway
Bachelor of Health Science in Managing Care of the Older Person,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56176490&institutionid=142314&course=Bachelor-of-Health-Science-in-Managing-Care-of-the-Older-Person
Bachelor of International Hospitality Management in Accommodation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153253&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Accommodation
Bachelor of International Hospitality Management in Event Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153269&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Event-Management
Bachelor of International Hospitality Management in Food and Beverage,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153276&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Food-and-Beverage
Bachelor of International Hospitality Management in Human Resource Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153284&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Human-Resource-Management
Bachelor of International Hospitality Management in Marketing,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153289&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Marketing
Bachelor of International Hospitality Management in Tourism,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153298&institutionid=142314&course=Bachelor-of-International-Hospitality-Management-in-Tourism
Bachelor of International Tourism Management in Destination Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153339&institutionid=142314&course=Bachelor-of-International-Tourism-Management-in-Destination-Management
