Course_Name,Link
Academic English for Postgraduate Study,http://www.lincoln.ac.nz/ACEN 301
Further Academic English for Postgraduate Study,http://www.lincoln.ac.nz/ACEN 302
Academic Skills for Postgraduate Study,http://www.lincoln.ac.nz/ACEN 303
Accounting Fundamentals,http://www.lincoln.ac.nz/ACCT 101
Management Accounting,http://www.lincoln.ac.nz/ACCT 202
Accounting Information Systems,http://www.lincoln.ac.nz/ACCT 203
Financial Accounting,http://www.lincoln.ac.nz/ACCT 211
Auditing,http://www.lincoln.ac.nz/ACCT 302
Taxation,http://www.lincoln.ac.nz/ACCT 306
Advanced Management Accounting,http://www.lincoln.ac.nz/ACCT 308
Advanced Financial Accounting,http://www.lincoln.ac.nz/ACCT 310
Advanced Management Accounting,http://www.lincoln.ac.nz/ACCT 603
Contemporary Issues in Financial Accounting,http://www.lincoln.ac.nz/ACCT 605
Advanced Taxation,http://www.lincoln.ac.nz/ACCT 609
CPA Ethics and Governance,http://www.lincoln.ac.nz/ACCT 620
CPA Strategic Management Accounting,http://www.lincoln.ac.nz/ACCT 621
CPA Financial Reporting,http://www.lincoln.ac.nz/ACCT 622
CPA Global Strategy and Leadership,http://www.lincoln.ac.nz/ACCT 623
CPA Advanced Audit and Assurance,http://www.lincoln.ac.nz/ACCT 624
CPA Financial Risk Management,http://www.lincoln.ac.nz/ACCT 625
Research Essay,http://www.lincoln.ac.nz/ACCT 698
Practicum: Practical Experience in Agribusiness and Commerce,http://www.lincoln.ac.nz/PREFIX 393
Agricultural Practicum,http://www.lincoln.ac.nz/AGRI 393
Livestock Production Systems,http://www.lincoln.ac.nz/ANSC 021
Beef and Deer Production,http://www.lincoln.ac.nz/ANSC 071
Dairy Production,http://www.lincoln.ac.nz/ANSC 072
Sheep Production,http://www.lincoln.ac.nz/ANSC 073
Animal Science,http://www.lincoln.ac.nz/ANSC 105
Animal Health,http://www.lincoln.ac.nz/ANSC 207
Livestock Production Science,http://www.lincoln.ac.nz/ANSC 213
Dairy Production Science,http://www.lincoln.ac.nz/ANSC 312
Meat and Wool Production Science,http://www.lincoln.ac.nz/ANSC 314
Animal Physiology,http://www.lincoln.ac.nz/ANSC 319
"Animal Nutrition, Biochemistry and Metabolism",http://www.lincoln.ac.nz/ANSC 327
Advanced Livestock Production,http://www.lincoln.ac.nz/ANSC 635
Topics in Advanced Livestock Production,http://www.lincoln.ac.nz/ANSC 636
Advanced Animal Science,http://www.lincoln.ac.nz/ANSC 637
Topics in Advanced Animal Science,http://www.lincoln.ac.nz/ANSC 638
Biochemistry II,http://www.lincoln.ac.nz/BICH 207
Principles of Malting and Brewing,http://www.lincoln.ac.nz/BICH 209
General Biochemistry,http://www.lincoln.ac.nz/BICH 601
Protein Biochemistry,http://www.lincoln.ac.nz/BICH 633
Plant Cell Physiology,http://www.lincoln.ac.nz/BICH 634
Plant Biochemistry,http://www.lincoln.ac.nz/BICH 636
