Course_Name,Link
Bachelor of Arts (BA) majoring in Anthropology,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154621&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Anthropology
Bachelor of Arts (BA) majoring in Art History and Theory,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801818&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Art-History-and-Theory
Bachelor of Arts (BA) majoring in Chinese,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801822&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Chinese
Bachelor of Arts (BA) majoring in Cinema Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801824&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Cinema-Studies
Bachelor of Arts (BA) majoring in Classics,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801826&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Classics
Bachelor of Arts (BA) majoring in Cultural Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801828&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Cultural-Studies
Bachelor of Arts (BA) majoring in Economics,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801832&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Economics
Bachelor of Arts (BA) majoring in Education,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801838&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Education
Bachelor of Arts (BA) majoring in English,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801854&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-English
Bachelor of Arts (BA) majoring in English Language,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801856&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-English-Language
Bachelor of Arts (BA) majoring in European and European Union Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801858&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-European-and-European-Union-Studies
Bachelor of Arts (BA) majoring in French,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801860&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-French
Bachelor of Arts (BA) majoring in Geography,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801862&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Geography
Bachelor of Arts (BA) majoring in German,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801868&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-German
Bachelor of Arts (BA) majoring in History,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801872&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-History
Bachelor of Arts (BA) majoring in Human Services,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801874&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Human-Services
Bachelor of Arts (BA) majoring in Japanese,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801878&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Japanese
Bachelor of Arts (BA) majoring in Linguistics,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56801880&institutionid=142318&course=Bachelor-of-Arts-(BA)-majoring-in-Linguistics
